degrees , closeness , betweenness
2910754, 2, 1.15697889670492e-05, 3421.67393645748 
2912228, 3, 1.15991787781425e-05, 6558.4765555983 
2920380, 3, 1.29347699551163e-05, 10291.2355008599 
2956123, 2, 1.14962349830431e-05, 9610 
3033384, 5, 1.36526226688147e-05, 10163.1112120035 
3040676, 1, 9.61039460280239e-06, 0 
3049084, 1, 1.3410038755012e-05, 0 
315405, 2, 1.28602476883705e-05, 472.722072510384 
40542, 4, 1.38527179032526e-05, 1147.88713338425 
554406, 10, 1.34792688844557e-05, 109448.693934242 
69655, 1, 1.20444198202973e-05, 0 
754516, 4, 1.28585940413275e-05, 230678.622497397 
766894, 2, 1.06411279595637e-05, 1005.20917331797 
83526, 2, 9.4952333928368e-06, 9610 
10294, 4, 1.29631069974852e-05, 31888.5810324877 
1129771, 2, 1.06005194254518e-05, 0 
120682, 1, 9.71505736741375e-06, 0 
1224749, 3, 1.55086848635236e-05, 659.526930756088 
126738, 1, 1.14057599087539e-05, 0 
1295, 1, 9.93630826402758e-06, 0 
1353, 2, 1.0745178101327e-05, 9610 
142649, 1, 1.02086651149496e-05, 0 
145262, 1, 1.02802393239715e-05, 0 
149016, 3, 1.22797323018358e-05, 3818.62166793154 
1532350, 7, 1.42761288848916e-05, 31723.9382455671 
1660078, 6, 1.48544266191325e-05, 27474.9165325056 
1660080, 3, 1.4151477414242e-05, 310.822242286368 
1843491, 2, 1.05244324699791e-05, 238.213116236459 
186328, 2, 1.3294336612603e-05, 29644.2455345574 
2099, 4, 1.28098379555499e-05, 24960.1976848009 
2110, 1, 1.19229301793209e-05, 0 
2118, 6, 1.35221018755155e-05, 47753.3487870539 
2137, 2, 1.16253385879864e-05, 9610 
2138, 2, 1.04482290251802e-05, 9610 
216946, 4, 1.31482065846219e-05, 10389.7018300269 
2330, 3, 1.17582042870413e-05, 740.166764680723 
246273, 2, 1.31283559359861e-05, 9610 
2560407, 4, 8.0255533619043e-06, 28827 
2570468, 4, 1.19445771619685e-05, 4965.47917206061 
2675787, 1, 1.16732425933276e-05, 0 
2762286, 1, 1.05234356912845e-05, 0 
2767885, 2, 1.147170503952e-05, 140.39648181592 
2944252, 1, 1.12822248547414e-05, 0 
2948679, 2, 1.06005194254518e-05, 0 
2983299, 6, 1.49336200588385e-05, 10009.3664610263 
2993937, 1, 8.62634139608709e-06, 0 
3015165, 5, 1.41482739105829e-05, 3119.30686835413 
3037654, 1, 1.18968306843057e-05, 0 
315358, 1, 1.12822248547414e-05, 0 
1448857, 6, 1.47011261062597e-05, 19788.155385791 
155194, 7, 1.54109325155265e-05, 535.781941792895 
1564138, 1, 1.37409824802473e-05, 0 
1596, 11, 1.59639852492776e-05, 3929.54672766777 
1604335, 3, 1.62419399373061e-05, 110.140820811485 
1614, 2, 1.34672879575511e-05, 9610 
1618, 9, 1.55219247186651e-05, 1019.12998038697 
164393, 15, 1.6861131719161e-05, 24472.7414221372 
1737405, 3, 1.3293806415591e-05, 155.316042908015 
1756993, 2, 1.21599766528448e-05, 155.911942444366 
1785128, 2, 1.05059673894772e-05, 104.72768707205 
1912064, 1, 1.38045278851463e-05, 0 
2021971, 4, 1.4046127482653e-05, 1611.38580585065 
2027290, 7, 1.63802846893479e-05, 2822.01026038195 
2042961, 20, 1.67824656798577e-05, 102500.705352876 
2265, 5, 1.47325309014836e-05, 1988.01891626127 
2280, 1, 1.06115432367329e-05, 0 
2283483, 1, 1.23020901251123e-05, 0 
2304606, 4, 1.45182130983319e-05, 40589.196146467 
230666, 5, 1.49458958569977e-05, 9766.20011106367 
2321111, 2, 1.45925752976885e-05, 0 
2375, 2, 1.17558544154989e-05, 414.435514130933 
