"","X1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","X3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561","nodos","degrees","closeness","betweenness"
"Casimicrobium",0.000159177410566936,0.000235241242524702,0.000217348610870691,0.00029731360257406,0.000249855026811091,0.00019347879910427,0.000209110467832394,"v_399",107,0.000116563702063178,4448.11823816341
"Erwinia",0.000165583931735264,0.000194990522291509,0.00019134440207009,0.000220168090535893,0.000206490912456649,0.000178146516911102,0.00017821914872079,"v_470",107,0.00011839924224485,11672.6843673532
"Aquisalimonas",0.000104032047587245,0.000142046628872744,0.000133126024158298,0.000172493897703317,0.000168905270887645,0.000107893837655631,0.000110258246675262,"v_499",107,0.000123365408339502,7930.22106967701
"Marichromatium",0.000159965905479961,0.000261295650642454,0.000224722938739518,0.000287345362254521,0.000281662195594656,0.000193722168662892,0.000218615489097503,"v_506",107,0.000115300357431108,4852.02693007696
"Gymnodinialimonas",9.57528510004818e-05,0.000100125754273027,0.000104146209375539,0.000108783840008876,0.000116029688054516,8.58283310072612e-05,8.31689360697022e-05,"v_131",105,0.000130667712008363,15346.4272733757
"Cronobacter",0.000128721794551342,0.000159082203411274,0.000162105838941057,0.00018939656607123,0.000179644025621646,0.000149185539435117,0.000157783353000806,"v_431",105,0.000121758188238159,5708.98453420417
"Dickeya",0.000186479046930429,0.000226723455255437,0.000217736733390103,0.000258957547431488,0.000284116768105285,0.000213516226097459,0.000192951931681709,"v_475",105,0.000116441546343735,4156.05157142189
"Methylogaea",8.75722162778467e-05,0.000131190625490347,0.000113202401495151,0.000149523604793077,0.000140166317742366,0.000101971845062502,9.43373360562051e-05,"v_571",105,0.000126486213002783,8385.7664648208
"Roseitalea",0.000247340998029551,0.00025578414123293,0.000251632766752079,0.000299047209586153,0.00030809998701122,0.000244099667297589,0.000250457310335618,"v_22",104,0.00011316057485572,11109.7636843302
"Thioclava",0.000192984129962886,0.000206932126012145,0.000204799316076371,0.000210199850216354,0.000225564986341327,0.000178065393724894,0.000194377684871475,"v_121",104,0.000117744024490757,8274.6976209711
"Guyparkeria",0.000119506260255362,0.000185637657838982,0.000166245812481451,0.000220168090535893,0.000195752157722648,0.000129878221117793,0.000143050570039888,"v_517",104,0.000120816721034191,3674.50654007763
"Halorhodospira",0.000121674621266181,0.000165094759130755,0.000155249007764779,0.000188529762565184,0.000201019261235039,0.000131257315283316,0.000115486008371072,"v_498",103,0.00012370113805047,8971.73409178223
"Wenzhouxiangella",0.000179875402033844,0.000241003275089205,0.000229509783145598,0.000278677327194053,0.000276804187500703,0.000179606734262832,0.000182258782758462,"v_515",103,0.000116373792621902,4647.96818443244
"Kushneria",7.51041404656378e-05,8.41757800727369e-05,9.04325470229838e-05,0.00011311785753911,0.000106671630357744,7.47144544968691e-05,7.00995318301776e-05,"v_527",103,0.000130599451482304,11267.3868489958
"Methylomicrobium",0.000109206545453972,0.000144635368140853,0.000137912868564379,0.000189829967824254,0.00015468920509692,0.000124848583572944,0.00010740674029573,"v_570",102,0.000123670541676973,4454.24429242453
"Kiritimatiella",0.000108664455201267,0.000137453704364806,0.000155119633591642,0.000174227504715411,0.000179286067130513,0.000129634851559171,0.000116911761560839,"v_1449",102,0.000124626121635095,15252.8538415955
"Fibrella",7.44142074167409e-05,7.72446394516683e-05,7.78832522286642e-05,8.51634444691002e-05,8.45804777620844e-05,6.54664112692436e-05,6.53470211976232e-05,"v_1465",102,0.000131613582521716,13624.0869208132
"Pacificitalea",8.06236048568133e-05,8.40087646360846e-05,8.435196088553e-05,9.90323005658493e-05,9.90522281893334e-05,7.32542371451388e-05,8.19808084115636e-05,"v_135",101,0.000129634430904848,7408.96553662668
"Allochromatium",0.000217131786674278,0.000318665453132504,0.000296008108138179,0.000396345903139909,0.000346810640980929,0.000242639449945858,0.000247605803956085,"v_503",101,0.000110729708780866,7334.57909406117
"Pseudoalteromonas",0.000102849305217707,0.000103633078442725,0.00011229678228319,0.000118968781204926,0.000130296890772546,9.50763742348867e-05,8.19808084115636e-05,"v_600",100,0.000128024580719498,8820.87840700289
"Oceanidesulfovibrio",9.78719310792366e-05,0.000138539304703046,0.000139335984468889,0.000171410393320759,0.000175143976018827,0.000130689452979866,0.000101228476473409,"v_711",100,0.000124517494708006,7031.72199499378
"Desulfocurvibacter",8.07714476530055e-05,0.000109395111007228,0.000116695504169859,0.000129153722400976,0.000131933272446299,9.28860482072912e-05,8.03174296901696e-05,"v_712",100,0.000128287363694676,9779.56160901411
"Christensenella",5.08086409580529e-05,9.29440904969803e-05,0.000102723093471029,0.000106183429490736,0.000103040908519105,7.66614109658429e-05,7.98421786269141e-05,"v_1209",100,0.000129098889749548,7183.25693268816
"Lautropia",0.000152918732194799,0.000175199193048216,0.000159130232958899,0.000214533867746588,0.00017872356093016,0.000126552170483296,0.000132595046648268,"v_297",99,0.000120816721034191,8982.50587962181
"Pukyongiella",0.000131925055135507,0.000135950565434936,0.000139206610295752,0.000146706493398424,0.000168905270887645,0.00012233376480052,0.000124991029636181,"v_126",97,0.000123365408339502,7495.16157338249
"Monaibacterium",7.27879366586266e-05,8.35077183261279e-05,7.96944906525866e-05,8.92807611228226e-05,9.05634982567421e-05,6.60342735726943e-05,6.34460169446014e-05,"v_136",97,0.000130855796911803,6502.53086639916
"Tritonibacter",6.08126701670584e-05,6.30483273362265e-05,6.74039442045416e-05,7.80123155442139e-05,7.86997311220362e-05,5.55693825519602e-05,5.70301275906529e-05,"v_139",97,0.000133120340788072,22161.1232635651
"Methylocaldum",0.000101814405644362,0.000129770994278803,0.000136231004313594,0.000200881712526351,0.000271588220915617,0.000105379018883206,0.000103367106258058,"v_569",97,0.000123198225945546,6929.84889687904
"Geoalkalibacter",8.67344404327576e-05,0.000105219725090921,0.000119800484325155,0.000130020525907023,0.000139399263832795,0.000103107569669404,7.0574782893433e-05,"v_703",97,0.000127975428717686,7530.0505234891
"Kosakonia",0.000128376828026894,0.000136451611744893,0.000137265997698692,0.000162092255630756,0.000139041305341661,0.000117953112745329,0.000114773131776189,"v_430",96,0.000123517786561265,7370.02631156182
"Ruficoccus",4.82953134227855e-05,7.07310374222303e-05,7.03795501866999e-05,8.19129313214246e-05,7.8086087994379e-05,5.49203970623023e-05,5.94063829069302e-05,"v_1439",96,0.000131544330439358,14348.8503300968
"Magnetospira",5.65745100095487e-05,8.50943649743243e-05,7.81420005749388e-05,9.7081992677244e-05,0.000104114783992505,6.29515924968192e-05,6.70103999190172e-05,"v_217",95,0.000130975769482646,12796.6995340836
"Kineobactrum",6.41144926153509e-05,7.29857458170358e-05,7.08970468792491e-05,7.90958199267724e-05,8.97964443471706e-05,6.02745273519802e-05,5.84558807804193e-05,"v_559",95,0.000131665569453588,12120.1172539952
"Pistricoccus",4.23816015750974e-05,6.1378172969704e-05,6.1840854759637e-05,6.76106734716521e-05,7.02110011894449e-05,4.69703248139926e-05,5.34657446162371e-05,"v_529",94,0.000132996409096954,9731.32165381725
"Hartmannibacter",0.000278880794550554,0.000316494252456025,0.000312179879780343,0.000364490874292688,0.000367674507321274,0.000294233796373664,0.000305824059204876,"v_78",93,0.00010991426687184,11462.1626998866
"Indioceanicola",0.000239456048899301,0.000314156036342893,0.000311015512222107,0.000389628175968046,0.000407663584473602,0.000272655028842538,0.000294655659218374,"v_180",93,0.00010991426687184,11462.1626998866
"Kerstersia",5.72644430584456e-05,7.63260545500809e-05,6.02883646819892e-05,8.42966409630534e-05,7.7216760230198e-05,5.84086940692137e-05,5.56043744008866e-05,"v_329",93,0.000134462821029985,28604.5383610128
"Cedecea",6.47551447321838e-05,7.93323324098215e-05,8.03413615182732e-05,9.1881171640963e-05,8.31997807248557e-05,6.70888749933885e-05,5.2752868021354e-05,"v_437",93,0.000131908719166337,15189.6616589961
"Thioflavicoccus",0.000164943279618432,0.000235742288834659,0.000236625362668151,0.000265241872850327,0.000262588121709978,0.00019437115415255,0.000182734033821717,"v_505",93,0.000116618075801749,5223.44822422414
"Thermochromatium",6.87469002293732e-05,9.71194764132867e-05,9.81949974112228e-05,0.00012200259347609,0.00011521149721764,8.25022803727643e-05,7.72282977790092e-05,"v_509",93,0.000129735339906591,7734.71566517601
