degrees , closeness , betweenness
1852, 328, 9.28574081640233e-06, 5122.8522703177 
362257, 458, 9.1115342912593e-06, 14379.7395426651 
3024246, 547, 8.98214349872454e-06, 8119.04368854776 
652764, 55, 8.88391389710651e-06, 5885.40375723413 
2968084, 579, 9.0508385601926e-06, 9129.07302491929 
2986823, 32, 1.09471471734466e-05, 7325.47368160875 
1517551, 38, 8.29166770312513e-06, 4094.85724496964 
2305220, 585, 9.1526478610262e-06, 19755.9628289063 
945844, 115, 8.96434878488252e-06, 15640.3375194416 
2742136, 611, 8.99677015951273e-06, 26507.2566275415 
120962, 258, 9.58350104460161e-06, 61585.2175190147 
2915130, 263, 9.70760688075176e-06, 1418.7031846777 
3058426, 445, 9.23744861669207e-06, 13101.8506407909 
1325115, 295, 8.39045837074079e-06, 13519.7844161577 
68214, 228, 8.83329800014133e-06, 5948.23970635975 
76731, 224, 9.31445603576751e-06, 25736.03413574 
1890, 582, 9.08677873693776e-06, 11724.0612882356 
134, 323, 8.58369098712446e-06, 33171.4375566193 
2527979, 358, 8.88336146397797e-06, 20315.8355890297 
67267, 582, 9.31905653871602e-06, 32032.2065633093 
2770322, 31, 8.57919887440911e-06, 1407.64002219012 
1038928, 598, 8.99167371014441e-06, 27741.5082298258 
1936990, 108, 9.47418285172904e-06, 47649.7179824276 
2968083, 570, 9.13851243294616e-06, 8538.65920495184 
3043734, 494, 9.06503254346683e-06, 10746.5811786316 
1874061, 84, 9.4653945176435e-06, 18692.9691333732 
2109914, 195, 9.29065824313653e-06, 12439.9514624467 
2742132, 540, 9.15105648947171e-06, 17194.2013703001 
65741, 99, 9.12450385510288e-06, 6264.96614766032 
36818, 570, 9.1287519170379e-06, 11488.7741168804 
1962974, 81, 9.20598388952819e-06, 3872.99190367932 
280236, 626, 8.95247132971057e-06, 21860.2060704174 
299146, 508, 9.10597534101878e-06, 16282.1800879981 
2986923, 276, 8.83470271225373e-06, 11506.8496310364 
2758041, 327, 8.73415842016543e-06, 22874.2668489689 
2877941, 142, 9.17565881230272e-06, 5710.85973554033 
129921, 571, 9.15516168015527e-06, 20751.5293771252 
2483401, 338, 8.9178222678022e-06, 2564.6978822338 
43057, 29, 9.03922118070307e-06, 2871.92248244003 
44010, 20, 7.98014539824916e-06, 4419.08782209989 
1333528, 378, 9.05526427788795e-06, 7070.76946138224 
338191, 8, 8.67039493648936e-06, 2923.64702570709 
22, 302, 8.8443917711779e-06, 18431.8898617325 
1105204, 102, 9.39072947186537e-06, 27460.9494570428 
2866807, 9, 1.02382439364e-05, 825.781778279159 
2565556, 230, 9.5222678233048e-06, 28081.5651187173 
2976824, 309, 8.38377571723201e-06, 16710.7613541138 
2493672, 250, 8.45880561664693e-06, 10779.8817382821 
2802975, 113, 9.25737349799115e-06, 8231.87860748758 
65496, 473, 9.05198555303106e-06, 8518.37033771134 
3003257, 9, 9.82106028166801e-06, 50320.6029823286 
1911, 508, 9.13776088307321e-06, 8822.687972509 
2865839, 199, 8.13107289506851e-06, 7187.00077167075 
1404443, 256, 8.19618385679628e-06, 11743.8300673368 
2055889, 319, 9.06568998966511e-06, 4348.21472151559 
652787, 22, 8.44416297234537e-06, 3074.32165085376 
2502843, 261, 9.35173755283732e-06, 10382.6568186207 
1016987, 38, 8.94918651894543e-06, 7259.75743088641 
2035, 399, 8.98262759822503e-06, 9811.97324172619 
1515612, 10, 8.41170236032368e-06, 26.9153380280595 
530584, 526, 9.17633240346498e-06, 30315.6395919187 
424800, 13, 8.27109335583071e-06, 11431.6740659896 
2782166, 228, 9.07622211330756e-06, 1460.40823761888 
2711215, 24, 8.26808436753289e-06, 13951.0790622652 
1988, 121, 8.51346404338461e-06, 802.368526740596 
2170729, 296, 8.69141983034348e-06, 25489.1452617595 
2774190, 13, 8.17775160897263e-06, 131.9936289863 
2982531, 109, 8.95231103909474e-06, 16680.427823492 
111831, 74, 8.69792119683396e-06, 1717.70441239011 
2033869, 91, 9.12350488563687e-06, 8260.96821505322 
2493669, 292, 8.54116843184148e-06, 18663.0496599939 
748280, 117, 9.27463110154794e-06, 22371.0156004814 
1794, 488, 9.09578774069728e-06, 14119.3767696181 
