"","vcXtM2TOMPOOB050180","iYASM2TOMPOOA050195","XR8LM2TOMPOOB051125","TECcM2TOMPOOA051310","FvY2M2TOMPOOB051329","abKIM2TOMPOOA051320","cuu6M2TOMPOOB051315","s9OmM2TOMPOOB051285","Nm8MM2TOMPOOA051300","IGpcM2TOMPOOB051290","a50wM2TOMPOOB051350","OeS0M2TOMPOOA051355","dSz8M2TOMPOOA051340","aFJgM2TOMPOOM090325","cSObM2TOMPOOM080315","wQqUM2TOMPOOA080335","X0n7bM2TOMPOOA100365","X1qGgM2TOMPOOM080340","X9JUZM2TOMPOOB100355","AYtCM2TOMPOOA100360","DYZgM2TOMPOOB100370","nG3jM2TOMPOOA051345","nodos","degrees","closeness","betweenness"
"Dolosigranulum",3.08846867995142e-06,4.54408371063179e-06,2.52811626445541e-06,3.31131284621508e-06,3.47459762738049e-06,3.55570699673109e-06,3.33258077996113e-06,2.61757074367994e-06,2.66787709238451e-06,4.34031019048026e-06,3.95761954837907e-06,2.46751457743552e-06,5.56192677392186e-06,4.68349904213438e-06,3.17868549094305e-06,3.82447300674204e-06,3.27515350644485e-06,5.62480714946916e-06,0,3.20132829167389e-06,3.84981145178241e-06,4.29372197143431e-06,"v_1117",9,0.000103018440300814,374.061677896019
"Erysipelothrix",5.39078169591521e-06,6.53710288196153e-06,6.13971092796313e-06,5.69853838650968e-06,6.94919525476097e-06,4.99312046349473e-06,5.03154353052954e-06,4.78823916526818e-06,4.59467721466221e-06,4.40413828151673e-06,5.6537422119701e-06,4.65031593439771e-06,5.81190101095206e-06,1.00875363984433e-05,6.6601029334045e-06,5.26927392040014e-06,5.94566328862295e-06,1.49102030787516e-05,0,4.02329096115772e-06,7.03330938306401e-06,5.92237513301284e-06,"v_1263",9,0.000118581762124985,3518.83165642369
"Botrimarina",0.000493312679152241,0.000557008998003234,0.000496449802445772,0.000802723839742931,0.000985459061627422,0.000390673849598285,0.000526025005464452,0.000677503920291013,0.000722475938157127,0.000435882033688083,0.000560447388698008,0.000436417914782201,0.000574753264491678,0.000362791041186871,0.000478467849374809,0.000407518845940624,0.000728394139833334,0.000737415193383846,0.000462562625706786,0.000484438840677894,0.000759005134686024,0.000335798670041828,"v_1391",9,0.000112905046855594,9.30571073274491
"Paludisphaera",0.00118316427430139,0.00134417184991163,0.000877689735125647,0.00152297288743246,0.00158043652443959,0.00177308733792312,0.00145300522006305,0.00139995344554668,0.00138573982640272,0.00175591078441341,0.00148588422105163,0.00145906035051899,0.00126062007734328,0.000929674559863674,0.000743433989941277,0.000815887574771634,0.00111531573638703,0.000415759554910498,0.000884381393190695,0.000969310293287096,0.0012500041644595,0.00102723596682108,"v_1409",9,9.45268929010303e-05,3955.80751826312
"Hymenobacter",0.00157714056991119,0.00173344835445575,0.00131693187810146,0.00166435824523829,0.00181032853836755,0.00175674621640623,0.00154965006268192,0.00166777562285734,0.0015979101629443,0.00143606822022964,0.00162642009889203,0.00152981158580661,0.00150097030624781,0.00133803964942208,0.00142526202774856,0.00135318353807437,0.00150223733294072,0.00123528502832284,0.00150704341473796,0.001301859084883,0.00152356288204289,0.00148932928657441,"v_1460",9,9.36504963476306e-05,7375.26146266949
"Muricauda",4.61024142952749e-05,4.16142402973648e-05,3.16375692523277e-05,4.37401324802365e-05,4.57383396767904e-05,3.51031499251751e-05,2.91437456443659e-05,3.61352449005572e-05,3.28297097757316e-05,3.85521669860305e-05,4.32915117945139e-05,3.67280054410595e-05,5.99313233279895e-05,0.000185178346742852,5.10103338308481e-05,3.93495778249236e-05,4.60536969983168e-05,9.65443089570262e-05,4.21818767483909e-05,2.76006412174046e-05,4.07191595861601e-05,3.87915571212341e-05,"v_1504",9,0.000128040973111396,5922.29660250028
"Sabulilitoribacter",1.62846530397439e-06,1.03636996909146e-06,0,0,8.21268530108115e-07,0,0,0,0,8.93593274510641e-07,1.85765815536161e-06,1.37611389895442e-06,1.68732609995382e-06,9.18686350572513e-06,6.6601029334045e-06,3.82447300674204e-06,1.91470512684468e-06,7.2914166752378e-06,0,1.34109698705257e-06,1.85087089028e-06,1.62865316157853e-06,"v_1558",9,8.83002207505519e-05,6.67191625040527
"Faecalibacter",1.3476954239788e-06,1.5146945702106e-06,0,0,1.51618805558421e-06,0,8.49481375284209e-07,7.66118266442909e-07,8.89292364128169e-07,1.34038991176596e-06,9.69212950623446e-07,1.61337491601553e-06,3.24966508139255e-06,3.78282614941623e-06,2.04344067274911e-06,3.22955498347105e-06,1.51160931066685e-06,5.80337245580152e-06,0,9.5174624887602e-07,1.5547315478352e-06,0,"v_1572",9,8.8660342228921e-05,147.157118262642
"Paludibacter",3.70616241594171e-06,5.89933674713601e-06,2.52811626445541e-06,4.1583928766422e-06,3.5377721296965e-06,3.78266701779904e-06,2.67913356820404e-06,4.27749365430624e-06,3.26073866846995e-06,3.70202928011551e-06,5.08836799077309e-06,4.46050712074882e-06,4.12457491099824e-06,4.14309530650349e-06,4.4652962848962e-06,4.67435589712915e-06,4.28289304688942e-06,8.80922177906281e-06,0,3.46089545045825e-06,4.14595079422721e-06,3.84954383645835e-06,"v_1601",9,0.000110497237569061,2449.69910125473
"Rhodothermus",0.000315248421259042,0.000401872385706928,0.000316375692523277,0.000411757902063071,0.000437041207022149,0.00037100398110573,0.000358742519254639,0.000393976318518266,0.000404850348769349,0.000330182714931682,0.000388735160945887,0.000324952688966893,0.000384022921637639,0.000332708566570084,0.000323166358245877,0.000267543133893865,0.00032650761110404,0.000192136269613613,0.000251653241964832,0.00026912788246626,0.000318868036977439,0.00037370187089311,"v_1608",9,0.000123747061007301,1693.83373813817
"Salinibacter",0.00018631889236507,0.00023047273697257,0.000193870401537095,0.00023872255402946,0.000249602458650551,0.0002036587922383,0.000196426231854179,0.000238007408108264,0.000251892062139304,0.000197228801302706,0.000226957365937657,0.000187531107885099,0.000217102624860725,0.000190402249520617,0.000202376309590041,0.000163687444688559,0.000188497681040157,0.000123864800825876,0.000155306000755439,0.000173909996385527,0.000180867103398162,0.000212909386031812,"v_1609",9,0.000131787032156036,1144.35327367148
"Dissulfurispira",6.79463109589313e-06,1.02839789240614e-05,5.77855146161236e-06,6.39160386595005e-06,9.47617534740133e-06,9.91058758663348e-06,7.64533237755788e-06,1.18748331298651e-05,1.19313392187196e-05,1.07231192941277e-05,1.15497876615961e-05,7.92451796984099e-06,6.87429151833039e-06,0,5.90327305460853e-06,4.75934418616787e-06,6.55030701288969e-06,3.54154524225836e-06,4.79339508504442e-06,5.75373868638685e-06,7.32944872550881e-06,6.07043451133817e-06,"v_1645",9,0.000119331742243437,1530.69818034219
"Talaromyces",1.50492655677633e-05,1.38714134324549e-05,1.1701566709765e-05,1.74806515369959e-05,1.65517196067943e-05,1.21801877973129e-05,1.28075653504388e-05,1.51308357622475e-05,1.98608627988624e-05,2.0042020585453e-05,1.47804974970076e-05,1.38085911929565e-05,2.06228745549912e-05,1.09882092911614e-05,1.24876930001334e-05,1.18983604654197e-05,2.17167870965804e-05,1.05055921892202e-05,1.39008457466288e-05,1.3367708677395e-05,2.73188543405329e-05,9.32774083449523e-06,"v_1741",9,0.000136425648021828,7596.00603530627
"Naumovozyma",6.62616916789578e-06,6.13849904769558e-06,4.91176874237051e-06,4.77445108058919e-06,4.54856416675264e-06,3.40440031601913e-06,3.78999382819108e-06,3.95827770995503e-06,3.70538485053404e-06,7.02109001401218e-06,5.89604544962596e-06,4.36560271392438e-06,7.62421422942098e-06,3.06228783524171e-06,6.81146890916369e-06,4.2494144519356e-06,5.54256747244513e-06,1.08032010331074e-05,0,4.36938050620355e-06,7.25541388989761e-06,1.92477191822917e-06,"v_1747",9,0.000102965403624382,76.1365036960864
