"","X1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","X3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561","nodos","degrees","closeness","betweenness"
"Lachnospiraceae_bacterium_sunii_NSJ-8",3.40151799395624e-06,8.77351374797071e-06,7.51153765708665e-06,7.16503774237911e-06,7.87781045363962e-06,5.76311144380228e-06,0,"v_5307",85,3.19101410428234e-05,100378.692412847
"Acetomicrobium_mobile",3.30292326949374e-06,5.8490091653138e-06,8.54761181668481e-06,5.64518125157142e-06,6.03624437356802e-06,6.33130552981095e-06,4.76287661553798e-06,"v_6563",75,3.1501023783273e-05,99724.2642058004
"Suicoccus_acidiformans",3.45081535618749e-06,2.08893184475493e-06,3.23773174874425e-06,0,3.37620448013127e-06,3.49033509976758e-06,0,"v_5185",65,2.57426762086186e-05,99182.9659326661
"Bacteroides_salyersiae",7.00022543683748e-06,7.60371191490795e-06,7.12300984723734e-06,0,4.80853365352029e-06,3.8961880183452e-06,0,"v_6377",66,2.96287517406892e-05,99099.2368466474
"Macrococcus_caseolyticus",3.15503118279999e-06,3.34229095160789e-06,6.21644495758895e-06,0,4.603915200179e-06,1.27437816433374e-05,0,"v_5018",64,2.91494199265435e-05,98978.2522879323
"Haematospirillum_jordaniae",1.49863981183e-05,2.15577766378709e-05,2.37001964008079e-05,2.54033156320714e-05,2.79304188810859e-05,1.52600697385187e-05,1.38123421850601e-05,"v_812",221,3.72731000037273e-05,97773.5893430588
"Streptomyces_sp._M54",5.50651536123061e-05,6.25008407950675e-05,7.83531083196107e-05,8.18551281477856e-05,9.16690670968974e-05,8.91253009196465e-05,7.69204573409384e-05,"v_3726",193,3.49564791834166e-05,97150.3006754901
"Candidatus_Aquiluna_sp._UB-MaderosW2red",4.73254677419999e-06,6.68458190321578e-06,6.99350057728757e-06,6.29654831906043e-06,7.11049125360979e-06,4.8702350229315e-06,3.33401363087659e-06,"v_3367",88,3.19233838786911e-05,96951.352198255
"Oceanispirochaeta_crateris",1.52821822916875e-06,2.42316093991572e-06,2.07214831919632e-06,0,2.14849376008353e-06,2.51628809518128e-06,0,"v_6536",108,2.44462914975798e-05,94805.179566628
"Pontimonas_salivibrio",7.09882016129998e-06,8.02149828385893e-06,8.41810254673504e-06,6.94791538654944e-06,8.7474388803401e-06,8.4417407064146e-06,3.57215746165349e-06,"v_3375",50,3.16836702363602e-05,94573.9590118718
"Actinomyces_qiguomingii",3.47546403730312e-05,4.38675687398535e-05,4.3903642512972e-05,5.21093653991208e-05,5.39681170687649e-05,4.8702350229315e-05,4.07225950628497e-05,"v_4460",191,3.71140142517815e-05,93855.6510430556
"Pantoea_sp._At-9b",1.20778537466562e-05,1.37033929015923e-05,1.59296402038217e-05,1.30273413497802e-05,1.46813740272375e-05,1.42860227339324e-05,1.16690477080681e-05,"v_2167",90,3.52385650856297e-05,93162.9871807288
"Flaviflexus_sp._dk850",3.23390696236999e-05,4.01910486930849e-05,4.57167722922688e-05,4.60299394358901e-05,4.80853365352029e-05,4.35886034552369e-05,3.54834307857579e-05,"v_4477",216,3.77273070248246e-05,92931.5759998525
"Halobacillus_sp._SSBR10-3",3.50011271841874e-06,5.51478007015302e-06,6.8639913073378e-06,4.99381418408241e-06,5.93393514689738e-06,1.81822107522776e-05,4.52473278476108e-06,"v_4758",86,3.16015674377449e-05,92214.1690181469
"Flavobacterium_kingsejongi",1.76977530410187e-05,4.59565005846085e-06,5.18037079799079e-06,3.03971298161538e-06,1.99502992007757e-06,2.51628809518128e-06,0,"v_6074",54,2.90292614955876e-05,92099.7588731285
"Alistipes_dispar",3.41630720262562e-05,4.05252777882456e-05,4.88249947710632e-05,5.21093653991208e-05,5.49912093354714e-05,4.5455526880694e-05,4.19133142167342e-05,"v_6360",188,3.71609067261241e-05,92063.0093330817
"Aurantimicrobium_sp._MWH-Uga1",3.69730216734374e-06,3.17517640402749e-06,3.75576882854333e-06,0,4.09236906682578e-06,3.32799393233653e-06,0,"v_3374",41,2.72094035698737e-05,91275.1091406078
"Phyllobacterium_sp._T1293",6.84740361392061e-05,4.81289897031536e-05,5.12856709001089e-05,6.1879871411456e-05,5.28427155753879e-05,5.21115147453671e-05,5.02483482939257e-05,"v_240",41,3.31081975897232e-05,91067.5760857263
"Brucella_sp._458",8.38055157931248e-06,6.26679553426479e-06,8.54761181668481e-06,0,4.85968826685561e-06,4.30204093692283e-06,0,"v_366",56,2.95508274231678e-05,88471.7437561587
"Corynebacterium_camporealensis",1.29652062668187e-05,1.6544340210459e-05,1.9685409032365e-05,1.34615860614395e-05,1.94899076807578e-05,1.72893343314068e-05,1.09546162157374e-05,"v_4139",88,3.56480821331812e-05,87982.9468425683
"Francisella_tularensis",3.40151799395624e-06,4.84632187983144e-06,4.40331517829217e-06,0,3.27389525346062e-06,7.4676937018283e-06,0,"v_2928",82,2.78388686283789e-05,86760.4365155161
"Deinococcus_radiophilus",1.94231607191125e-05,2.60698694225415e-05,2.69379281495521e-05,2.73574168345384e-05,3.13577779745525e-05,2.60557573726835e-05,2.57195337239051e-05,"v_5512",241,3.77187688593844e-05,86531.6329895479
"Solidesulfovibrio_magneticus",6.37414893650061e-05,7.86273946365756e-05,8.67712108663458e-05,9.14085118042911e-05,0.000103741555844033,8.70148657430428e-05,7.09668615715159e-05,"v_3063",210,3.51765864640495e-05,86248.916407198
"Desulfobacter_hydrogenophilus",6.16217027890624e-06,1.39540647229629e-05,1.34689640747761e-05,8.46777187735713e-06,1.12540149337709e-05,8.60408187384565e-06,5.23916427709178e-06,"v_3086",96,3.36168353111238e-05,85999.4755533409
"Ustilaginoidea_virens",5.35862327453686e-05,4.24470950854202e-05,4.81774484213144e-05,5.36292218899285e-05,5.41215809087709e-05,6.27448612121008e-05,3.64360061088655e-05,"v_6667",39,3.44269631975763e-05,85659.9642013797
"Corynebacterium_matruchotii",1.62681295363125e-05,2.42316093991572e-05,2.51247983702553e-05,2.12779908713077e-05,2.75211819744034e-05,2.1023181182321e-05,1.45267736773908e-05,"v_4127",179,3.72093023255814e-05,85384.232841609
"Thermus_scotoductus",1.2422935282275e-05,2.00537457096473e-05,2.05919739220134e-05,1.75869108222033e-05,2.00526084274463e-05,1.72081637476913e-05,9.52575323107596e-06,"v_5521",146,3.59492396735809e-05,84554.2475955745
"Brevibacterium_limosum",4.22478394321812e-05,4.61236151321889e-05,4.86954855011135e-05,6.2531238478945e-05,6.59382965892304e-05,5.43842910894018e-05,4.40566086937263e-05,"v_3546",185,3.66918617450649e-05,84032.1120060033
"Phlebiopsis_gigantea",2.19373261929062e-05,2.40644948515768e-05,2.48657798303558e-05,2.58375603437307e-05,3.51432193613664e-05,3.18188688164858e-05,2.42906707392437e-05,"v_6760",103,3.61912344830082e-05,83414.1655085259
"Synechococcus_sp._NB0720_10",1.9916134341425e-05,2.89943740051984e-05,3.41904472667392e-05,2.97457627486648e-05,3.51432193613664e-05,2.78415102144251e-05,2.66721090470127e-05,"v_5536",221,3.76067090368922e-05,83327.6276996383
"Thermanaerovibrio_acidaminovorans",1.50356954805312e-05,2.30618075660944e-05,2.61608725298535e-05,2.2363602650456e-05,3.00789126411695e-05,2.02926459288813e-05,1.85752188005981e-05,"v_6559",167,3.73203955961933e-05,82537.9850357653
"Pantoea_sp._MSR2",1.2028556384425e-05,1.40376219967531e-05,1.41165104245249e-05,1.30273413497802e-05,1.41698278938843e-05,1.15262228876046e-05,8.33503407719146e-06,"v_2165",121,3.53694337353659e-05,81989.9277345319
"Pseudomonas_sp._SWI7",7.04952279906873e-06,1.80483711386826e-05,1.13968157555797e-05,0,1.18167156804594e-05,6.8183290321041e-06,0,"v_1768",48,3.20625861682003e-05,81716.2987283944
"Chamaesiphon_minutus",9.95806717071248e-06,1.52074238298159e-05,1.89083534126664e-05,1.58499319755659e-05,1.58579301339499e-05,1.4529534485079e-05,8.57317790796836e-06,"v_5590",164,3.62082699688609e-05,80691.4909172236
"Leucobacter_viscericola",3.31278274193999e-05,3.46762686229318e-05,3.41904472667392e-05,3.53909440002362e-05,3.81613415481504e-05,3.53092039162534e-05,3.38164239703197e-05,"v_3315",150,3.71112595561493e-05,80335.6013667635
"Phaeobacter_sp._LSS9",1.44934244959875e-05,1.696212657941e-05,1.8001788523018e-05,1.30273413497802e-05,1.61137032006265e-05,1.1282711136458e-05,5.71545193864558e-06,"v_693",95,3.49467062729338e-05,80046.9477969638
"Chloroherpeton_thalassium",7.83828059476873e-06,1.37869501753825e-05,1.52820938540728e-05,1.21588519264615e-05,1.43744463472255e-05,1.2824952227053e-05,1.09546162157374e-05,"v_6475",101,3.49149820187843e-05,79886.5155612981
"Pseudochrobactrum_algeriensis",2.22331103662937e-05,1.48731947346551e-05,1.54116031240226e-05,1.73697884663736e-05,1.73414139206742e-05,1.33119757293461e-05,1.16690477080681e-05,"v_377",49,3.36496399488525e-05,79780.6436012063
"Synechococcus_sp._RS9909",1.54300743783812e-05,2.47329530418984e-05,2.84920393889494e-05,2.64889274112198e-05,2.9362748054475e-05,2.57310750378214e-05,2.40525269084668e-05,"v_5541",166,3.73929626444303e-05,79613.8089432916
"Metarhizium_majus",9.41579618616873e-06,1.07788883189354e-05,1.06197601358811e-05,8.6848942331868e-06,1.01797680537291e-05,9.57812887843195e-06,8.33503407719146e-06,"v_6664",67,3.3160896670646e-05,79277.2941534258
"Caldicellulosiruptor_changbaiensis",3.94378897849999e-06,4.42853551088045e-06,8.02957473688573e-06,0,4.34814213350239e-06,6.33130552981095e-06,0,"v_5412",87,2.91919663708547e-05,78958.6538105868
"Methylacidiphilum_infernorum",3.59870744288124e-06,5.01343642741183e-06,0,0,5.37123440020883e-06,2.51628809518128e-06,0,"v_5833",37,2.62501640635254e-05,78914.289008289
"Marinobacter_fonticola",3.48532350974937e-05,3.75172159317985e-05,4.36446239730724e-05,5.14579983316318e-05,5.3661189388753e-05,3.36046216582274e-05,3.04824103394431e-05,"v_1955",248,3.75925717078305e-05,78376.1917745692
"Candidatus_Endolissoclinum_faulkneri",6.95092807460623e-06,9.19130011692169e-06,1.03607415959816e-05,9.55338365650549e-06,1.37605909872017e-05,6.98067019953515e-06,5.95359576942247e-06,"v_813",134,3.40541460922867e-05,78294.2138237479
"Arthrobacter_sp._StoSoilA2",4.32830840390374e-05,2.65712130652827e-05,2.53838169101549e-05,3.06142521719835e-05,3.51943739747017e-05,2.7679169046994e-05,1.61937804928291e-05,"v_3408",37,3.40055088924406e-05,78225.3300467658
"Faecalibaculum_rodentium",7.78898323253748e-06,1.05282164975648e-05,1.43755289644245e-05,9.77050601233515e-06,1.3965209440543e-05,9.57812887843195e-06,8.57317790796836e-06,"v_5458",124,3.47898691900918e-05,78131.9105376403
"Candida_albicans",2.31697602486874e-06,1.08624455927256e-06,1.2950926994977e-06,0,2.09733914674821e-06,3.08448218118995e-06,0,"v_6747",100,2.39017161432191e-05,76473.2970657194
"Paenibacillus_sp._PAMC21692",2.24795971774499e-05,2.42316093991572e-05,3.18592804076434e-05,2.99628851044945e-05,3.25854886946003e-05,4.75659620572977e-05,2.97679788471124e-05,"v_4809",94,3.52945328768574e-05,76250.1454756005
"Synechococcus_sp._MVIR-18-1",2.71135492271874e-06,4.01074914192947e-06,3.75576882854333e-06,0,5.47354362687948e-06,4.95140560664703e-06,0,"v_5578",42,2.7604482968034e-05,76232.0985166619
"Yersinia_aleksiciae",2.51416547379374e-06,2.9245045826569e-06,3.88527809849309e-06,0,3.99005984015513e-06,3.32799393233653e-06,0,"v_2145",72,2.67630135153218e-05,75362.3517276204
"Brucella_intermedia",0.000102439918716537,0.000141044678157853,0.000171858801223345,9.44482247859065e-05,8.96740371768199e-05,7.33782076788346e-05,7.76348888332691e-05,"v_367",73,3.08565786225623e-05,74991.3967963093
"Moellerella_wisconsensis",3.45081535618749e-06,3.0080618564471e-06,3.10822247879448e-06,0,3.93890522681981e-06,2.67862926261233e-06,0,"v_2271",45,2.66425107902169e-05,74326.8729793715
"Bacillus_sp._NSP9.1",6.80303598791248e-06,1.11131174140962e-05,1.34689640747761e-05,9.33626130067581e-06,1.13563241604415e-05,2.32959575263557e-05,1.02401847234067e-05,"v_4612",91,3.34213428695565e-05,74057.985744749
"Nitratifractor_salsuginis",1.50849928427625e-05,1.98866311620669e-05,2.33116685909586e-05,2.25807250062857e-05,2.91581296011337e-05,2.04549870963123e-05,1.76226434774905e-05,"v_3155",156,3.71277938664885e-05,74040.8569197695
"Algoriphagus_sanaruensis",1.4000450873675e-05,8.68995647418051e-06,3.30248638371913e-05,8.03352716569779e-06,6.08739898690334e-06,3.65267626719863e-06,5.95359576942247e-06,"v_5934",23,3.17621649091602e-05,72394.4468614203
"Desulfatibacillum_aliphaticivorans",2.97263094254437e-05,3.41749249801907e-05,4.33856054331729e-05,5.10237536199725e-05,5.45308178154535e-05,4.13969976949178e-05,3.21494171548814e-05,"v_3081",215,3.76392652815417e-05,72202.9612511741
"Pseudanabaena_sp._ABRG5-3",3.84519425403749e-06,1.24500337947394e-05,1.21738713752784e-05,4.3424471165934e-06,5.32007978687351e-06,4.62672327178493e-06,2.85772596932279e-06,"v_5665",92,3.21151005202646e-05,71655.4850253622
"Corynebacterium_testudinoris",2.45500863911624e-05,2.69054421604435e-05,3.00461506283466e-05,3.12656192394725e-05,4.13329275749404e-05,2.84908748841493e-05,2.66721090470127e-05,"v_4116",189,3.76378486205728e-05,71631.8072172067
"Thermoanaerobacter_mathranii",5.02833094758749e-06,9.52552921208248e-06,8.54761181668481e-06,0,7.57088277362769e-06,6.25013494609543e-06,0,"v_5406",81,3.07068721979979e-05,71584.1656378911
"Kluyvera_intermedia",1.27187194556625e-05,1.27842628899002e-05,1.16558342954793e-05,1.21588519264615e-05,1.46302194139022e-05,9.740470045863e-06,9.28760940029906e-06,"v_2074",31,3.39443312966735e-05,71512.1466614015
