degrees , closeness , betweenness
2800686, 1, 2.89059112588524e-05, 0 
2976127, 1, 3.2183316168898e-05, 0 
3045146, 4, 3.27257256929672e-05, 10452.4856666982 
373891, 3, 3.33366670000333e-05, 12599 
1501392, 6, 3.28320966576926e-05, 9576.79464032417 
28135, 2, 3.33411129263495e-05, 3807.06471589826 
288004, 4, 3.38764863308378e-05, 2811.11207195405 
2913616, 3, 3.24107084980878e-05, 2288.73539482204 
2935863, 2, 2.82813427981561e-05, 4201 
29370, 1, 2.67737617135207e-05, 0 
3043332, 1, 2.8852534695173e-05, 0 
432330, 3, 3.28655470470306e-05, 4201 
43657, 5, 3.4010135020236e-05, 1241.21350866067 
747522, 12, 3.65270117251708e-05, 10407.8088038132 
118000, 10, 3.58744394618834e-05, 58379.362950074 
1336802, 7, 3.67120672565072e-05, 10128.4876548479 
138851, 3, 3.37837837837838e-05, 4201 
155977, 2, 2.85176524268522e-05, 4201 
1942464, 2, 2.86393447317925e-05, 4201 
2233542, 3, 2.86368843069874e-05, 8401 
2653681, 2, 2.97380081482142e-05, 4201 
2815577, 1, 2.55440890977828e-05, 0 
283735, 1, 2.55440890977828e-05, 0 
29495, 6, 3.44887049491292e-05, 2205.75221958633 
3025672, 1, 2.88783643294444e-05, 0 
3070682, 1, 2.73351010031982e-05, 0 
329854, 3, 3.45327716002486e-05, 189.515374015027 
35786, 2, 2.9085832291091e-05, 16792 
754477, 1, 2.85282286822811e-05, 0 
79883, 1, 3.03859009419629e-05, 0 
136073, 5, 3.0206917384081e-05, 1426.31937956364 
2731755, 6, 3.46428323979769e-05, 4034.01487015687 
28173, 4, 3.47995545657016e-05, 5508.50716813389 
2916754, 1, 3.40425531914894e-05, 0 
2924033, 5, 3.28062463092973e-05, 4560.75498881003 
2980107, 10, 3.67403923873907e-05, 3756.6265383355 
3027472, 7, 3.29337373205111e-05, 6684.55105957793 
313588, 1, 2.66787610383374e-05, 0 
363408, 1, 2.8930999566035e-05, 0 
2507935, 5, 3.33077973553609e-05, 3943.86873264233 
2829187, 2, 2.65752478141859e-05, 4201 
3073902, 1, 3.26445336728365e-05, 0 
433296, 1, 2.33770484138673e-05, 0 
754476, 2, 2.8802672888044e-05, 4201 
1441095, 2, 2.81745696334488e-05, 4201 
1827144, 8, 3.4651235316539e-05, 5276.47727796227 
187327, 8, 3.29673952461016e-05, 1410.56881000758 
2744027, 10, 3.45661942620118e-05, 1346.49225143226 
28262, 2, 3.31345261762757e-05, 4201 
3058398, 3, 2.80127738248641e-05, 4772.58892182108 
435912, 1, 3.33500083375021e-05, 0 
754423, 12, 3.44459371017189e-05, 10397.8206237138 
84032, 4, 3.31279401046843e-05, 579.38934879586 
84406, 1, 2.76548672566372e-05, 0 
848, 6, 3.66085810513984e-05, 4339.47574480573 
104264, 8, 3.63108206245461e-05, 4676.05707659311 
1936080, 1, 2.90098923732993e-05, 0 
1941349, 1, 3.14178893461937e-05, 0 
2808900, 1, 2.83237976547896e-05, 0 
76123, 1, 3.33300003333e-05, 0 
995019, 4, 3.2137806916056e-05, 4339.31139927491 
