"","SRR17036901","SRR17036899","SRR17036897","SRR17036898","SRR17036900","SRR17036904","SRR17036902","SRR17036903","nodos","degrees","closeness","betweenness"
"624315",0.00971092872482575,0.00578298103072512,0.0105429654604594,0.0143523152819376,0.0110703062312512,0.00760547384448341,0.0105713598883466,0.00877988679373284,"v_56",27,0.0138888888888889,37.3139661131406
"715472",0.00983939357827862,0.00698029651227802,0.0127140133549969,0.0115319425556437,0.0139911714388911,0.00801981866174112,0.0121163958186006,0.0106444091138376,"v_75",27,0.0140845070422535,15.2359163383089
"2001",0.00821498931290742,0.00509729375054064,0.0100976423703398,0.0183037085189454,0.0101013705681467,0.00802980287420516,0.00941841766848944,0.0080500532329876,"v_18",26,0.0140845070422535,7.43180660436081
"715475",0.0111046033520875,0.00909537804577015,0.0157373579896754,0.0142502203416192,0.0202870904462511,0.00911808203278566,0.0149649099468106,0.0140889609117777,"v_40",26,0.0136986301369863,13.0039369937441
"53359",0.0107825960549458,0.00790228217824916,0.0109671572264433,0.0131207950643477,0.0208786170173651,0.00819454237986184,0.0134467137645897,0.0102756626221268,"v_49",26,0.0135135135135135,14.7908557725434
"1993",0.00939906338979871,0.00646550360038567,0.0116261414828241,0.0123678448795001,0.0118727060772596,0.00821575883134793,0.0104663347873475,0.0093827927786963,"v_92",26,0.0140845070422535,7.43180660436081
"240495",0.0123275549504185,0.00960806115064655,0.0140053720521803,0.0140436376108189,0.018759070254324,0.00920918797152003,0.0160256634669019,0.010164053891698,"v_57",25,0.0131578947368421,12.5119086898344
"37927",0.00717712852316974,0.00858585965141768,0.0167704449474221,0.0125122135060439,0.0113871568442977,0.00670065458992967,0.00923287332339096,0.00847241568343387,"v_36",24,0.0131578947368421,29.835177528933
"2865833",0.0136586874779729,0.00822824736221378,0.0152325541353219,0.0149680753907325,0.017405155689361,0.0100266453670134,0.0165507889718976,0.0115438441767051,"v_47",24,0.0128205128205128,5.18178759000025
"2219224",0.010887396330131,0.00673239418790363,0.0194431661297745,0.0157481445441022,0.0130752244448626,0.00934397483978459,0.0116577862109044,0.0140462869854372,"v_3",22,0.0131578947368421,158.71961157487
