"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700","nodos","degrees","closeness","betweenness"
"Ottowia_oryzae",0.000223576686803574,0.000216364179019219,0.000159249375914608,0.0001883724404624,0.00029011349856869,0.000254170180953172,0.000167978823279872,0.000171191817247014,"v_2418",105,2.93892905425263e-05,16377.3741083494
"Brevilactibacter_coleopterorum",0.000167200206813794,0.000209762021649479,0.000286727131867874,0.000258741455577665,0.000270103197925757,0.000257276446531579,0.000266559615755559,0.000311081221504348,"v_4206",327,2.9385836027035e-05,4553.14146480041
"Hylemonella_gracilis",0.00025237227797706,0.0002356683130677,0.000160814480346201,0.000254411054647495,0.000300226231151677,0.000308840455133139,0.000178655443403593,0.000172001362410541,"v_2422",135,2.9375477351507e-05,14606.8182721247
"Phaeobacter_gallaeciensis",0.000153981387044328,0.000176033608999716,8.45938945276124e-05,8.66080186034024e-05,0.00024320763254547,0.000108408668686412,0.000101783778512804,8.89420286327489e-05,"v_777",24,2.93746144581852e-05,9757.14052160657
"Cellulomonas_iranensis",0.000226934981555817,0.000255331260016711,0.000317011902619202,0.000319367068600046,0.000296496712752278,0.000319790041297024,0.00029609826476452,0.00032257676282642,"v_3992",202,2.93746144581852e-05,14453.7351559769
"Streptomyces_sp._JB150",0.000236009522694856,0.000192826052744492,0.00042570840539335,0.000305293265576993,0.000256906440512496,0.000276845919675544,0.000280795109253854,0.000271845265912109,"v_3116",181,2.93737516155563e-05,12098.4392533511
"Microbacterium_oleivorans",0.000247370562388614,0.000225190976372242,0.000241104337686932,0.000259824055810207,0.000221404294210518,0.000244230131102268,0.00025837420699404,0.000264181571697394,"v_3747",69,2.93737516155563e-05,40546.9707941642
"Ureibacillus_thermophilus",4.35863786993224e-06,6.02805672889367e-06,4.85182373793891e-06,0,4.23156895316507e-06,4.34877180977012e-06,0,3.83184710735751e-06,"v_4781",125,2.93685756240822e-05,2131.53048867435
"Streptomyces_sp._YIM_121038",0.000228078230833176,0.000211627848732232,0.000333210733486192,0.000308541066274621,0.000292623751337516,0.000280495781730173,0.00027189792581742,0.000308490676981064,"v_3117",237,2.93659883123367e-05,6060.93337355115
"Waddlia_chondrophila",2.14359239504864e-06,3.58812900529385e-06,2.81718797686776e-06,0,3.58607538403819e-06,6.0572178778941e-06,6.05008473677505e-06,3.61596839708385e-06,"v_5549",103,2.93659883123367e-05,1344.03253881224
"Pseudomonas_knackmussii",0.000220004032811826,0.000258345288381157,0.000265754732484525,0.000345349474181067,0.000296424991244597,0.000320100667854865,0.000238800403433886,0.000281289959486582,"v_1248",250,2.93651259763904e-05,9791.51229935392
"Mycolicibacterium_hassiacum",0.000225220107639778,0.000189524974059621,0.000285162027436281,0.00026090665604275,0.000210502625043042,0.000218370470162028,0.000286133419315714,0.000271737326556973,"v_3402",218,2.93634014564247e-05,7696.36374930559
"Neorhizobium_sp._SOG26",0.00019756776574365,0.000160102316216212,0.000308012552137541,0.000227346048833931,0.000154846735082769,0.000254014867674251,0.000162284625880554,0.000157861306887616,"v_149",39,2.93625392723963e-05,8854.83023910452
"Halobacillus_litoralis",3.28684167240792e-06,3.15755352465859e-06,4.38229240846095e-06,0,2.72541729186903e-06,5.12533820437193e-06,7.11774674914712e-06,5.8826948549573e-06,"v_4615",84,2.93616771389982e-05,1865.36641887382
"Mesorhizobium_sp._NBSH29",0.000243297736838021,0.000146539188576201,9.97754075140664e-05,0.000143985830928156,8.24080123251977e-05,0.000124095309857369,0.000175452457366476,0.000157267640434363,"v_200",72,2.93599530240752e-05,8154.03794032225
"Enterobacter_sp._N18-03635",3.57265399174774e-06,3.51636642518798e-06,5.24309984583721e-06,0,5.45083458373805e-06,3.57220541516831e-06,0,3.18421097653652e-06,"v_1414",175,2.935822911162e-05,3326.62841915262
"Thiomicrospira_aerophila",3.57265399174774e-06,4.73633028698789e-06,2.89544319844742e-06,0,4.01640443012278e-06,3.57220541516831e-06,0,4.53345291574691e-06,"v_2253",249,2.935822911162e-05,12739.2353968424
"Shewanella_denitrificans",4.07282555059242e-06,2.94226578434096e-06,2.19114620423048e-06,0,4.66189799924965e-06,4.65939836761084e-06,0,3.13024129896811e-06,"v_1952",347,2.93573672313067e-05,16800.0491281537
"Methylosinus_trichosporium",0.000224505576841428,0.000271047265059898,0.000255659808900749,0.000339936473018354,0.000292265143799113,0.000305889502833652,0.000286845193990629,0.00030622395052319,"v_361",169,2.9356505401597e-05,11240.0456423314
"Aeromonas_sp._FDAARGOS_1411",3.21538859257297e-06,0,3.36497452792538e-06,0,5.59427759909958e-06,4.50408508869048e-06,0,6.42239163064146e-06,"v_1855",194,2.9356505401597e-05,1157.23353242914
"Polynucleobacter_sp._MWH-P3-07-1",4.28718479009729e-06,3.73165416550561e-06,2.97369842002708e-06,0,3.80123990708048e-06,4.11580189138958e-06,0,4.8572709811574e-06,"v_2556",184,2.93513354857646e-05,5578.29600396389
"Thermoleptolyngbya_sichuanensis",0,0,2.45721395760132e-05,0,1.88627565200409e-05,0,0,1.19272987426198e-05,"v_6745",6,2.93496125851139e-05,722.313247216413
"Sulfurovum_lithotrophicum",3.57265399174774e-06,1.93758966285868e-06,4.38229240846095e-06,0,3.87296141476125e-06,5.74659132005337e-06,0,2.96833226626286e-06,"v_3043",252,2.93444450965432e-05,6342.55110042423
"Alkalihalophilus_pseudofirmus",8.43146342052467e-06,5.36066473390902e-05,9.07760570324055e-06,0,4.59017649156889e-06,5.35830812275247e-06,1.21001694735501e-05,8.74308776608333e-06,"v_4623",12,2.93444450965432e-05,2649.73664462143
"Mesotoga_infera",2.28649855471855e-06,4.01870448592912e-06,5.47786551057619e-06,0,5.23567006069576e-06,3.64986205462849e-06,0,3.99375614006275e-06,"v_6265",197,2.93427230046948e-05,6809.53814128814
"Aureimonas_sp._AU20",0.000224648483001098,0.000278079997910274,0.000258555252099196,0.000299880264414281,0.000260779401927257,0.000300142911513599,0.000292539391389946,0.000290680683383486,"v_341",105,2.93401402458704e-05,6192.85641841866
"Mycolicibacterium_confluentis",0.000192351690915698,0.000143453397631648,0.000176778545548452,0.000163472635113922,0.000147172533760927,0.000153527176212777,0.000174384795354104,0.000189919295363255,"v_3408",59,2.93401402458704e-05,3398.35526023205
"Mycolicibacterium_celeriflavum",0.00022957874550971,0.000179119399944269,0.000383920117069811,0.000243585052322069,0.000188986172738813,0.000194063942010992,0.000359090323494472,0.000243727063898965,"v_3397",234,2.93358366580615e-05,8246.25662111755
"Streptomyces_liangshanensis",0.000233794477219972,0.000197060044970738,0.000325541721771385,0.000246832853019697,0.000261855224542469,0.00025354892783749,0.000252324122257265,0.000295214136299233,"v_3277",258,2.93272332688134e-05,2609.03145141443
"Streptomyces_avermitilis",0.000235437898056176,0.000199428210114232,0.000325619976992965,0.000252245854182409,0.000256117503928008,0.000220001259590692,0.000255882995631839,0.000295430015009507,"v_3278",268,2.93255131964809e-05,10008.0763669796
"Labilibaculum_antarcticum",4.64445018927206e-06,5.38219350794078e-06,2.3476566473898e-06,0,3.01230332259208e-06,4.50408508869048e-06,3.91476071203091e-06,3.61596839708385e-06,"v_6147",158,2.9322073657049e-05,21414.6251021578
"Polaromonas_naphthalenivorans",0.000233151399501458,0.000235524787907489,0.000158545078920391,0.00026090665604275,0.00029857663647502,0.000252617048163968,0.000248409361545234,0.000194776566344412,"v_2398",107,2.93212138982554e-05,7979.99185666694
"Streptomyces_deccanensis",0.000223862499122913,0.000209690259069373,0.000295882992792694,0.000230593849531559,0.000202900145228881,0.000209828239821408,0.000263356629718443,0.000452211928345754,"v_3298",231,2.93203541898786e-05,15764.2204548206
"Sphingorhabdus_sp._M41",7.28821414316539e-05,4.98032305934787e-05,5.91609475142229e-05,5.95430127898391e-05,5.85247502675033e-05,6.42996974730297e-05,6.65509321045255e-05,5.8179312418752e-05,"v_519",9,2.93186349243579e-05,765.275586096968
"Kocuria_flava",0.000154410105523337,0.000172158429673999,0.000357235086511147,0.000232759049996644,0.000198023082706589,0.000216040770978223,0.000364072746218875,0.000342383634494029,"v_3928",303,2.93177753672051e-05,5581.8175141559
