degrees , closeness , betweenness
2681552, 2, 7.21318570346594e-06, 17.6988275894887 
398, 17, 7.30156180406989e-06, 1077.44058981357 
151416, 8, 7.25084291048834e-06, 9218.87779721425 
2997354, 17, 7.40746227749835e-06, 9082.68421374166 
87883, 16, 7.13042982230969e-06, 2125.73103663748 
1763, 5, 7.08265457893619e-06, 24879.8375620343 
1325095, 22, 7.20331352422114e-06, 10470.5072430744 
2010829, 29, 7.28284380484892e-06, 45608.9162324848 
2321403, 13, 7.36805652772968e-06, 643.173964110361 
28214, 25, 7.32853070287938e-06, 20.7065407545446 
2802641, 54, 7.43638175409373e-06, 742.277908765556 
3034358, 21, 7.1411228701601e-06, 10315.5641028534 
204434, 12, 7.07393678730087e-06, 709.42338786159 
3049772, 60, 7.4807744097669e-06, 1235.29302847278 
2865838, 76, 7.60178794052361e-06, 21193.3139627893 
674703, 62, 7.5028323192005e-06, 2670.21043252837 
2903901, 60, 7.49018785391138e-06, 1399.44671893875 
420953, 31, 7.18024570800813e-06, 28226.3920199498 
255045, 51, 7.40949304248603e-06, 46902.5313882894 
722472, 65, 7.52938341879184e-06, 3143.50248299122 
2066070, 31, 7.58127122755944e-06, 702.034267931492 
2951806, 17, 7.50193174742496e-06, 18382.4303678237 
80864, 58, 7.480046974695e-06, 1097.55625870572 
940614, 28, 7.34004213184184e-06, 14669.0107611339 
1617967, 27, 7.30225493632434e-06, 16511.7776158291 
60548, 22, 7.14025604958194e-06, 7.97645598251509 
293958, 12, 7.66277653044804e-06, 17930.3170721187 
940615, 28, 7.33842620111691e-06, 37027.5987864925 
1002689, 1, 5.89021811477679e-06, 0 
88688, 68, 7.5375558721329e-06, 3858.99277686499 
858422, 26, 7.6285797110294e-06, 46230.5060785461 
191302, 10, 7.13226064133288e-06, 2.20352296462362 
2744516, 61, 7.67371369374209e-06, 52446.5571055025 
28104, 78, 7.63265555352018e-06, 4735.87076228762 
3039158, 75, 7.70671331797129e-06, 12194.610279887 
169427, 24, 7.15455995878973e-06, 8672.8127238809 
28095, 21, 7.26311355151726e-06, 25.6565037254653 
85007, 27, 7.49895014697942e-06, 2220.33990254241 
101571, 21, 7.26311355151726e-06, 25.6565037254653 
375, 66, 7.71700209902457e-06, 8587.52635868441 
2865837, 90, 7.74275471727331e-06, 16794.8828353087 
2493678, 77, 7.71872949712477e-06, 7791.00254557011 
1560345, 50, 7.62741598401294e-06, 1042.77959001513 
323415, 13, 7.53414852820409e-06, 8299.43860089001 
3015177, 77, 7.64982175915301e-06, 5514.53606291625 
296591, 17, 7.97155748290101e-06, 18510.210068016 
2599293, 38, 7.70558500801381e-06, 14638.7605222192 
252970, 28, 7.49990625117186e-06, 4627.22739928407 
212767, 15, 7.5135996153037e-06, 316.224170325387 
2010972, 14, 7.66230681408945e-06, 4584.05309066088 
2483404, 90, 7.83932519088757e-06, 14646.7550188546 
466153, 5, 7.50531000682983e-06, 24423.5903603676 
2763071, 31, 7.49602710563401e-06, 4908.00805990281 
2712222, 89, 7.92581437742728e-06, 918.494338784498 
60550, 30, 7.5198147117655e-06, 39700.3256314012 
407, 79, 7.8092054914333e-06, 8458.98811843178 
3023370, 44, 7.55926463473633e-06, 87784.286628799 
75105, 31, 7.43970122159894e-06, 15930.3699047128 
1325100, 80, 7.82264499272494e-06, 12723.0326515342 
858423, 81, 7.78749484078467e-06, 7607.91369639688 
106589, 26, 7.47283624026663e-06, 214.779805850659 
1873, 69, 7.77387356572033e-06, 8340.84110540323 
2911537, 34, 7.63044241305111e-06, 13306.6899238824 
165697, 91, 7.79052827572238e-06, 6714.21767456624 
3039156, 25, 7.93644494884961e-06, 15404.8460762461 
158899, 29, 8.16573169038812e-06, 3377.74025976035 
1325112, 85, 7.788465282916e-06, 8490.30067985636 
1197460, 24, 7.93675989713959e-06, 22660.8329994738 
222, 36, 7.70160886609213e-06, 28227.4721791331 
3014784, 69, 7.89808313522308e-06, 19875.4295257122 
1867715, 5, 7.72582589078772e-06, 197.731934152292 
56, 104, 7.94312720918225e-06, 16020.9281961546 
392734, 32, 7.68013762806629e-06, 27826.5659836769 
2823693, 39, 7.81671369722741e-06, 715.133226046493 
2589903, 102, 7.94224400162022e-06, 25677.4013723542 
1523415, 98, 7.88724396034294e-06, 23979.3231184568 
1325120, 104, 8.06555684604465e-06, 1375.83720362376 
2748629, 85, 8.0839436710805e-06, 1570.80777890126 
477697, 11, 7.6753039420361e-06, 1025.7882035089 
2899123, 71, 7.93902826294062e-06, 15757.4743158196 
212765, 18, 7.80134651240804e-06, 18467.9377988796 
337, 38, 7.70980301453298e-06, 4123.70222512327 
861299, 116, 8.12064023127583e-06, 5825.98207527466 
