"","vcXtM2TOMPOOB050180","iYASM2TOMPOOA050195","XR8LM2TOMPOOB051125","TECcM2TOMPOOA051310","FvY2M2TOMPOOB051329","abKIM2TOMPOOA051320","cuu6M2TOMPOOB051315","s9OmM2TOMPOOB051285","Nm8MM2TOMPOOA051300","IGpcM2TOMPOOB051290","a50wM2TOMPOOB051350","OeS0M2TOMPOOA051355","dSz8M2TOMPOOA051340","aFJgM2TOMPOOM090325","cSObM2TOMPOOM080315","wQqUM2TOMPOOA080335","X0n7bM2TOMPOOA100365","X1qGgM2TOMPOOM080340","X9JUZM2TOMPOOB100355","AYtCM2TOMPOOA100360","DYZgM2TOMPOOB100370","nG3jM2TOMPOOA051345","nodos","degrees","closeness","betweenness"
"Candidatus_Ruthia_endofausta",1.06734545343419e-06,1.43578888862123e-06,0,0,0,9.8396202451549e-07,9.80647125115275e-07,0,0,1.02170627758048e-06,1.77793121862962e-06,6.64539160367112e-07,0,0,1.287269187902e-06,1.19056801404666e-06,8.56863476446335e-07,2.23240410157522e-06,0,9.08750462056336e-07,1.33335575346341e-06,0,"v_2883",1,1.88889518520617e-05,0
"Thiomicrospira_sp._S5",1.01678698458731e-05,6.93964629500261e-06,8.0221376308286e-06,9.78547465716166e-06,1.01125066932154e-05,9.46117331264894e-06,7.71442405090683e-06,8.55898774512637e-06,7.63730427183346e-06,7.59894043950484e-06,9.77862170246289e-06,7.83206867575525e-06,1.06283113832653e-05,6.31486835754785e-06,1.06010403709577e-05,6.71820522212045e-06,1.14920513311626e-05,9.85234343495197e-06,1.05926847881824e-05,7.70274201171561e-06,1.15557498633496e-05,1.00819335013458e-05,"v_2904",1,2.75080461034853e-05,0
"Francisella_persica",6.74112917958436e-07,0,0,0,0,0,6.5376475007685e-07,0,1.33467453294177e-06,0,0,0,8.12753223426174e-07,0,9.84382320160354e-07,0,7.56056008629119e-07,1.78592328126018e-06,0,5.62559809844399e-07,0,0,"v_2924",1,1.38811771238201e-05,0
"Aggregatibacter_sp._2125159857",1.51675406540648e-06,1.99415123419615e-06,1.95133077506642e-06,0,1.39046967031711e-06,2.49774975453932e-06,0,0,0,0,0,0,1.87558436175271e-06,0,0,0,1.9153418885271e-06,2.23240410157522e-06,0,1.38476260884775e-06,1.77780767128455e-06,0,"v_2942",1,1.95301056578716e-05,0
"Actinobacillus_pleuropneumoniae",6.17936841461899e-06,8.1361370355203e-06,7.29942252895215e-06,5.23946674556687e-06,3.41297100896019e-06,6.05515092009532e-06,4.24947087549953e-06,3.83238257244465e-06,6.37677832405512e-06,4.15068175267071e-06,3.95993771422051e-06,4.65177412256979e-06,5.37667517035776e-06,0,2.11263590249799e-05,3.57170404213998e-06,6.70369660984486e-06,8.89985101827988e-06,0,4.67357380486116e-06,4.96304641566936e-06,3.85485692698516e-06,"v_2946",1,2.24502166445906e-05,0
"Cystobacter_fuscus",0.000839214406781756,0.000839856733794051,0.00286325269061412,0.00201172407735302,0.00107097766197834,0.000771577605993146,0.00126876125047414,0.00118650564442886,0.000957480680215393,0.0007825631519843,0.00080410980115294,0.00174636144636189,0.000845951066629197,0.000590530403835831,0.000754112578959767,0.00102933108871577,0.000699855845321021,0.000436181996059777,0.00069959868169223,0.000663993670942496,0.000722752893696805,0.000583121242070485,"v_2981",1,2.09375850589393e-05,0
"Stigmatella_aurantiaca",0.000670854705521636,0.000611965130750115,0.000529027454573562,0.000585972714706413,0.000776514107705275,0.000568275913850946,0.000513009199385304,0.00069161730824051,0.000693882459959393,0.000699166377076794,0.000681109286845927,0.000596139093932183,0.000962112258100414,0.000656746309184976,0.000972645454035366,0.00152537274771107,0.000558019738102199,0.000646117277771911,0.00078915501671959,0.000638548658004919,0.000739790217213282,0.00047207170982772,"v_2982",1,1.49378585086042e-05,0
"Polyangium_aurulentum",0.0021911478637474,0.00231943718351823,0.00130616300362131,0.00194715535481207,0.00202844243632534,0.00187906470927858,0.00160466557906363,0.00164715802963671,0.00151418825762244,0.00213855895226065,0.00163747465235788,0.00159721987194235,0.00264026010603929,0.000768970541139112,0.00211066713785767,0.00257230723492024,0.00168560166937167,0.000744313292853199,0.00211661101494772,0.00133547371473908,0.00302464345141211,0.00175470122041805,"v_2999",1,1.75103748971265e-05,0
"Sandaracinus_amylolyticus",0.00298952226291617,0.00333557688641522,0.00205952122581732,0.00284949939977285,0.0030575796018605,0.00264594957330865,0.00232230314522299,0.00286004324077256,0.00265607646913928,0.0026907911952929,0.00301658357262671,0.0025835383871758,0.00345914023838052,0.00170465360691749,0.0027481682727369,0.00257647422296941,0.00273349529733163,0.00236414570895618,0.00256728160411767,0.00212379310365718,0.00267841540742944,0.00332244187987732,"v_3002",1,1.57649136082734e-05,0
"Campylobacter_jejuni",1.71337033314436e-05,1.63520401204084e-05,8.31122367157918e-06,1.56413492551482e-05,1.41575093705015e-05,6.88773417160843e-06,1.02641065762065e-05,1.20720051032006e-05,1.56453514694841e-05,1.44954578131731e-05,1.31728540289376e-05,1.13920998920076e-05,1.77555319579256e-05,0,1.06767620878931e-05,1.44568973134237e-05,1.32057782840553e-05,1.55672979349845e-05,0,1.31119709525271e-05,7.18530600477504e-06,0,"v_3110",1,2.94377391816309e-05,0
"Campylobacter_upsaliensis",8.98817223944581e-07,9.57192592414153e-07,0,0,0,0,0,0,0,0,0,0,1.06283113832653e-06,0,0,0,0,3.15513113022631e-06,0,0,0,0,"v_3117",1,1.29917372551058e-05,0
"Sulfurimonas_lithotrophica",1.06734545343419e-06,1.11672469114985e-06,0,1.30986668639172e-06,1.07445383615413e-06,1.7408558895274e-06,0,7.66476514488929e-07,0,0,0,8.54407491900573e-07,8.12753223426174e-07,0,1.59015605564365e-06,0,5.54441072994687e-07,8.63196252609085e-07,0,0,0,0,"v_3128",1,1.92366882117575e-05,0
"Helicobacter_bizzozeronii",2.52792344234413e-06,1.83461913546046e-06,0,2.54268239123098e-06,1.26406333665192e-06,1.89223466252979e-06,2.1574236752536e-06,1.53295302897786e-06,1.33467453294177e-06,1.21327620462682e-06,1.69711616323736e-06,1.70881498380115e-06,9.37792180876354e-07,0,9.08660603224943e-07,0,1.36090081553241e-06,9.22727028651091e-07,0,1.81750092411267e-06,1.33335575346341e-06,0,"v_3136",1,2.16844479139561e-05,0
"Arcobacter_sp._FWKO_B",1.34822583591687e-06,1.51555493798908e-06,1.30088718337761e-06,0,8.84844335656345e-07,0,1.50365892517676e-06,1.14971477173339e-06,1.92786321424922e-06,8.93992992882922e-07,1.61630110784511e-06,7.12006243250478e-07,1.00031165960144e-06,0,0,0,0,6.25073148441062e-07,0,0,0,0,"v_3156",1,1.65352117333862e-05,0
"Aliarcobacter_cryaerophilus",1.8538105243857e-06,3.19064197471384e-06,0,1.8492235572589e-06,1.6432823376475e-06,0,2.28817662526898e-06,0,2.8176462362104e-06,0,2.42445166176766e-06,1.42401248650096e-06,1.62550644685235e-06,0,2.87742524354565e-06,0,2.21776429197875e-06,2.14310793751221e-06,0,3.07244203838095e-06,2.14818426946883e-06,0,"v_3157",1,1.8741683378001e-05,0
"Nitrosophilus_labii",2.58409951884067e-06,2.63227962913892e-06,3.17994644825638e-06,3.31319220675552e-06,5.43547234760326e-06,2.34637098153694e-06,4.05334145047647e-06,2.17168345771863e-06,2.44690331039324e-06,2.68197897864877e-06,2.74771188333668e-06,3.46509705048566e-06,3.31353237242979e-06,0,0,1.61577087620618e-06,2.5201866954304e-06,1.22038090886112e-06,0,2.25023923937759e-06,3.11116342474796e-06,2.81701083125838e-06,"v_3170",1,2.46184145741014e-05,0
"Nautilia_profundicola",1.96616267737877e-06,2.63227962913892e-06,1.73451624450348e-06,2.69678435433589e-06,2.14890767230827e-06,2.04361343553217e-06,2.09204720024592e-06,2.49104867208902e-06,2.8176462362104e-06,1.66027270106828e-06,2.02037638480638e-06,1.66134790091778e-06,3.00093497880433e-06,0,1.43871262177283e-06,2.38113602809332e-06,2.21776429197875e-06,1.51803478907115e-06,0,2.07714391327163e-06,3.11116342474796e-06,2.96527455921935e-06,"v_3173",1,2.30250282056596e-05,0
"Microbacterium_sp._KUDC0406",0.000101678698458731,0.000111592703065617,0.000169043062328902,0.000120199531221828,0.000118632344144783,0.000135711069996636,0.000184034777146633,0.000185615062592069,0.000215698234240423,0.000111046701044529,0.000153467790189893,0.000147195424021315,0.000111659789003011,0.000242851794550269,7.93563593483116e-05,0.000145844581720716,8.48294841681872e-05,0.000115192051641281,0,0.000192352181135258,0.000157780430826504,0,"v_3519",1,2.10934863314209e-05,0
