"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700","nodos","degrees","closeness","betweenness"
"Succinivibrio",2.35665469295646e-06,2.51040725189233e-06,1.64241073673618e-06,0,3.58417132453625e-06,3.57025049964103e-06,4.96549336787425e-06,2.96726475754291e-06,"v_421",34,9.59969280983009e-05,357.934068515667
"Colwellia",1.206892857908e-05,1.02568067720172e-05,6.64785298202741e-06,0,1.06091471206273e-05,9.77938180336457e-06,9.9309867357485e-06,9.76499856573212e-06,"v_453",34,0.000107342206955775,3710.44286568788
"Allofrancisella",2.92796492155196e-06,2.58213317337497e-06,2.18988098231491e-06,0,1.7204022357774e-06,2.09558181500669e-06,0,3.3988669040946e-06,"v_506",34,8.47242226552571e-05,253.800515240865
"Frederiksenia",1.99958580008427e-06,1.64969619410067e-06,1.01673045607478e-06,0,1.93545251524957e-06,1.94035353241361e-06,0,1.67245831788782e-06,"v_519",34,8.41538332071026e-05,2783.09492375896
"Melaminivora",0.000622728149169101,0.000605868858763842,0.000546844565298067,0.000773274931949661,0.000895612730575118,0.000825193550264858,0.0005082537140117,0.000580343036307074,"v_544",34,9.42684766214178e-05,3966.89705859777
"Mitsuaria",0.000607302772997022,0.000489457688197521,0.00037767625941424,0.000625269466472472,0.000674756093557194,0.000629217843491084,0.000417101442901437,0.00045739037480816,"v_597",34,9.86874568242376e-05,8429.78864630679
"Herbiconiux",0.000171678723692949,0.000159661901220352,0.000192396686303382,0.00017267304305672,0.000167165750576371,0.000192948755263209,0.000182304542220526,0.000226159524793089,"v_800",34,0.000113934146063575,432.870721456061
"Micrococcus",0.000479900592020224,0.000573520468175173,0.000660092696097781,0.000578079318059455,0.000627660082352788,0.000659487358596736,0.000639484610162662,0.000828784021915894,"v_822",34,9.47149081265391e-05,2761.54616652366
"Raineyella",9.89080833255968e-05,0.000115335281744082,0.000162598662936882,0.000135135425000912,0.000152757381851735,0.000140947280594524,0.000168826774507725,0.000188448287238134,"v_899",34,0.00011706860220089,1156.72233607696
"Actinotignum",1.12119632361868e-05,1.46320879824581e-05,1.83011482093461e-05,1.50150472223235e-05,1.94262085789865e-05,2.0102062595805e-05,1.80885829829705e-05,2.06629527661624e-05,"v_937",34,0.00013349352556401,19666.983530979
