degrees , closeness , betweenness
1938607, 85, 7.03784247900963e-06, 29798.5687469962 
2840469, 28, 6.55634523091448e-06, 6855.00795684766 
3049772, 34, 6.66880068288519e-06, 8195.2169386428 
2728024, 73, 7.11384282675659e-06, 2625.98424947531 
653931, 85, 7.0032915470271e-06, 35605.0711604809 
1526658, 11, 6.86855643549395e-06, 16675.0969495284 
2894081, 16, 6.64394437689768e-06, 101.407806008902 
2582905, 21, 6.65743502343417e-06, 1798.96704889379 
204441, 65, 6.90836741461258e-06, 9088.11962420309 
2714939, 28, 6.71605203597117e-06, 5097.65028579584 
946334, 41, 7.03116211047362e-06, 1759.61918458629 
2840457, 17, 6.63904822604631e-06, 402.356998723629 
88688, 10, 6.86850925875048e-06, 15220.6086057275 
2005464, 11, 7.06808688092394e-06, 78549.7135686235 
106589, 42, 6.46024045014955e-06, 40302.2816646075 
1763, 30, 6.3998361641942e-06, 27053.4726497322 
107, 65, 6.84983115166211e-06, 1522.35342732112 
37331, 53, 6.92333787965854e-06, 11565.0135897243 
745310, 83, 7.0566650201115e-06, 29177.338261635 
2762325, 43, 7.08355764599212e-06, 9333.74211757358 
190148, 32, 6.65876493228036e-06, 130.246489066922 
165697, 59, 6.70043686848382e-06, 3731.13040932747 
1090615, 52, 7.15619834119322e-06, 17081.2308219578 
53359, 3, 7.07784210749827e-06, 246.513550064087 
160826, 20, 6.68203534796699e-06, 30859.5403895158 
3037797, 47, 6.82212004202426e-06, 4022.14400287764 
3040509, 56, 7.16773943833594e-06, 15469.4511687926 
2045, 41, 6.74249728614484e-06, 25829.8949778104 
2991074, 87, 7.17591762046572e-06, 7186.69607745797 
1867, 60, 7.19854301489379e-06, 1442.49327675895 
2732067, 50, 6.98855972772571e-06, 1473.47356933273 
1866, 55, 7.16768806221553e-06, 15327.0529198697 
2898433, 78, 7.10878574830633e-06, 16933.1437051489 
2017486, 17, 6.84467381706925e-06, 480.111618450237 
1643322, 17, 6.63904822604631e-06, 402.356998723629 
122358, 51, 7.15338283474255e-06, 4471.30275504274 
2830997, 5, 7.84473696596953e-06, 16.9498765420922 
1327635, 93, 7.13551775316817e-06, 32414.0551936249 
29405, 29, 6.81788740940732e-06, 15807.5484954421 
2763008, 43, 6.93726630084149e-06, 28588.7470483312 
93064, 84, 7.12753294702105e-06, 56852.7590857407 
196162, 23, 6.68261584314564e-06, 186.017857500542 
661481, 3, 6.80415597847165e-06, 2641.60950298229 
113562, 63, 7.25794745246044e-06, 8241.66209152796 
2950605, 92, 7.18592134290498e-06, 17876.8204283764 
2306583, 72, 6.87994496044032e-06, 754.256545412481 
3039159, 42, 7.05561944810945e-06, 1451.58438422222 
39643, 64, 6.73341727660205e-06, 25795.408099745 
2884263, 68, 6.99961502117384e-06, 69763.5820614896 
29539, 52, 6.85123904658157e-06, 770.488000764656 
2520506, 64, 6.85147375200406e-06, 718.009065784209 
2651334, 88, 7.1127802435416e-06, 57588.9861179605 
2898796, 27, 6.8864357874295e-06, 6219.96144956418 
32033, 67, 6.84177037650262e-06, 24185.4418375681 
2880933, 86, 7.14331635605146e-06, 543.120968076629 
2931390, 23, 6.75278721292213e-06, 85.6295624876649 
1824, 58, 6.81653965181115e-06, 7641.3879468355 
75, 57, 7.33535789211156e-06, 60996.6827418749 
2792008, 74, 7.13786064040886e-06, 5302.75750818851 
2849779, 64, 6.98431323247985e-06, 9812.35943760499 
103733, 54, 7.04905436935635e-06, 5748.21936695974 
68, 79, 6.86299404978416e-06, 18005.8956123746 
1882682, 30, 6.91037246907608e-06, 22487.4797162116 
2789776, 62, 7.13847208143569e-06, 4128.62500529194 
858423, 46, 6.94483026834824e-06, 5259.3501966631 
2567896, 79, 6.91104107922817e-06, 30968.4183533693 
1274631, 47, 6.9041224515158e-06, 2057.52220752906 
1690815, 82, 7.22720899642976e-06, 35846.7515052296 
2823693, 19, 7.20725915141731e-06, 2377.45217737507 
2053, 62, 6.81788740940732e-06, 6710.626922745 
2723776, 50, 7.63510315024356e-06, 4870.73532757167 
76892, 63, 7.34457052623848e-06, 95365.9330487966 
82115, 46, 7.03417907613092e-06, 9275.51161888189 
2558918, 40, 6.76763985327757e-06, 4465.25605798667 
2599297, 96, 7.23494769132819e-06, 52159.7718704107 
2760089, 18, 6.88913995976742e-06, 13629.3234157114 
2722752, 95, 7.14694110920526e-06, 24946.2076336533 
284016, 24, 7.26411599340418e-06, 359.297204797724 
2932773, 51, 7.06993580498289e-06, 11005.8980050201 
2740529, 60, 7.14122486288848e-06, 192150.896934944 
1836, 50, 7.01208181697064e-06, 27129.1099704714 
37919, 117, 7.13903266107442e-06, 17970.4028595431 
1268, 41, 6.83943068578971e-06, 6392.12465097977 
2710596, 64, 6.9922735377408e-06, 539.847127299401 
2518370, 34, 6.93072737983851e-06, 27099.2827434271 
445576, 93, 7.2805638068612e-06, 7093.12331536115 
2598579, 54, 6.83975814615195e-06, 2506.98757599807 
2996826, 18, 6.89065902262892e-06, 495.621862816608 
2918765, 81, 7.41377776459773e-06, 65928.7219516643 
1162, 9, 7.27526700229898e-06, 25273.9125395105 
2995304, 87, 6.94222678866473e-06, 6907.56138486328 
13690, 86, 7.3871611139839e-06, 29597.4842450681 
2528642, 79, 7.72367770637667e-06, 11615.6720931791 
722472, 43, 6.94463735103753e-06, 2084.36396887945 
1620816, 14, 7.35986811116345e-06, 145187.551371139 
204455, 1, 6.79190947743048e-06, 0 
2074, 76, 7.17818406299574e-06, 13453.1805208353 
624315, 83, 7.12042779530194e-06, 769.960919007997 
1842539, 61, 7.22752240531946e-06, 38025.4942126259 
675864, 17, 6.77304868467395e-06, 30819.6787895905 
160791, 73, 7.10984713828653e-06, 27776.2858298113 
2937787, 87, 7.43273375947674e-06, 82373.8986067186 
522, 55, 7.39595736970172e-06, 26546.0918518887 
298654, 77, 7.03640636654048e-06, 15352.3563882545 
419476, 22, 6.98870625069887e-06, 40321.2058211281 
2034, 60, 7.05746185441868e-06, 1625.26861274399 
1325100, 58, 7.06459156063892e-06, 14801.8617053863 
2917724, 44, 7.07829299886039e-06, 4087.43907382253 
2987689, 89, 8.03884369272324e-06, 133338.608610618 
2880932, 86, 7.79994696036067e-06, 40155.2188953267 
1822464, 64, 6.86959448783738e-06, 4039.76275441227 
1211326, 64, 7.11040323096723e-06, 790.564355710772 
2728827, 101, 7.12641548427556e-06, 817.49553890788 
2663857, 28, 6.97218794229817e-06, 1533.50212206696 
2760705, 30, 7.05094306363476e-06, 625.797688502195 
1437009, 35, 7.02429704347337e-06, 6428.91796605954 
2732487, 69, 7.42583447814948e-06, 465.768492036968 
1774216, 35, 7.10580544304697e-06, 4268.89466085916 
83451, 84, 6.9993700566949e-06, 5900.26091512764 
85030, 42, 7.49030006142046e-06, 42886.6439955317 
2937801, 69, 6.93572662139949e-06, 1968.40242746846 
2802641, 78, 7.19326135276473e-06, 1995.76869276312 
3040935, 43, 7.50581700818134e-06, 5079.57114461115 
1210884, 14, 7.22705230217751e-06, 20878.3157014984 
2843216, 92, 7.09753431657842e-06, 32966.1618975806 
131568, 58, 6.95434472686811e-06, 69584.5614793893 
2937800, 77, 6.99888017917133e-06, 7808.61256097765 
2698679, 92, 7.18514686440191e-06, 36232.7591710381 
2596915, 50, 8.13583591646124e-06, 888.730229760097 
375, 59, 7.159784920061e-06, 13156.9477953155 
1909395, 94, 7.05761128088587e-06, 17515.6031666825 
467976, 109, 7.29208444233784e-06, 7884.39815147413 
1969806, 33, 7.45228673418438e-06, 10523.8784530768 
2483798, 29, 7.17046342705129e-06, 2253.61672007425 
2562284, 99, 7.17164617966408e-06, 53271.1922038057 
2843215, 92, 7.10010437153426e-06, 2436.85097401269 
2944128, 78, 7.29607471180505e-06, 43151.4033028919 
1483604, 85, 7.30060229968972e-06, 16691.2740489505 
182640, 75, 7.01478717135722e-06, 11604.7100994858 
2898794, 57, 7.10096147018306e-06, 585.912992261446 
158500, 79, 7.47641192039117e-06, 13945.5522607474 
2981138, 85, 7.36583138138802e-06, 4811.35203884517 
142864, 12, 7.41421750348468e-06, 5356.93735972677 
739141, 14, 7.54403832371468e-06, 2226.82619760621 
1940610, 68, 7.35429306857878e-06, 1922.41899066416 
265, 16, 7.03056891363649e-06, 20527.7056497406 
94, 77, 7.17885396775259e-06, 7519.59441989039 
46165, 113, 7.16306722538591e-06, 652.96808870885 
99598, 13, 7.41438241901641e-06, 5906.6501139002 
2268449, 93, 7.36604840967015e-06, 12418.5297359369 
1868589, 17, 7.44352227474041e-06, 55195.342052859 
2807101, 13, 7.32000117120019e-06, 3214.28279831235 
1542737, 34, 7.26358835792058e-06, 10460.6612232613 
2082949, 90, 7.25005437540782e-06, 22843.7460182816 
2219224, 117, 7.15266651407645e-06, 553.94941839387 
88138, 5, 7.0337832610026e-06, 21776.9826969089 
222, 51, 6.95671531729579e-06, 23940.443552468 
1630693, 15, 7.42285794876743e-06, 1656.71976911707 
53461, 73, 7.12829505438889e-06, 23721.4990865903 
715473, 111, 7.28374559333392e-06, 892.534575081981 
2735870, 67, 7.14265306705523e-06, 647.355192976803 
338, 82, 6.94690480656344e-06, 9675.28353794357 
2013, 106, 7.24527426985749e-06, 736.666859352845 
1349819, 84, 7.29022380987096e-06, 31551.7441201828 
450734, 20, 7.19926855431488e-06, 67543.6178818082 
53362, 104, 7.81744697816587e-06, 11070.7181862 
103731, 90, 7.3839428778179e-06, 374.574032935082 
2932251, 57, 8.07148103605531e-06, 871.617421227456 
1298, 4, 7.73353337406327e-06, 0.00854700854700855 
2560501, 38, 1.09427148875636e-05, 36786.5571693839 
2560611, 80, 1.07791143879619e-05, 64816.1074976802 
2560671, 63, 1.07789981999073e-05, 51957.3908734334 
2560685, 6, 8.9437438511761e-06, 214.504203492409 
2560783, 112, 1.0585707178168e-05, 15227.9053392154 
2560848, 57, 1.11315188957533e-05, 15101.1731937251 
2563662, 173, 1.13814846008513e-05, 307793.968679896 
2565560, 24, 9.82540259587137e-06, 4055.59660953023 
2590931, 10, 8.51701699996593e-06, 13805.9938946905 
2599847, 88, 1.07977367943679e-05, 117974.429642094 
2603820, 250, 1.12973925617967e-05, 195888.815028719 
2656550, 97, 1.08634250206405e-05, 9190.49814644063 
2663020, 22, 1.00975422582144e-05, 28133.4292464174 
2725684, 29, 1.0867675186924e-05, 73247.8805595891 
2734109, 41, 8.9669210283265e-06, 101925.164829762 
2734145, 18, 9.24248585899664e-06, 9487.97231288923 
2734189, 11, 9.45599652019328e-06, 4013.81031449801 
2734243, 58, 1.10688036836979e-05, 146233.278154811 
2734251, 267, 1.16631677163518e-05, 375400.366231797 
2734279, 150, 1.14351057747284e-05, 595720.391302186 
2734567, 2, 7.62288083912672e-06, 0.961085923477945 
2743910, 123, 1.05735070208087e-05, 24552.7514013003 
2755405, 3, 9.24513474783895e-06, 572.879196486449 
2758906, 117, 1.05290866017373e-05, 107419.448801282 
2762280, 41, 1.06010813102936e-05, 3640.70384492235 
2762398, 25, 9.81325378055602e-06, 187477.437359516 
2776868, 74, 1.15382840263996e-05, 18586.0416196869 
2800128, 11, 9.95500338470115e-06, 9274.92716976588 
2832315, 126, 1.05321916437591e-05, 29630.8479702609 
2841063, 99, 1.15158285062819e-05, 6491.88048832446 
2845590, 212, 1.11796798139701e-05, 373069.015387365 
2846064, 91, 1.03587225623336e-05, 392706.195373962 
2846681, 2, 6.50334597150234e-06, 15052 
2851068, 18, 9.56132634719088e-06, 3732.05856379533 
2881426, 19, 1.0646452601993e-05, 67182.7543544006 
2894335, 260, 1.15065529819232e-05, 317904.299990026 
2894593, 5, 1.03035423578626e-05, 2076.69949328389 
2925837, 16, 1.03376268943701e-05, 45589.2305425249 
2936912, 12, 1.08930088669092e-05, 10707.4147470438 
2942894, 91, 1.14453142883304e-05, 105435.981467108 
2944251, 76, 1.1266463119233e-05, 19554.9311681752 
2946813, 97, 1.1503243914784e-05, 124182.103186011 
2948912, 179, 1.1596488583257e-05, 175154.771053282 
2954006, 20, 8.23668950975224e-06, 8628.83322422954 
2954097, 102, 1.10677011277987e-05, 43612.8630224767 
2955239, 36, 1.08479871559832e-05, 22778.8868018621 
2955345, 9, 8.82651485061124e-06, 15273.1264781609 
2955391, 10, 8.63915958255581e-06, 54018.9210365639 
2955565, 89, 1.14764445974637e-05, 72004.2185530748 
2955574, 31, 1.06924425815833e-05, 663.460774772347 
2956059, 72, 1.07345663771912e-05, 7048.68935018195 
2956084, 79, 1.0614021121902e-05, 227814.225631186 
2956112, 99, 1.13295190619158e-05, 51603.7582216072 
2956125, 9, 8.28102485963663e-06, 421.303820832792 
2956194, 15, 8.59084387859419e-06, 437.703556268542 
2956316, 27, 1.03188525435972e-05, 14787.3048940806 
2956357, 5, 8.42367727207635e-06, 30415.96238899 
2956431, 37, 1.12451786296625e-05, 16843.6819405044 
3015951, 10, 1.01558929568882e-05, 2488.86953673562 
3026968, 141, 1.12809521123583e-05, 71008.3255470655 
3038077, 19, 9.75828722542619e-06, 48531.9966119216 
3047366, 4, 9.0390577686182e-06, 552.039502166173 
3047695, 5, 8.10674967978339e-06, 389.841949675777 
3048268, 18, 8.83602979509247e-06, 28258.5443290147 
3048365, 20, 9.12442059929194e-06, 95163.7213141865 
3050304, 14, 1.08068385674455e-05, 3391.71580254141 
3051419, 7, 1.02809791604552e-05, 42852.4519586997 
3052245, 4, 7.66877046603118e-06, 16835.8774890046 
32069, 34, 1.06490602204355e-05, 15667.4215763183 
328615, 14, 9.50778211966495e-06, 38970.6845718413 
345198, 35, 1.0239292260119e-05, 163198.027484609 
345199, 6, 9.13784438251017e-06, 12959.0505462913 
359407, 54, 1.00616780866713e-05, 57661.8846329905 
373213, 3, 8.45816170313544e-06, 218.406881088786 
37665, 119, 1.09615468934976e-05, 118074.684109252 
392332, 186, 1.10939770798434e-05, 64628.7872503101 
401469, 16, 1.04816309417745e-05, 12914.1356166616 
40222, 76, 1.12734487734488e-05, 13385.6843690402 
43659, 87, 1.04568602231494e-05, 26504.3791917705 
43687, 34, 1.03973881760902e-05, 294774.50202425 
515417, 5, 8.81981989927766e-06, 3693.22409116116 
650003, 9, 1.06630270201105e-05, 32830.3225297486 
712310, 62, 1.15736722104557e-05, 133938.875971248 
861045, 30, 1.01988781234064e-05, 41372.9758635568 
929832, 5, 9.87986089155865e-06, 22124.4345503254 
1089111, 30, 9.59094614683739e-06, 260470.840644386 
1091, 248, 1.11798048006082e-05, 350593.942761853 
110103, 42, 9.15734144063295e-06, 527582.276939865 
115987, 21, 8.53672070410872e-06, 4480.96422598261 
1183412, 106, 1.11879349309704e-05, 49751.8958189219 
1211642, 2, 8.12281699293315e-06, 61.5555785881232 
1234680, 49, 1.03924176920519e-05, 281551.911761278 
125593, 24, 1.02660972404731e-05, 32205.0972895753 
1305738, 62, 1.00832879585375e-05, 7479.58245512881 
1306518, 17, 8.27075131504946e-06, 2748.04608195868 
137779, 71, 1.10253583241455e-05, 121953.066603166 
145263, 1, 7.47289208396542e-06, 0 
148943, 18, 9.29048561368303e-06, 5202.81174238169 
1501226, 38, 1.08122134763429e-05, 16549.3048492002 
1572712, 16, 9.49352067214126e-06, 88772.7270313059 
1573458, 7, 9.06799180253541e-06, 1508.2284065429 
1586715, 99, 1.15893655981272e-05, 112438.370505058 
1805459, 19, 1.02506278509559e-05, 75068.0758775896 
1813599, 45, 1.05692603631598e-05, 279313.939301135 
