Id,Label
384,Methylocella_silvestris
385,Methylocella_tundrae
386,Methylovirgula_ligni
387,Methylovirgula_sp._HY1
388,Beijerinckia_indica
389,Kaistia_sp._32K
390,Acuticoccus_sp._I52.16.1
391,Hartmannibacter_diazotrophicus
392,Breoghania_sp._L-A4
393,Lichenihabitans_psoromatis
394,Lichenihabitans_sp._PAMC28606
395,Bartonella_apis
396,Bartonella_sp._HY038
397,Bartonella_sp._46A
398,Bartonella_australis
399,Bartonella_vinsonii
400,Bartonella_quintana
401,Bartonella_ancashensis
402,Bartonella_birtlesii
403,Bartonella_grahamii
404,Bartonella_alsatica
405,Bartonella_bacilliformis
406,Bartonella_bovis
407,Bartonella_henselae
408,Bartonella_tribocorum
409,Cohaesibacter_sp._ES.047
410,Sphingomonas_sp._HDW15A
411,Sphingomonas_sp._S8-45
412,Sphingomonas_sp._DM2-R-LB4
413,Sphingomonas_sp._Cra20
414,Sphingomonas_sp._MM-1
415,Sphingomonas_sp._LM7
416,Sphingomonas_sp._CL5.1
417,Sphingomonas_sp._AK-PDB1-5
418,Sphingomonas_sp._AP4-R1
419,Sphingomonas_sp._S2-65
420,Sphingomonas_sp._AAP5
421,Sphingomonas_sp._NBWT7
422,Sphingomonas_sp._FARSPH
423,Sphingomonas_sp._PAMC26645
424,Sphingomonas_sp._KC8
425,Sphingomonas_sp._HMP9
426,Sphingomonas_sp._HMP6
427,Sphingomonas_sp._LK11
428,Sphingomonas_sp._NIC1
429,Sphingomonas_sp._IC081
430,Sphingomonas_sediminicola
431,Sphingomonas_daechungensis
432,Sphingomonas_lutea
433,Sphingomonas_sabuli
434,Sphingomonas_sinipercae
435,Sphingomonas_ginsengisoli_An_et_al._2013
436,Sphingomonas_rhizophila
437,Sphingomonas_piscis
438,Sphingomonas_xanthus
439,Sphingomonas_alpina
440,Sphingomonas_sanxanigenens
441,Sphingomonas_profundi
442,Sphingomonas_koreensis
443,Sphingomonas_changnyeongensis
444,Sphingomonas_hengshuiensis
445,Sphingomonas_panacisoli
446,Sphingomonas_panacis
447,Sphingomonas_taxi
448,Sphingomonas_suaedae
449,Sphingomonas_radiodurans
450,Sphingomonas_aliaeris
451,Sphingomonas_insulae
452,Sphingomonas_paucimobilis
453,Sphingomonas_sanguinis
454,Sphingomonas_melonis
455,Sphingomonas_lacunae
456,Sphingomonas_paeninsulae
457,Sphingopyxis_sp._YF1
458,Sphingopyxis_sp._PAMC25046
459,Sphingopyxis_sp._BSN-002
460,Sphingopyxis_sp._QXT-31
461,Sphingopyxis_sp._OPL5
462,Sphingopyxis_sp._EG6
463,Sphingopyxis_sp._FD7
464,Sphingopyxis_sp._113P3
465,Sphingopyxis_sp._MG
466,Sphingopyxis_fribergensis
467,Sphingopyxis_macrogoltabida
468,Sphingopyxis_lindanitolerans
469,Sphingopyxis_terrae
470,Sphingopyxis_alaskensis
471,Sphingopyxis_granuli
472,Sphingobium_sp._SYK-6
473,Sphingobium_sp._TKS
474,Sphingobium_sp._YG1
475,Sphingobium_sp._CAP-1
476,Sphingobium_sp._EP60837
477,Sphingobium_sp._SCG-1
478,Sphingobium_sp._RAC03
479,Sphingobium_sp._Cam5-1
480,Sphingobium_sp._KCTC_72723
481,Sphingobium_sp._MI1205
482,Sphingobium_sp._PAMC28499
483,Sphingobium_sp._YBL2
484,Sphingobium_sp._RSMS
485,Sphingobium_sp._LF-16
486,Sphingobium_indicum
487,Sphingobium_yanoikuyae
488,Sphingobium_chlorophenolicum
489,Sphingobium_phenoxybenzoativorans
490,Sphingobium_amiense
491,Sphingobium_cloacae
492,Sphingobium_xenophagum
493,Sphingobium_baderi
494,Sphingobium_herbicidovorans
495,Sphingobium_fuliginis
496,Novosphingobium_sp._Gsoil_351
497,Novosphingobium_sp._Sx8-5
498,Novosphingobium_sp._EMRT-2
499,Novosphingobium_sp._P6W
500,Novosphingobium_sp._THN1
501,Novosphingobium_sp._ES2-1
502,Novosphingobium_sp._PP1Y
503,Novosphingobium_sp._KA1
504,Novosphingobium_resinovorum
505,Novosphingobium_aromaticivorans
506,Novosphingobium_decolorationis
507,Novosphingobium_ginsenosidimutans
508,Novosphingobium_pentaromativorans
509,Rhizorhabdus_wittichii
510,Rhizorhabdus_dicambivorans
511,Rhizorhabdus_phycosphaerae
512,Allosphingosinicella_indica
513,Sphingosinithalassobacter_sp._CS137
514,Sphingosinithalassobacter_tenebrarum
515,Parasphingopyxis_algicola
516,Parasphingopyxis_sp._CP4
517,Sphingorhabdus_sp._YGSMI21
518,Sphingorhabdus_sp._SMR4y
519,Sphingorhabdus_sp._M41
520,Sphingorhabdus_lacus
521,Sphingorhabdus_lutea
522,Blastomonas_sp._RAC04
523,Blastomonas_fulva
524,Citromicrobium_sp._JL477
525,Tardibacter_chloracetimidivorans
526,Hankyongella_ginsenosidimutans
527,Novosphingopyxis_iocasae
528,Aquisediminimonas_profunda
529,Parasphingorhabdus_sp._JHSY0214
530,Parasphingorhabdus_halotolerans
531,Parasphingorhabdus_litoris
532,Erythrobacter_sp._HL-111
533,Erythrobacter_sp._HKB08
534,Erythrobacter_sp._SDW2
535,Erythrobacter_sp._JK5
536,Erythrobacter_sp._THAF29
537,Erythrobacter_sp._3-20A1M
538,Erythrobacter_sp._LQ02-29
539,Erythrobacter_sp._A30-3
540,Erythrobacter_sp._KY5
541,Erythrobacter_sp._SCSIO_43205
542,Erythrobacter_litoralis
543,Erythrobacter_mangrovi
544,Erythrobacter_neustonensis
545,Erythrobacter_aureus
546,Porphyrobacter_sp._CACIAM_03H1
547,Porphyrobacter_sp._LM_6
548,Porphyrobacter_sp._HT-58-2
549,Porphyrobacter_sp._GA68
550,Qipengyuania_flava
551,Qipengyuania_sediminis
552,Qipengyuania_soli
553,Qipengyuania_aurantiaca
554,Qipengyuania_gelatinilytica
555,Qipengyuania_seohaensis
556,Qipengyuania_aquimaris
557,Qipengyuania_xiapuensis
558,Qipengyuania_psychrotolerans
559,Altererythrobacter_sp._B11
560,Altererythrobacter_sp._TH136
561,Altererythrobacter_sp._BO-6
562,Altererythrobacter_sp._ZODW24
563,Altererythrobacter_epoxidivorans
564,Altererythrobacter_ishigakiensis
565,Tsuneonella_amylolytica
566,Tsuneonella_dongtanensis
567,Tsuneonella_mangrovi
568,Tsuneonella_flava
569,Croceicoccus_sp._YJ47
570,Croceicoccus_sp._Ery5
571,Croceicoccus_sp._Ery15
572,Croceicoccus_marinus
573,Croceicoccus_naphthovorans
574,Croceibacterium_atlanticum
575,Aurantiacibacter_gangjinensis
576,Aurantiacibacter_atlanticus
577,Pelagerythrobacter_marensis
578,Paraurantiacibacter_namhicola
579,Sphingosinicella_sp._BN140058
580,Sphingosinicella_flava
581,Sphingosinicella_microcystinivorans
582,Polymorphobacter_sp._PAMC_29362
583,Polymorphobacter_sp._PAMC_29334
584,Sandaracinobacter_sp._M6
585,Zymomonas_mobilis
586,Azospirillum_sp._B510
587,Azospirillum_sp._TSH100
588,Azospirillum_sp._TSA2s
589,Azospirillum_sp._TSH58
590,Azospirillum_brasilense
591,Azospirillum_thermophilum
592,Azospirillum_thiophilum
593,Azospirillum_ramasamyi
594,Azospirillum_oryzae
595,Azospirillum_humicireducens
596,Azospirillum_lipoferum
597,Azospirillum_baldaniorum
598,Skermanella_mucosa
599,Skermanella_sp._TT6
600,Skermanella_pratensis
601,Skermanella_rosea
602,Nitrospirillum_amazonense
603,Indioceanicola_profundi
604,Niveispirillum_cyanobacteriorum
605,Roseomonas_sp._S08
606,Roseomonas_sp._OT10
607,Roseomonas_sp._FDAARGOS_362
608,Roseomonas_gilardii
609,Roseomonas_haemaphysalidis
610,Roseomonas_marmotae
611,Roseomonas_mucosa
612,Rhodovastum_atsumiense
613,Komagataeibacter_xylinus
614,Komagataeibacter_saccharivorans
615,Komagataeibacter_nataicola
616,Komagataeibacter_oboediens
617,Komagataeibacter_europaeus
618,Komagataeibacter_medellinensis
619,Komagataeibacter_rhaeticus
620,Roseococcus_microcysteis
621,Acidiphilium_multivorum
622,Acidiphilium_cryptum
623,Sediminicoccus_rosea
624,Lichenicola_cladoniae
625,Acetobacter_aceti
626,Acetobacter_persici
627,Acetobacter_sp._KACC_21233
628,Acetobacter_ghanensis
629,Acetobacter_pasteurianus
630,Acetobacter_tropicalis
631,Acetobacter_senegalensis
632,Acetobacter_orientalis
633,Acetobacter_ascendens
634,Acetobacter_oryzoeni
635,Acidibrevibacterium_fodinaquatile
636,Gluconobacter_oxydans
637,Gluconobacter_albidus
638,Gluconobacter_sphaericus
