"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700"
"Microvirga","70295","78424","92374","4343","50419","46412","18933","88214"
"Methylorubrum","20087","23967","24919","2004","26069","27044","5215","34947"
"Brucella","181621","27192","15072","942","8286","18095","1797","12147"
"Pseudochrobactrum","2690","636","461","45","576","639","142","932"
"Pseudolabrys","39042","37555","20264","2212","38691","29616","7630","53805"
"Starkeya","12393","16343","14341","1455","18733","21376","3162","21675"
"Xanthobacter","11254","14136","12721","1147","15156","14680","2879","20557"
"Ancylobacter","12014","14967","12400","1172","14710","15333","2915","20960"
"Labrys","4012","4630","4203","461","8235","7383","891","6551"
"Azorhizobium","3745","4652","4009","344","4859","4645","926","6488"
"Devosia","64547","47484","30505","2441","27989","36546","15164","50881"
"Youhaiella","5239","4044","3490","272","3470","4053","1068","5685"
"Paradevosia","5463","4548","3640","318","3773","4513","1238","6128"
"Pelagibacterium","1759","1812","1479","135","1499","1666","494","2668"
"Maritalea","340","303","255","21","324","309","78","445"
"Rhodoplanes","36184","48285","19178","2761","73905","36492","7980","62982"
"Hyphomicrobium","13240","21151","11023","1246","15467","18691","3045","22061"
"Methyloceanibacter","3846","7805","5167","585","4959","5880","1623","9773"
"Aquabacter","3071","3688","3268","294","3682","3839","780","5305"
"Methyloligella","2833","5353","3572","355","3284","4016","1027","6972"
"Caenibius","2923","2648","2588","234","2626","2922","525","3463"
"Rhodomicrobium","2262","3127","2414","226","2844","2801","565","4265"
"Filomicrobium","1179","1801","940","86","1130","1171","291","2156"
"Bosea","64606","56972","37737","3643","49097","45489","10352","66875"
"Aureimonas","16796","19562","17508","1553","18757","20936","4411","29745"
"Martelella","8910","9578","8745","745","9581","10345","2049","14321"
"Aurantimonas","5063","5988","5776","513","5352","6539","1479","9593"
"Pseudorhodoplanes","11501","14650","7954","912","9645","9738","2392","15178"
"Nordella","10025","10007","7651","916","12720","11752","1550","13960"
"Terrihabitans","2891","3371","3142","239","2688","2871","686","4701"
"Candidatus_Hodgkinia","24","15","48","0","33","50","0","28"
"Methylocystis","11206","13839","11594","1059","14918","14451","2770","20005"
"Methylosinus","5601","6759","5898","577","7294","7165","1446","10024"
"Stappia","6750","8268","7691","649","7840","8788","1856","12609"
"Pannonibacter","4716","5588","4811","450","5019","5662","1320","8071"
"Roseibium","3403","3797","3230","265","3567","3840","791","5790"
"Labrenzia","2598","3153","2385","219","2824","2955","595","4442"
"Pseudovibrio","554","749","562","51","655","653","146","966"
"Phreatobacter","16806","21158","17079","1514","20883","20414","4331","29518"
"Kaustia","5000","6240","6562","578","6309","7348","1372","10104"
"Parvibaculum","3612","4400","3840","432","4595","5174","919","6359"
"Pyruvatibacter","1738","1988","1704","170","2121","2191","393","2871"
"Candidatus_Phaeomarinobacter","719","749","639","54","760","775","158","1081"
"Chelatococcus","10568","12291","13103","1129","12148","13157","2880","18618"
"Blastochloris","9159","12070","10091","979","12756","11951","2444","17382"
"Methylocella","4008","5023","3944","356","5307","5043","992","6934"
"Methylovirgula","3191","4134","3188","317","4369","3939","825","5896"
"Beijerinckia","952","1207","915","98","1192","1169","217","1615"
"Kaistia","6266","7430","5920","607","6523","6920","1480","11802"
"Acuticoccus","4619","5985","6197","534","6286","6952","1260","9180"
"Hartmannibacter","3636","4253","3896","334","4088","4499","935","6236"
"Breoghania","3309","4052","3487","329","3608","4104","829","6064"
"Lichenihabitans","2862","3404","2906","236","3661","3363","697","4961"
"Bartonella","664","659","440","36","700","575","122","928"
"Cohaesibacter","590","735","586","51","714","706","149","1013"
"Sphingomonas","396793","258073","435103","25358","421596","367415","71392","452294"
"Sphingopyxis","161389","47960","55367","4098","54417","55192","10290","67368"
"Sphingobium","85865","55282","69970","5078","95795","73056","15872","85280"
"Novosphingobium","59416","44398","47732","3061","42782","44894","8874","56172"
"Rhizorhabdus","24999","17615","22958","1537","23186","22525","4677","27747"
"Allosphingosinicella","10116","7231","9626","495","6800","7937","2196","11657"
"Sphingosinithalassobacter","7942","5950","8145","491","7775","7454","1505","9608"
"Parasphingopyxis","4588","3339","4589","323","4247","4357","868","5547"
"Sphingorhabdus","4458","3286","3799","261","3652","4068","803","4974"
"Blastomonas","4376","3317","4304","246","3667","3803","768","4945"
"Citromicrobium","3433","2581","2985","177","2439","2616","627","3560"
"Tardibacter","3813","3020","4491","305","3832","4170","856","5198"
"Hankyongella","2471","2395","2703","216","3001","3023","471","3750"
"Novosphingopyxis","2709","2043","2571","195","2473","2564","510","3359"
"Aquisediminimonas","1158","900","1041","61","1064","1038","187","1394"
"Parasphingorhabdus","1134","1051","971","63","1037","1016","225","1411"
"Erythrobacter","39311","28297","37547","1980","25483","28189","5858","36649"
"Porphyrobacter","11635","8742","11261","550","7762","8245","1801","10912"
"Qipengyuania","24396","17911","20196","1209","16248","17579","3794","23652"
"Altererythrobacter","20170","13435","13014","814","9698","11438","2550","14385"
"Tsuneonella","17476","11271","11375","745","8970","10116","2317","13785"
"Croceicoccus","14245","10920","11841","794","11054","12010","2279","15192"
"Croceibacterium","4277","3190","2493","159","1823","2341","551","2802"
"Aurantiacibacter","2883","2009","2117","127","1830","1944","388","2574"
"Pelagerythrobacter","2679","1952","2067","113","1514","1817","404","2413"
"Paraurantiacibacter","2539","1806","1787","110","1464","1658","373","2289"
"Sphingosinicella","18278","13890","16898","1014","13733","14754","3616","20753"
"Polymorphobacter","4312","4060","5046","352","5513","5031","956","6652"
"Sandaracinobacter","2122","1962","2325","190","2479","2455","404","3122"
"Zymomonas","261","364","248","25","348","274","38","405"
"Azospirillum","46514","53197","66779","5348","73245","72413","12988","86354"
"Skermanella","25701","58793","31397","2143","26600","29436","18884","94207"
"Nitrospirillum","3815","4123","4433","387","5403","5468","785","5932"
"Indioceanicola","2780","3111","4026","313","4023","4524","766","5307"
"Niveispirillum","1783","1976","1851","183","1962","2174","357","2655"
"Roseomonas","32666","33126","43086","3250","40229","45668","8656","53693"
"Rhodovastum","5492","5728","6726","530","7659","7536","1288","9098"
"Komagataeibacter","5339","5809","5959","535","7025","7159","1210","8774"
"Roseococcus","3893","3969","5424","402","4845","5630","1147","6387"
"Acidiphilium","4235","4976","6083","517","6580","6821","1207","8260"
"Sediminicoccus","3025","2945","3515","275","3616","3902","717","4744"
"Lichenicola","2369","2541","2658","214","3171","3032","514","3834"
"Acetobacter","2711","3041","3042","263","3562","3739","556","4274"
"Acidibrevibacterium","2174","2293","2875","212","3260","3250","542","3828"
"Gluconobacter","1982","2089","2056","163","2447","2448","433","3040"
"Gluconacetobacter","1718","1772","2004","154","2310","2457","392","2814"
"Granulibacter","1106","1165","1140","106","1507","1312","248","1677"
"Asaia","776","746","814","56","1044","934","167","1201"
"Neoasaia","754","796","826","56","943","980","132","1169"
"Kozakia","536","622","589","64","769","761","117","888"
"Novacetimonas","539","528","641","53","697","752","110","885"
"Oecophyllibacter","261","284","362","30","405","417","60","474"
"Parasaccharibacter","206","219","226","15","258","296","48","347"
"Swingsia","182","175","228","22","227","234","47","287"
"Neokomagataea","83","99","66","0","104","102","25","140"
"Entomobacter","49","27","68","0","63","69","0","57"
"Commensalibacter","34","20","31","0","45","48","0","56"
"Bombella","13","31","20","0","33","31","0","25"
"Hypericibacter","15462","16925","21944","2056","25797","30939","3759","26276"
"Magnetospirillum","131613","171934","193578","19237","224636","237454","39516","282850"
"Ferrovibrio","8229","6540","6316","629","6233","10691","1511","11116"
"Rhodospirillum","5234","6194","7377","597","7890","8557","1412","9786"
"Tistrella","4615","5340","6393","528","6468","7650","1143","8912"
"Defluviicoccus","1768","2278","2666","231","2817","3149","519","3611"
"Pararhodospirillum","1008","1326","1466","119","1608","1750","288","2108"
"Haematospirillum","187","218","308","25","265","348","48","370"
"Candidatus_Endolissoclinum","86","92","144","0","128","167","21","187"
"Stella","8903","9589","10961","964","12026","12982","2092","15427"
"Elioraea","3214","3726","5066","363","5121","5663","910","6403"
"Thalassospira","1601","1858","1711","154","2102","2094","372","2701"
"Magnetospira","695","850","945","88","1043","1215","186","1418"
"Terasakiella","97","117","109","10","123","125","25","171"
"Paracoccus","29320","39374","36491","3034","35040","39992","8473","56341"
"Cereibacter","7365","9500","10503","780","9544","11695","2473","15464"
"Rhodobacter","7363","10132","10339","830","9891","11194","2355","15324"
"Rhodovulum","3866","5082","5126","468","5135","5626","1193","7990"
"Polymorphum","3358","4193","4090","380","4316","4775","893","6712"
"Paroceanicella","3327","4848","4633","382","4466","5187","1130","7185"
"Thioclava","2072","2465","2482","193","2745","2873","560","3676"
"Pikeienuella","1998","2771","2799","276","2642","3373","664","4809"
"Pontivivens","1823","2708","2508","210","2481","2919","653","4274"
"Silicimonas","1750","2454","2473","178","2131","2637","586","3536"
"Pelagovum","1685","2138","2290","191","2216","2521","535","3444"
"Frigidibacter","1774","2437","2217","219","2313","2722","585","3603"
"Pukyongiella","1420","1728","1675","124","1691","2116","413","2679"
"Brevirhabdus","1600","1979","2048","186","1965","2404","488","2956"
"Fuscovulum","1129","1262","1286","81","1445","1458","313","1880"
"Haematobacter","1257","1778","1596","150","1526","1801","361","2444"
"Gymnodinialimonas","959","1241","1237","96","1311","1409","266","1982"
"Pseudopuniceibacterium","909","1024","1042","88","1046","1180","230","1617"
"Falsirhodobacter","953","1064","1155","91","1232","1294","285","1713"
"Pacificitalea","999","1093","1089","81","1093","1243","241","1626"
"Gemmobacter","951","1099","1179","121","1204","1327","280","1614"
"Tabrizicola","868","1084","1030","82","1171","1226","306","1724"
"Pseudooceanicola","730","924","902","73","964","1001","190","1455"
"Monaibacterium","793","983","927","104","918","1164","248","1537"
"Roseicitreum","639","784","756","56","753","895","160","1179"
"Tritonibacter","751","888","811","74","836","1034","216","1171"
"Yoonia","517","592","614","73","641","758","131","846"
"Qingshengfaniella","442","570","508","45","563","625","113","831"
"Rhodophyticola","354","455","459","33","470","544","98","822"
"Pseudohalocynthiibacter","411","477","483","45","572","622","125","771"
"Rhodobaca","345","440","346","22","367","438","101","623"
"Profundibacter","331","385","366","47","366","450","73","590"
"Pseudorhodobacter","306","357","279","31","334","406","64","510"
"Parasedimentitalea","261","319","281","26","287","340","73","485"
"Cognatishimia","238","275","260","23","296","328","62","421"
"Aestuarium","322","372","357","27","389","415","77","522"
"Planktomarina","154","189","131","13","189","179","33","253"
"Roseovarius","7007","8976","8920","764","9084","10262","2069","13076"
"Sulfitobacter","7195","8642","8319","709","8908","9773","1900","12511"
"Salipiger","5681","7158","7526","609","7585","8756","1602","10516"
"Roseivivax","4035","5179","5402","460","5315","5918","1305","7823"
"Celeribacter","3445","4338","4398","312","4392","4948","945","5831"
"Phaeobacter","3696","4102","2993","258","5071","3584","687","4554"
"Leisingera","2333","2979","2813","227","2814","3291","617","4191"
"Ruegeria","2347","2757","2740","249","2910","3201","612","3946"
"Pseudosulfitobacter","2263","2528","2405","201","2570","2850","591","3426"
"Sagittula","2142","2853","2978","243","2792","3211","729","3931"
"Yangia","1712","2377","2350","218","2384","2610","544","3459"
"Ponticoccus","1416","1738","1687","176","1687","2048","384","2482"
"Roseobacter","1131","1338","1219","107","1416","1597","288","2015"
"Mameliella","1252","1632","1714","123","1674","1954","410","2395"
"Dinoroseobacter","1354","1752","1782","137","1784","2031","429","15585"
"Ketogulonicigenium","1083","1176","1244","84","1373","1373","296","1797"
"Octadecabacter","1032","1210","1057","77","1192","1251","268","1667"
"Oceanicola","933","1231","1098","82","1125","1219","270","1756"
"Roseibacterium","953","1096","1090","88","1223","1251","223","1662"
"Actibacterium","1224","1516","1427","103","1648","1727","348","2090"
"Maribius","667","810","778","56","881","921","191","1312"
"Thalassococcus","622","717","752","78","750","840","162","1124"
"Antarctobacter","576","658","629","54","733","744","171","1010"
"Tateyamaria","562","668","755","60","716","812","161","1116"
"Jannaschia","507","626","659","69","681","784","145","963"
"Thalassobius","361","425","368","30","431","468","81","674"
"Falsihalocynthiibacter","135","174","133","14","193","174","54","248"
"Caulobacter","53914","44476","43126","3314","61943","54161","10223","54918"
"Brevundimonas","50223","37453","39533","2848","39008","39880","6719","45535"
"Phenylobacterium","25770","18316","26235","1471","32291","26537","3527","20508"
"Terricaulis","4557","7400","2738","435","2769","5324","914","10925"
"Asticcacaulis","2830","2858","2312","212","3030","3022","480","3622"
"Hyphomonas","2805","3306","2623","225","3138","3292","599","4469"
"Candidatus_Viadribacter","2645","3506","1573","227","1631","2855","451","5225"
"Hirschia","67","76","48","0","46","51","0","93"
"Marinicauda","2288","2681","2966","235","2985","3488","545","4247"
"Maricaulis","921","933","892","76","995","1019","166","1368"
"Glycocaulis","752","827","764","86","902","934","177","1236"
"Hyphobacterium","657","687","531","51","696","758","131","1054"
"Aquisalinus","1104","1129","1057","79","1195","1290","208","1660"
"Parvularcula","341","467","482","34","535","586","71","661"
"Anaplasma","145","161","174","16","189","209","51","326"
"Wolbachia","102","128","84","0","124","145","24","179"
"Ehrlichia","37","48","30","0","64","63","13","75"
"Neorickettsia","30","30","49","0","46","45","10","53"
"Rickettsia","224","187","219","19","251","281","64","430"
"Orientia","18","13","17","0","23","15","0","33"
"Candidatus_Sneabacter","13","12","13","0","15","20","0","17"
"Candidatus_Phycorickettsia","13","21","49","0","54","37","0","51"
"Candidatus_Fokinia","28","50","34","0","55","26","0","76"
"Candidatus_Deianiraea","24","19","0","0","12","12","0","24"
"Micavibrio","571","571","643","36","594","631","121","893"
"Candidatus_Puniceispirillum","101","155","71","13","189","93","19","180"
"Paremcibacter","336","347","336","23","354","441","79","545"
"Luteithermobacter","379","394","420","36","466","514","104","566"
"Candidatus_Cytomitobacter","40","35","50","0","48","60","24","113"
"Candidatus_Nesciobacter","21","20","21","0","15","18","0","19"
"Candidatus_Hydrogenosomobacter","20","33","60","0","45","74","0","49"
"Candidatus_Paracaedibacter","68","51","48","0","92","67","19","88"
"Candidatus_Nucleicultrix","60","71","49","0","79","94","19","111"
"Magnetococcus","163","206","191","18","233","259","31","326"
"Candidatus_Pelagibacter","71","92","57","0","96","84","20","129"
"Candidatus_Fonsibacter","45","35","29","0","45","55","0","57"
"Kordiimonas","96","79","65","0","100","114","17","145"
"Lysobacter","318905","263752","172986","12429","113848","171189","25083","182913"
"Pseudoxanthomonas","212781","44156","33171","3662","26612","49804","8388","35094"
"Stenotrophomonas","190581","60264","48515","4056","50496","63076","8487","63814"
"Xanthomonas","83889","60462","66539","4042","53821","79046","8990","71979"
"Luteimonas","62798","35291","31954","2480","28097","35454","5351","41264"
"Thermomonas","45842","16169","14915","1540","13656","19046","2603","19078"
"Arenimonas","13086","8542","3142","460","3924","5041","992","6282"
"Pseudolysobacter","2832","2212","1457","167","2355","2203","303","2380"
"Xylella","545","510","409","28","529","586","66","754"
"Rhodanobacter","69162","13769","12800","4449","22505","28068","1977","22335"
"Luteibacter","55872","15089","12645","1506","16942","26761","2198","18233"
"Frateuria","41558","8004","12212","776","9597","10624","2059","12144"
"Dyella","21553","11664","10027","962","12683","14664","1636","14221"
"Dokdonella","11001","6864","4831","516","7671","7386","910","8048"
"Aerosticca","8023","5460","5559","560","6348","7470","855","7749"
"Ahniella","1815","1735","1107","117","1667","1710","243","1844"
"Pseudomonas","354543","512438","288254","22913","320913","318539","50397","404593"
"Azotobacter","4124","4943","9245","536","10387","11445","828","12412"
"Halopseudomonas","3161","3520","2851","285","3286","3777","544","4505"
"Permianibacter","712","749","440","52","617","650","114","851"
"Thiopseudomonas","98","99","55","0","89","89","20","93"
"Entomomonas","38","36","27","0","56","41","14","43"
"Marinobacter","6065","6756","5389","519","7101","7405","1143","8894"
"Klebsiella","39614","40672","35164","3944","51184","74872","12087","69434"
"Raoultella","1653","1923","2045","163","2557","2598","315","2999"
"Enterobacter","12657","16357","16025","1619","41045","19026","2595","21792"
"Citrobacter","5036","5188","4894","389","7034","6620","995","7346"
"Cronobacter","1814","2071","2060","196","2545","2545","391","2762"
"Kosakonia","1616","1789","1527","137","2340","2674","297","2440"
"Leclercia","1924","2690","2133","285","2805","2978","416","3320"
"Salmonella","26436","28145","27408","2892","38794","43045","7615","73957"
"Pluralibacter","1081","1251","1154","113","1642","1503","217","1976"
"Escherichia","11867","17000","15289","916","22704","16877","1665","22071"
"Cedecea","930","1035","927","89","1220","1175","192","1392"
"Lelliottia","607","683","620","62","865","807","116","1037"
"Kluyvera","516","566","533","38","604","649","90","781"
"Candidatus_Symbiopectobacterium","116","189","148","17","204","215","39","219"
"Candidatus_Blochmannia","97","107","57","0","83","65","15","120"
"Candidatus_Hamiltonella","75","74","61","0","68","41","0","113"
"Candidatus_Doolittlea","19","17","25","0","21","26","0","25"
"Candidatus_Hoaglandella","14","15","0","0","17","18","0","18"
"Buttiauxella","262","236","218","20","257","256","44","300"
"Plesiomonas","263","333","256","25","318","330","34","395"
"Jejubacter","215","226","219","24","347","321","49","365"
"Pseudescherichia","205","307","192","18","275","283","42","333"
"Atlantibacter","226","235","246","23","322","392","35","312"
"Pseudocitrobacter","210","242","150","23","271","248","32","241"
"Shimwellia","169","216","190","0","298","227","39","325"
"Scandinavium","164","214","155","14","242","229","33","248"
"Yokenella","171","240","224","21","290","242","39","372"
"Phytobacter","353","417","359","39","432","511","51","516"
"Candidatus_Profftia","28","20","17","0","18","19","0","31"
"Shigella","677","2331","1844","0","2372","1878","0","3539"
"Candidatus_Moranella","19","18","24","0","29","19","0","32"
"Candidatus_Schneideria","11","14","11","0","11","11","0","12"
"Serratia","9561","11538","9753","828","12575","12829","1932","15355"
"Rahnella","1147","1248","1000","96","1364","1313","212","1526"
"Yersinia","1352","3589","932","345","2670","3923","421","6593"
"Nissabacter","604","607","599","47","739","758","133","953"
"Gibbsiella","332","357","325","23","451","480","54","520"
"Ewingella","217","208","188","14","234","245","39","286"
"Rouxiella","186","189","151","13","286","240","37","292"
"Chania","102","138","91","0","175","125","16","171"
"Candidatus_Fukatsuia","35","35","33","0","49","28","0","37"
"Pantoea","5727","6784","5650","474","7645","7301","1081","8683"
"Erwinia","2289","2470","2184","238","2939","2962","419","3584"
"Mixta","1348","1649","1427","115","1789","1834","263","2257"
"Buchnera","234","256","125","25","274","218","49","329"
"Tatumella","108","154","113","0","181","165","18","167"
"Dickeya","2590","3036","2798","305","3571","3406","576","4299"
"Pectobacterium","1689","2021","1591","153","2207","2078","317","2660"
"Brenneria","1025","1099","1040","80","1336","1319","184","1539"
"Lonsdalea","473","565","522","44","636","645","84","736"
"Musicola","247","264","273","24","377","387","49","404"
"Morganella","823","785","757","91","720","988","120","1130"
"Providencia","582","491","365","38","545","652","115","658"
"Xenorhabdus","299","401","286","20","396","331","42","409"
"Photorhabdus","226","187","169","21","212","216","30","228"
"Proteus","309","354","336","47","453","564","81","489"
"Arsenophonus","68","65","48","0","78","78","22","91"
"Moellerella","46","38","32","0","46","35","0","47"
"Edwardsiella","1515","1995","1712","147","2239","2428","346","3180"
"Hafnia","249","278","230","25","319","277","60","342"
"Obesumbacterium","41","46","42","0","88","57","0","74"
"Sodalis","1089","1156","1129","90","1358","1306","242","1733"
"Leminorella","113","146","147","13","160","173","51","194"
"Pragia","44","60","56","0","64","78","0","56"
"Limnobaculum","34","48","24","0","31","56","0","56"
"Jinshanibacter","32","42","26","0","29","54","0","44"
"Thioalkalivibrio","9902","11152","8922","892","11803","13429","1777","14969"
"Spiribacter","5582","6133","5634","535","6497","7633","1058","9078"
"Acidihalobacter","4039","4273","3358","322","4493","4986","719","5742"
"Halorhodospira","1917","2142","1856","193","2206","2652","360","2952"
"Ectothiorhodospira","1727","1800","1403","137","1799","2017","260","2179"
"Aquisalimonas","1599","1947","1547","141","1994","2181","271","2571"
"Alkalilimnicola","1584","1808","1615","150","1973","2155","285","2651"
"Ectothiorhodosinus","262","255","203","14","248","272","42","365"
"Allochromatium","3294","3716","3333","329","4268","4679","667","5277"
"Thiodictyon","2220","2708","2666","242","3399","3517","463","4017"
"Thioflavicoccus","2240","2899","2466","256","3098","3435","534","4163"
"Marichromatium","2429","2698","2436","235","3143","3392","491","4183"
"Thiocapsa","1844","2137","1961","187","2394","2548","378","3134"
"Thiocystis","1410","1647","1476","156","1903","1961","254","2271"
"Thermochromatium","1047","1262","1071","115","1329","1429","202","1739"
"Caldichromatium","617","725","695","76","900","967","142","1095"
"Nitrosococcus","549","630","771","47","738","890","135","1043"
"Rheinheimera","212","280","204","24","325","250","60","336"
"Candidatus_Nitrosoglobus","54","39","24","0","29","43","0","40"
"Candidatus_Nitrosacidococcus","38","57","37","0","37","40","0","74"
"Wenzhouxiangella","2904","3256","2637","229","3269","3679","553","4324"
"Thiohalobacter","2575","2944","2319","219","2785","3218","440","3621"
"Sulfurivermis","2339","2563","1861","237","2541","2955","343","3229"
"Guyparkeria","1904","2045","1781","191","2389","2552","340","3050"
"Woeseia","1305","1447","847","96","1110","1357","183","1724"
"Halothiobacillus","1210","1302","902","95","1324","1392","202","1629"
"Sulfuriflexus","435","438","333","19","390","488","76","538"
"Granulosicoccus","332","355","279","26","342","394","50","468"
"Halomonas","26047","29254","27694","2471","32237","35566","5267","43885"
"Cobetia","2607","2982","2449","240","3127","3172","543","4012"
"Halotalea","1527","1707","1546","153","1876","1964","289","2573"
"Salinicola","1255","1495","1321","143","1584","1787","303","2141"
"Kushneria","1105","1140","997","107","1233","1280","197","1622"
"Chromohalobacter","1064","1078","921","94","1299","1329","206","1621"
"Pistricoccus","649","677","726","67","793","892","117","1043"
"Zymobacter","227","250","181","18","240","257","27","316"
"Candidatus_Portiera","127","47","26","0","65","36","0","64"
"Alcanivorax","4925","5235","4579","420","5551","6453","822","7371"
"Ketobacter","205","203","174","23","211","207","29","274"
"Marinobacterium","1333","1449","1126","129","1490","1578","246","1903"
"Marinomonas","446","452","393","45","428","494","82","571"
"Thalassolituus","264","246","181","16","277","281","45","394"
"Venatorbacter","256","266","230","0","218","309","33","298"
"Bacterioplanes","181","192","150","18","168","191","40","191"
"Nitrincola","130","127","113","0","108","147","26","152"
"Neptunomonas","109","148","111","0","151","180","24","170"
"Amphritea","68","89","75","0","99","99","10","116"
"Bermanella","55","34","27","0","37","53","0","73"
"Saccharospirillum","521","515","397","44","530","560","84","584"
"Reinekea","220","209","148","21","195","202","29","275"
"Gynuella","146","119","153","15","155","178","24","191"
"Hahella","737","988","638","71","884","957","116","1202"
"Litoricola","319","290","235","17","265","326","66","429"
"Oleiphilus","125","117","107","0","113","119","29","170"
"Endozoicomonas","95","101","78","10","107","142","15","156"
"Spartinivicinus","40","48","34","0","41","36","0","170"
"Steroidobacter","12411","10921","8440","840","10040","12238","1247","10912"
"Solimonas","4655","5372","3909","557","6302","8420","901","7996"
"Flagellatimonas","1576","1567","1321","151","1692","2268","252","2438"
"Sinimarinibacterium","1199","1291","929","116","1387","1699","190","1781"
"Methylococcus","5763","6444","5678","565","7308","8072","1125","8970"
"Methylomonas","3448","4023","3106","324","4107","4396","693","5003"
"Methylomicrobium","1731","1961","1521","179","2155","2154","340","2734"
"Methylomagnum","1507","1829","1425","135","1947","2060","300","2388"
"Methylogaea","1512","1779","1309","126","1836","1979","271","2237"
"Methylocaldum","1277","2198","1429","148","1867","1873","258","2594"
"Candidatus_Methylospira","515","634","497","51","591","694","101","767"
"Methylotuvimicrobium","599","710","455","45","658","784","79","894"
"Methylovulum","201","237","214","20","267","238","48","314"
"Methylobacter","93","95","86","0","113","109","17","136"
"Aeromonas","23699","26363","22352","2039","27913","29488","4657","35984"
"Zobellella","1078","1269","1108","117","1334","1612","212","1744"
"Oceanimonas","539","481","585","52","609","726","88","823"
"Oceanisphaera","141","141","128","12","158","173","38","170"
"Dongshaea","117","146","131","21","202","201","27","210"
"Tolumonas","132","146","125","0","177","187","31","175"
"Succinivibrio","33","35","21","0","50","46","14","55"
"Microbulbifer","5343","5799","4282","426","5277","6046","955","7083"
"Cellvibrio","1709","2748","982","112","1198","1891","814","2855"
"Simiduia","427","399","255","23","398","404","65","458"
"Teredinibacter","365","371","261","22","411","439","71","443"
"Saccharophagus","74","60","52","0","79","67","18","75"
"Marinagarivorans","72","57","41","0","54","78","11","93"
"Agarilytica","49","45","38","0","71","53","0","46"
"Kineobactrum","916","987","841","77","982","1084","177","1378"
"Halioglobus","798","918","582","52","735","861","138","1188"
"Congregibacter","531","624","436","48","528","687","94","783"
"Aequoribacter","117","164","97","11","144","135","20","197"
"Spongiibacter","799","741","620","59","688","802","144","1048"
"Zhongshania","147","179","105","11","171","154","34","202"
"Oceanicoccus","92","91","53","0","86","85","11","116"
"Shewanella","5004","5556","4203","474","5696","6094","929","7285"
"Parashewanella","47","56","32","0","49","41","0","47"
"Alteromonas","755","877","681","58","898","907","117","955"
"Salinimonas","366","381","265","20","376","405","76","501"
"Hydrocarboniclastica","463","475","408","43","521","573","87","709"
"Paraglaciecola","154","161","99","12","149","136","24","175"
"Lacimicrobium","150","150","130","12","182","174","26","219"
"Agarivorans","131","141","99","15","132","186","28","213"
"Saliniradius","112","138","145","20","134","214","26","222"
"Paraneptunicella","60","58","49","0","68","53","0","84"
"Glaciecola","38","49","38","0","57","57","0","58"
"Saccharobesus","28","30","33","0","41","26","0","41"
"Catenovulum","26","31","16","0","48","34","0","42"
"Pseudoalteromonas","1423","1469","1104","114","1651","1530","263","1885"
"Psychrosphaera","46","49","38","0","47","58","0","60"
"Flocculibacter","32","28","27","0","24","34","13","31"
"Ferrimonas","591","627","502","50","728","681","121","844"
"Colwellia","169","143","85","0","148","126","28","181"
"Thalassotalea","135","163","88","0","167","166","30","193"
"Cognaticolwellia","33","18","11","0","23","14","0","29"
"Litorilituus","19","24","12","0","19","20","0","38"
