"","1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561"
"Candidatus_Nanopelagicus","78","61","43","22","115","67","56"
"Conexibacter","113544","83716","57970","21171","114585","139497","30642"
"Miltoncostaea","29930","25464","17409","6232","35850","33537","7601"
"Rubrobacter","75335","34798","25897","10704","128937","21274","8952"
"Baekduia","32878","23522","16789","7143","33569","44852","12153"
"Aquihabitans","41515","19358","12803","8730","55971","21071","7941"
"Iamia","24665","10918","6803","5122","31776","9893","3385"
"Actinomarinicola","21920","10775","6927","5067","30928","11119","3687"
"Ilumatobacter","9336","4059","2573","1687","9371","4158","1200"
"Acidimicrobium","1953","1392","1008","614","3428","1707","524"
"Eggerthella","3660","3034","1992","1154","5553","3176","1043"
"Gordonibacter","2024","1749","1124","626","3311","1889","580"
"Arabiibacter","1370","1177","807","475","2168","1414","419"
"Adlercreutzia","1383","1228","832","443","2457","1468","388"
"Raoultibacter","666","604","366","228","1080","694","173"
"Berryella","1004","1184","820","447","2158","1099","395"
"Slackia","451","366","252","133","776","421","125"
"Denitrobacterium","424","435","275","155","721","362","91"
"Phoenicibacter","110","99","76","33","149","57","15"
"Cryptobacterium","67","54","44","21","70","52","15"
"Olsenella","2339","2085","1395","760","3832","2205","633"
"Parolsenella","1584","1442","1040","498","2693","1556","464"
"Parafannyhessea","1065","1032","721","384","1800","1004","302"
"Thermophilibacter","906","888","590","332","1519","888","251"
"Atopobium","186","168","95","53","343","165","52"
"Lancefieldella","36","38","29","11","55","22","0"
"Collinsella","2009","1962","1278","733","3277","2094","606"
"Coriobacterium","441","379","256","118","684","439","104"
"Egicoccus","5525","4514","3031","1871","10574","4695","1791"
"Euzebya","4995","3827","2662","1646","9393","3861","1498"
"Egibacter","4780","3735","2599","1432","8270","4628","1465"
"Priestia","68470","37197","36400","11479","62354","267487","14740"
"Bacillus","50075","66097","66171","33381","127983","340895","24944"
"Metabacillus","12810","3064","2589","628","8433","9101","884"
"Geobacillus","3093","2648","1806","1317","5807","3404","1645"
"Cytobacillus","3070","5892","4081","1296","15924","10667","1346"
"Peribacillus","2479","3455","3349","441","4366","13049","670"
"Hydrogenibacillus","1618","1558","1143","678","3114","1785","519"
"Anoxybacillus","1526","1442","1084","802","4037","3016","3171"
"Terribacillus","1435","656","461","234","1832","3871","143"
"Lysinibacillus","1477","1491","1151","361","2321","18595","423"
"Mesobacillus","1235","1439","1113","330","2995","2964","655"
"Neobacillus","1242","2805","2697","924","3587","10280","2080"
"Alkalihalobacillus","934","2393","1386","1076","5291","22422","515"
"Virgibacillus","820","570","446","214","1111","3822","176"
"Rossellomorea","868","700","500","199","944","1314","147"
"Salicibibacter","616","352","228","123","626","470","105"
"Parageobacillus","690","650","613","423","7213","1507","3970"
"Oceanobacillus","613","549","449","367","2277","3131","305"
"Psychrobacillus","645","247","177","45","432","914","78"
"Weizmannia","607","456","281","176","795","808","181"
"Niallia","490","769","640","150","1090","4951","300"
"Halobacillus","431","418","303","143","676","1364","116"
"Sutcliffiella","486","388","293","235","779","1392","130"
"Heyndrickxia","324","410","331","272","919","9463","259"
"Salisediminibacterium","268","198","153","125","464","342","92"
"Gracilibacillus","252","258","194","67","490","3586","57"
"Fictibacillus","251","802","574","81","1303","765","117"
"Caldibacillus","267","138","109","126","332","549","381"
"Lentibacillus","197","119","92","74","378","489","43"
"Caldalkalibacillus","183","104","87","106","290","190","88"
"Aeribacillus","169","144","117","127","473","369","767"
"Gottfriedia","147","382","390","74","389","1168","94"
"Pontibacillus","126","128","96","51","243","479","33"
"Lederbergia","127","156","136","40","247","501","39"
"Alkalihalophilus","117","93","74","51","163","400","20"
"Halalkalibacterium","157","125","109","64","266","428","57"
"Pradoshia","119","112","81","29","187","449","39"
"Anaerobacillus","111","134","106","29","215","462","29"
"Radiobacillus","104","141","101","31","239","928","36"
"Sediminibacillus","98","98","85","37","165","424","28"
"Mangrovibacillus","115","94","75","26","200","387","20"
"Salimicrobium","89","64","58","47","183","151","24"
"Evansella","77","77","56","16","147","335","28"
"Paraliobacillus","67","72","57","13","89","375","11"
"Amphibacillus","67","27","31","20","78","252","13"
"Paenibacillus","38193","31528","23552","12460","60219","66464","15146"
"Brevibacillus","3940","4316","2761","1659","7606","10881","3437"
"Cohnella","2578","2238","1636","929","4043","4626","1329"
"Saccharibacillus","1992","998","655","417","1851","1228","337"
"Thermobacillus","1913","1576","1116","905","3545","1938","1912"
"Aneurinibacillus","325","443","370","141","742","1082","247"
"Planococcus","52987","1448","999","567","2624","2417","493"
"Sporosarcina","666","554","421","163","911","1667","162"
"Solibacillus","540","228","172","58","391","850","42"
"Ureibacillus","251","142","113","87","339","956","102"
"Paenisporosarcina","120","87","68","43","203","434","31"
"Jeotgalibacillus","97","73","48","28","159","221","22"
"Kurthia","58","78","43","20","133","427","27"
"Viridibacillus","56","51","47","0","94","381","17"
"Rummeliibacillus","56","58","62","0","93","513","35"
"Exiguobacterium","7986","1149","797","426","1988","1320","400"
"Gemella","75","53","30","15","69","152","13"
"Novibacillus","4071","238","241","2975","4411","301","172"
"Kroppenstedtia","850","374","282","572","1643","446","3286"
"Staphylospora","562","477","329","286","1115","448","322"
"Thermoactinomyces","367","113","124","740","3695","138","34261"
"Polycladomyces","296","965","635","323","1629","361","1380"
"Laceyella","241","167","138","298","1683","233","2382"
"Alicyclobacillus","2614","2289","1577","955","4362","2602","1032"
"Tumebacillus","2210","1935","1396","841","3845","3296","786"
"Kyrpidia","718","631","497","270","1263","692","334"
"Effusibacillus","148","151","102","60","266","256","64"
"Staphylococcus","7102","2006","1148","1130","8287","4719","659"
"Jeotgalicoccus","186","82","58","34","111","138","31"
"Mammaliicoccus","220","108","90","66","179","445","23"
"Macrococcus","171","126","116","47","262","453","38"
"Salinicoccus","92","76","52","29","124","70","13"
"Nosocomiicoccus","37","16","0","0","34","22","0"
"Abyssicoccus","17","29","0","0","25","53","0"
"Listeria","2145","355","328","116","8660","1136","129"
"Brochothrix","61","50","26","17","59","71","0"
"Sporolactobacillus","139","88","78","54","212","185","50"
"Limosilactobacillus","695","775","533","220","1325","664","190"
"Lactobacillus","818","748","578","309","1306","739","205"
"Levilactobacillus","451","356","264","133","604","341","112"
"Lacticaseibacillus","474","295","256","172","744","334","100"
"Lactiplantibacillus","226","166","113","62","293","225","40"
"Schleiferilactobacillus","189","125","95","60","264","143","39"
"Weissella","191","157","101","73","234","205","32"
"Ligilactobacillus","212","166","144","84","332","263","35"
"Leuconostoc","145","141","91","45","211","220","37"
"Lentilactobacillus","141","96","68","54","180","144","16"
"Latilactobacillus","117","102","66","65","118","135","15"
"Oenococcus","92","54","41","27","122","80","10"
"Pediococcus","118","83","50","42","153","122","14"
"Companilactobacillus","92","66","45","13","76","120","18"
"Loigolactobacillus","99","76","43","37","154","119","38"
"Secundilactobacillus","70","62","60","26","160","72","22"
"Paucilactobacillus","48","20","25","15","49","61","0"
"Periweissella","33","19","17","0","22","19","11"
"Furfurilactobacillus","33","16","0","0","29","44","0"
"Liquorilactobacillus","40","32","31","26","61","95","24"
"Fructilactobacillus","31","14","0","0","45","55","0"
"Acetilactobacillus","24","17","0","0","21","10","0"
"Apilactobacillus","18","12","0","0","27","30","0"
"Lapidilactobacillus","14","13","0","0","12","16","0"
"Bombilactobacillus","13","0","0","0","11","13","0"
"Amylolactobacillus","16","21","23","21","28","35","18"
"Streptococcus","2436","1869","1407","505","2763","3011","712"
"Lactococcus","328","226","155","92","326","385","129"
"Enterococcus","1227","748","486","339","1172","1460","213"
"Vagococcus","228","158","123","45","281","458","42"
"Tetragenococcus","152","44","31","27","74","99","0"
"Melissococcus","22","0","0","0","12","59","0"
"Carnobacterium","179","99","85","28","177","281","30"
"Jeotgalibaca","185","126","93","55","172","275","24"
"Marinilactibacillus","58","41","19","0","44","35","0"
"Dolosigranulum","50","51","34","20","60","73","12"
"Granulicatella","30","62","0","0","43","120","0"
"Aerococcus","237","175","126","93","373","188","40"
"Suicoccus","69","24","23","0","65","42","0"
"Abiotrophia","19","14","15","18","31","35","0"
"Ignavigranum","13","12","18","0","14","23","0"
"Faecalibacterium","2491","2465","1781","913","4044","2109","618"
"Dysosmobacter","1372","1243","895","502","2443","1246","383"
"Flavonifractor","1052","1016","694","362","1868","907","298"
"Vescimonas","863","902","546","351","1764","817","213"
"Ethanoligenens","468","426","294","188","936","409","136"
"Ruthenibacterium","514","471","314","196","881","508","111"
"Anaerotruncus","495","444","287","164","822","405","150"
"Caproiciproducens","361","383","269","145","624","344","102"
"Oscillibacter","400","374","216","176","712","366","110"
"Acetivibrio","408","114","68","258","332","193","160"
"Acutalibacter","227","222","148","89","441","204","98"
"Caproicibacter","214","198","132","82","398","246","70"
"Ruminococcus","196","218","142","91","330","166","54"
"Pusillibacter","286","303","192","83","509","213","75"
"Solibaculum","239","248","130","109","421","230","65"
"Caproicibacterium","146","135","94","63","271","128","26"
"Ruminiclostridium","113","50","31","26","92","76","20"
"Pseudoclostridium","91","31","32","100","221","69","579"
"Thermoclostridium","99","30","40","125","119","56","26"
"Fastidiosipila","57","31","17","0","47","25","0"
"Monoglobus","37","63","58","0","53","45","0"
"Mageeibacillus","42","60","24","38","106","59","25"
"Thermaerobacter","6362","6389","4449","2606","12991","6323","2110"
"Intestinimonas","461","502","344","225","993","500","182"
"Aminipila","163","117","77","53","190","118","42"
"Emergencia","151","221","164","43","226","133","25"
"Mogibacterium","41","29","23","14","81","43","21"
"Flintibacter","308","256","180","118","512","228","103"
"Massilistercora","278","242","166","106","459","197","83"
"Carboxydocella","123","119","100","41","184","111","40"
"Fenollaria","28","30","0","0","37","29","0"
"Clostridium","3791","2101","1793","760","2973","3093","514"
"Alkaliphilus","254","123","75","46","217","263","27"
"Hungatella","147","142","64","57","243","128","54"
"Paraclostridium","124","53","0","0","41","34","0"
"Crassaminicella","87","49","41","21","94","107","16"
"Geosporobacter","62","51","40","12","71","67","23"
"Caloramator","46","22","12","16","51","46","0"
"Candidatus_Arthromitus","29","13","12","0","55","20","0"
"Serpentinicella","26","21","17","14","33","42","0"
"Hathewaya","22","21","0","0","27","28","0"
"Sarcina","13","16","0","0","20","26","0"
"Lachnoclostridium","652","527","407","236","923","533","178"
"Blautia","865","770","560","219","1414","708","196"
"Anaerocolumna","229","181","106","57","225","218","104"
"Roseburia","298","227","190","111","478","286","99"
"Enterocloster","264","210","145","74","328","173","59"
"Lacrimispora","150","103","60","52","158","86","25"
"Coprococcus","232","176","127","62","403","188","41"
"Anaerostipes","145","140","102","49","215","147","29"
"Herbinix","125","53","17","362","115","43","34"
"Butyrivibrio","90","70","57","32","104","112","33"
"Anaerotignum","70","60","47","14","100","59","14"
"Mediterraneibacter","111","78","46","31","126","71","0"
"Cellulosilyticum","46","25","18","0","40","50","0"
"Sellimonas","52","47","33","19","89","70","0"
"Novisyntrophococcus","39","40","15","0","74","43","0"
"Anaerobutyricum","47","37","20","14","60","51","0"
"Dorea","57","32","33","26","44","40","0"
"Faecalicatena","35","30","26","0","37","21","0"
"Pseudobutyrivibrio","22","10","0","0","35","11","0"
"Lachnospira","21","21","0","0","23","22","0"
"Lachnoanaerobaculum","16","16","0","0","40","0","0"
"Symbiobacterium","2762","2572","1863","1207","5242","2632","1305"
"Candidatus_Desulforudis","675","664","437","283","1287","647","215"
"Desulforamulus","384","343","213","172","674","299","120"
"Acididesulfobacillus","227","211","123","93","377","247","62"
"Candidatus_Formimonas","155","119","96","48","262","170","44"
"Thermanaerosceptrum","91","80","65","36","146","108","31"
"Dehalobacterium","77","54","36","40","132","58","25"
"Desulfofarcimen","61","54","51","20","120","85","16"
"Romboutsia","707","60","25","22","70","54","17"
"Terrisporobacter","150","45","39","17","56","19","0"
"Clostridioides","1899","934","711","2482","8498","987","25"
"Paeniclostridium","104","30","0","0","25","33","0"
"Peptoclostridium","81","78","49","12","96","56","17"
"Tepidibacter","46","19","23","12","37","27","0"
"Acetoanaerobium","33","12","13","12","34","32","0"
"Peptacetobacter","28","0","0","0","23","15","0"
"Filifactor","26","0","0","0","42","36","0"
"Desulfosporosinus","558","208","155","76","444","298","75"
"Desulfitobacterium","366","262","176","87","465","356","81"
"Dehalobacter","134","129","81","48","183","141","48"
"Syntrophobotulus","76","66","40","23","110","78","22"
"Eubacterium","575","522","321","195","795","397","113"
"Acetobacterium","252","164","128","73","324","188","90"
"Alkalibacter","93","79","43","23","151","91","15"
"Christensenella","1031","1113","794","490","2015","945","336"
"Heliomicrobium","897","890","653","332","1618","907","299"
"Heliorestis","50","35","37","27","66","68","10"
"Syntrophothermus","136","120","85","69","273","106","50"
"Syntrophomonas","63","57","32","29","119","45","15"
"Candidatus_Contubernalis","52","41","44","17","89","51","13"
"Candidatus_Syntrophocurvum","33","18","13","0","46","26","0"
"Desulfoscipio","175","164","99","58","367","161","38"
"Desulfotomaculum","136","111","74","40","208","91","33"
"Thermincola","93","88","84","41","187","88","27"
"Vallitalea","46","36","21","10","77","52","12"
"Petrocella","30","17","13","0","36","29","0"
"Caloranaerobacter","64","79","42","17","81","67","14"
"Alkalicella","44","26","12","0","23","37","0"
"Moorella","1066","1043","739","414","1930","1047","353"
"Ammonifex","368","388","293","150","698","394","113"
"Gelria","907","895","619","374","1654","914","264"
"Thermacetogenium","592","672","530","232","1253","556","282"
"Carboxydothermus","132","139","103","52","271","114","64"
"Thermoanaerobacter","147","145","89","27","214","131","27"
"Thermanaeromonas","75","67","52","44","178","101","19"
"Caldanaerobacter","87","98","86","45","175","95","0"
"Thermoanaerobacterium","210","82","58","65","209","123","43"
"Caldicellulosiruptor","130","116","100","54","214","156","57"
"Mahella","145","115","72","63","199","129","45"
"Zhaonella","99","87","75","40","159","107","21"
"Thermodesulfobium","49","31","40","28","116","65","16"
"Iocasia","137","63","59","61","181","71","17"
"Halothermothrix","72","61","29","25","99","46","20"
"Halanaerobium","57","46","23","28","98","56","0"
"Anoxybacter","107","93","61","68","177","73","33"
"Halobacteroides","60","75","64","33","86","38","0"
"Acetohalobium","30","16","18","0","41","50","0"
"Thermosediminibacter","169","151","88","47","310","148","61"
"Biomaibacter","120","112","76","39","168","94","30"
"Tepidanaerobacter","37","40","12","14","62","20","0"
"Natranaerofaba","58","74","52","15","110","81","13"
"Natranaerobius","35","45","33","11","59","37","0"
"Koleobacter","87","112","78","40","183","93","11"
"Selenomonas","2960","2703","1812","1071","4944","2771","879"
"Megamonas","49","33","24","25","127","44","12"
"Pectinatus","35","11","17","10","28","24","0"
"Sporomusa","178","132","104","54","291","184","53"
"Pelosinus","164","95","63","36","131","115","22"
"Methylomusa","142","80","64","54","202","122","30"
"Megasphaera","1021","839","563","370","1529","844","255"
"Dialister","121","85","59","46","205","101","28"
"Veillonella","112","84","53","24","91","104","31"
"Acidaminococcus","345","254","151","102","494","260","71"
"Phascolarctobacterium","227","218","120","102","342","209","83"
"Limnochorda","2395","2421","1724","1309","4962","2505","744"
"Turicibacter","1451","65","46","32","121","125","17"
"Faecalibaculum","157","125","110","44","272","117","35"
"Allobaculum","141","125","97","64","295","119","57"
"Erysipelothrix","125","77","45","24","110","113","17"
"Erysipelatoclostridium","132","131","66","40","153","97","0"
"Intestinibaculum","44","31","31","0","38","30","0"
"Bulleidia","29","19","0","22","42","32","0"
"Faecalitalea","39","0","36","0","44","0","0"
"Longicatena","36","0","0","0","34","38","0"
"Faecalibacillus","35","0","0","0","27","40","0"
"Peptoniphilus","187","200","121","83","320","193","59"
"Anaerococcus","129","95","63","26","73","86","23"
"Murdochiella","133","141","112","41","192","117","39"
"Parvimonas","69","39","39","0","55","23","0"
"Finegoldia","44","0","25","0","50","36","0"
"Miniphocaeibacter","22","10","0","0","0","10","0"
"Helcococcus","18","0","0","0","20","19","0"
"Schnuerera","117","22","0","31","34","46","14"
"Tissierella","59","23","22","18","46","43","15"
"Keratinibaculum","46","18","24","16","71","45","0"
"Gudongella","37","27","25","0","58","21","0"
"Gottschalkia","85","78","52","21","93","83","18"
"Ezakiella","352","211","181","148","247","168","57"
"Sedimentibacter","34","24","20","14","58","25","0"
"Ndongobacter","217","195","140","84","369","168","56"
"Deinococcus","29560","22636","15451","9019","41437","23697","7715"
"Thermus","4676","4427","3195","1751","9404","4386","1388"
"Meiothermus","2500","2318","1651","935","4440","2148","805"
"Oceanithermus","2426","2373","1602","974","4664","2418","773"
"Marinithermus","1673","1699","1180","600","3056","1614","498"
"Truepera","2289","1886","1360","694","3731","2121","614"
"Synechococcus","13516","11037","7503","4294","21580","11130","3371"
"Dactylococcopsis","90","59","41","28","81","173","24"
"Cyanobium","2940","2468","1766","1031","5077","2551","809"
"Parasynechococcus","244","235","160","97","392","184","79"
"Prochlorococcus","170","122","103","45","242","168","33"
"Chamaesiphon","201","181","146","73","309","179","35"
"Synechocystis","187","155","118","60","429","159","37"
"Acaryochloris","180","211","160","67","294","191","54"
"Nostoc","2641","3476","1935","1111","4931","7820","544"
"Anabaena","962","639","433","390","1341","1830","218"
"Cylindrospermum","97","113","64","36","167","253","17"
"Trichormus","70","89","52","20","88","996","0"
"Richelia","31","39","20","0","58","405","11"
"Calothrix","1338","1109","819","445","2064","1755","314"
"Sphaerospermopsis","243","229","162","102","407","4996","58"
"Nodularia","201","145","103","75","388","368","39"
"Dolichospermum","556","344","295","153","816","1053","69"
"Anabaenopsis","142","91","61","43","200","313","31"
"Cylindrospermopsis","15","20","12","0","33","109","0"
"Scytonema","547","443","405","176","1038","384","132"
"Brasilonema","107","108","61","37","214","130","29"
"Fischerella","293","173","143","71","295","305","64"
"Tolypothrix","277","226","172","60","380","379","43"
"Rivularia","80","54","36","19","78","89","18"
"Leptolyngbya","3508","2177","1667","1173","3548","2381","859"
"Kovacikia","560","380","300","141","605","464","65"
"Leptothermofonsia","256","198","131","59","311","248","48"
"Leptodesmis","193","198","131","90","279","267","45"
"Thermoleptolyngbya","579","453","337","245","858","489","163"
"Halomicronema","335","280","204","107","478","276","49"
"Thermosynechococcus","343","335","229","118","513","274","48"
"Pseudanabaena","179","238","162","59","256","150","33"
"Gloeobacter","3707","3109","2192","1275","6249","3278","949"
"Anthocerotibacter","310","286","201","101","516","287","76"
"Geitlerinema","788","662","673","258","1142","632","182"
"Allocoleopsis","173","142","107","53","193","144","36"
"Moorena","516","512","429","271","1036","475","131"
"Oscillatoria","384","328","241","112","520","288","77"
"Microcoleus","445","157","121","63","314","220","58"
"Oxynema","309","237","180","94","464","291","86"
"Planktothrix","67","66","39","24","103","69","15"
"Koinonema","162","171","100","57","287","228","43"
"Crinalium","84","69","50","18","119","102","12"
"Limnospira","42","67","45","14","75","44","0"
"Microcystis","502","352","331","173","719","597","82"
"Gloeothece","107","91","60","46","151","112","28"
"Halothece","85","68","74","17","100","84","22"
"Euhalothece","27","17","13","0","45","38","0"
"Rippkaea","76","49","39","32","108","71","13"
"Crocosphaera","68","41","39","24","85","84","21"
"Candidatus_Atelocyanobacterium","17","0","18","0","28","14","0"
"Geminocystis","141","109","87","33","148","126","16"
"Gloeocapsa","106","63","52","36","152","82","26"
"Chondrocystis","44","40","52","26","82","51","0"
"Cyanobacterium","51","57","49","20","85","45","12"
"Chroococcidiopsis","558","555","445","214","916","475","114"
"Pleurocapsa","169","142","107","47","197","82","38"
"Stanieria","69","62","56","19","86","92","0"
"Gloeomargarita","106","136","105","35","164","107","27"
"Thermostichus","120","91","68","37","196","74","0"
"Sphaerobacter","6825","6889","5170","6658","15781","8379","5974"
"Thermomicrobium","1497","1498","1141","506","2771","1745","467"
"Roseiflexus","3915","5475","5281","1615","6418","6460","1343"
"Chloroflexus","1925","1875","1517","574","2361","1794","409"
"Tepidiforma","4642","4918","3788","1867","8606","4986","1025"
"Candidatus_Promineofilum","3796","3890","2833","1455","6650","3709","919"
"Caldilinea","2348","2033","1680","688","3327","2055","490"
"Anaerolinea","856","1620","1209","321","1319","827","236"
"Pelolinea","720","1033","728","274","1063","631","175"
"Brevefilum","269","432","303","121","425","264","75"
"Dehalogenimonas","840","861","638","313","1576","906","237"
"Dehalococcoides","422","346","260","96","537","372","102"
"Phototrophicus","795","943","649","307","1137","519","141"
"Ktedonosporobacter","767","924","775","292","1179","1079","243"
"Thermobaculum","698","828","607","270","1305","975","227"
"Fimbriimonas","2013","2246","1803","741","3131","1981","768"
"Chthonomonas","447","718","537","199","865","522","132"
"Mycoplasma","250","139","190","64","285","275","77"
"Mycoplasmopsis","114","65","42","38","176","85","48"
"Mesomycoplasma","41","42","20","0","51","35","0"
"Ureaplasma","13","10","0","0","17","15","0"
"Alteracholeplasma","47","36","36","18","79","41","15"
"Candidatus_Phytoplasma","42","34","29","12","65","44","21"
"Acholeplasma","26","12","15","0","25","23","0"
"Paracholeplasma","26","15","0","0","27","18","0"
"Haploplasma","13","0","0","0","16","21","0"
"Spiroplasma","118","63","61","36","173","140","28"
"Mesoplasma","20","17","0","0","43","45","0"
"Williamsoniiplasma","17","23","0","0","15","13","0"
"Malacoplasma","21","17","0","0","24","14","0"
"Metamycoplasma","29","43","28","0","60","33","0"
"Candidatus_Izimaplasma","10","17","0","0","40","10","0"
"Gemmata","77016","35101","25944","23263","90671","41631","10445"
"Urbifossiella","67457","31107","23429","19608","78650","35530","7703"
"Frigoriglobus","43875","20297","15115","13783","54075","24848","6113"
"Limnoglobus","28149","14249","10147","9214","37751","16165","3267"
"Tuwongella","2679","1464","1006","799","3388","1651","303"
"Telmatocola","2275","1160","860","673","2847","1471","236"
"Lacipirellula","45004","23069","13959","9379","38106","9694","1948"
"Pirellulimonas","12816","6940","4538","3162","15584","5492","1100"
"Botrimarina","11269","6272","4026","2681","12701","4613","994"
"Aeoliella","4835","2375","1532","1024","4910","1646","366"
"Adhaeretor","2774","1435","866","669","3019","925","189"
"Bythopirellula","2661","1294","796","559","2808","762","117"
"Anatilimnocola","9142","4365","2768","1749","7304","2725","601"
"Lignipirellula","8638","4242","2723","1961","9659","3627","711"
"Rosistilla","6966","3525","2229","1667","7388","2811","705"
"Stieleria","7216","3903","2637","1928","8512","3250","769"
"Pirellula","5533","2894","1592","1169","5072","1817","420"
"Bremerella","5655","2745","1759","1259","5851","2056","483"
"Roseimaritima","4289","2058","1345","1054","4876","1726","379"
"Rubripirellula","1842","1013","686","462","2286","802","192"
"Mariniblastus","1198","622","441","304","1336","517","135"
"Aureliella","1283","604","448","312","1302","490","131"
"Rhodopirellula","1238","557","421","298","1289","478","126"
"Thermogutta","1244","679","486","309","1590","676","139"
"Tautonia","43720","14303","10572","11211","49195","34655","3637"
"Aquisphaera","28373","14648","10839","8761","35431","27537","4583"
"Paludisphaera","20649","9503","7179","5775","23326","18622","3101"
"Singulisphaera","17091","6442","4642","3925","14916","11974","2830"
"Isosphaera","2937","1605","1185","830","3717","2228","401"
"Planctomyces","37193","18255","13480","9754","41082","24683","4655"
"Caulifigura","13829","5953","4865","3351","12163","4722","2642"
"Gimesia","10659","5594","3939","2704","12414","4768","1204"
"Maioricimonas","10081","5251","3627","2618","12448","4584","1054"
"Alienimonas","7267","4500","3184","1987","9895","3876","994"
"Symmachiella","3603","1852","1311","908","4224","1642","336"
"Rubinisphaera","2116","1154","860","548","2480","874","200"
"Calycomorphotria","1934","1001","657","398","1954","771","185"
"Planctopirus","1890","957","634","439","1947","853","206"
"Fuerstiella","1844","963","619","487","2218","802","192"
"Crateriforma","1824","992","680","458","2157","824","181"
"Polystyrenella","827","382","262","203","849","312","54"
"Thalassoglobus","683","322","203","168","744","351","68"
"Humisphaera","12701","7456","5350","3147","12480","6265","1537"
"Phycisphaera","4152","3369","2341","1411","6400","3014","933"
"Mucisphaera","2274","1563","1171","671","3180","1378","402"
"Poriferisphaera","231","178","135","80","310","182","53"
"Anaerohalosphaera","383","278","220","133","626","258","90"
"Sedimentisphaera","250","165","97","58","297","151","43"
"Limihaloglobus","167","122","94","62","262","124","44"
"Candidatus_Kuenenia","167","112","91","68","260","142","26"
"Candidatus_Uabimicrobium","103","104","67","44","197","83","19"
"Opitutus","19618","11149","7867","5635","17786","8738","5033"
"Lacunisphaera","6997","4363","3163","2566","8000","3485","1597"
"Nibricoccus","4280","2887","1947","1787","3399","1720","981"
"Oleiharenicola","3303","2921","2013","1109","3904","2171","1210"
"Ereboglobus","2087","1646","1177","728","2587","1396","764"
"Ruficoccus","980","847","544","378","1527","677","250"
"Coraliomargarita","231","176","116","92","358","164","53"
"Roseimicrobium","9328","3216","2813","1640","4098","1400","525"
"Luteolibacter","6944","3491","2233","1381","4789","2370","815"
"Verrucomicrobium","6362","3936","2699","1599","6447","3510","1195"
"Sulfuriroseicoccus","646","449","281","181","788","412","132"
"Akkermansia","1640","1197","802","537","2331","1249","374"
"Methylacidimicrobium","1404","1130","848","533","2392","1359","423"
"Candidatus_Xiphinematobacter","153","107","95","57","122","209","30"
"Methylacidiphilum","133","107","81","49","236","138","42"
"Kiritimatiella","2205","1646","1199","804","3506","1598","492"
"Tichowtungia","383","264","205","157","545","282","100"
"Candidatus_Protochlamydia","124","88","52","34","118","242","36"
"Neochlamydia","50","34","24","0","73","57","22"
"Parachlamydia","46","34","22","22","77","99","20"
"Candidatus_Rhabdochlamydia","53","61","22","28","62","85","35"
"Waddlia","51","40","29","22","67","54","19"
"Simkania","29","19","30","15","57","46","17"
"Chlamydia","158","96","71","48","200","159","44"
"Candidatus_Velamenicoccus","335","177","162","136","544","286","66"
"Hymenobacter","31589","16886","11282","7547","30854","15553","5820"
"Pontibacter","17881","5125","2636","2122","8635","1747","684"
"Adhaeribacter","10477","331","229","172","490","202","93"
"Rufibacter","9062","849","521","443","1412","539","229"
"Nibribacter","3293","318","180","124","527","198","83"
"Dyadobacter","12728","2455","1638","478","1695","877","342"
"Fibrella","1510","925","602","393","1654","807","275"
"Runella","1204","619","315","204","804","403","156"
"Larkinella","730","150","113","93","322","146","61"
"Leadbetterella","298","82","63","31","71","48","18"
"Arcticibacterium","118","37","22","0","45","22","10"
"Spirosoma","7136","3246","2231","1578","5972","2776","1168"
"Rhodocytophaga","2893","160","115","116","290","112","41"
"Cytophaga","271","88","54","41","105","45","29"
"Aquirufa","258","88","51","40","144","53","32"
"Chryseolinea","4864","1030","687","998","2578","754","512"
"Fulvivirga","993","320","193","161","432","145","97"
"Echinicola","1412","427","307","220","702","314","125"
"Algoriphagus","1073","255","533","92","331","145","66"
"Cyclobacterium","330","65","61","34","132","51","16"
"Aquiflexum","272","74","50","36","95","48","25"
"Belliella","223","62","48","36","96","23","0"
"Mongoliitalea","159","48","24","19","57","35","13"
"Flammeovirga","333","94","56","28","97","81","31"
"Mangrovivirga","190","64","37","27","99","32","11"
"Marivirga","223","69","48","32","87","54","21"
"Candidatus_Amoebophilus","92","55","28","23","65","35","0"
"Candidatus_Cardinium","102","60","44","23","70","35","16"
"Bernardetia","82","35","25","16","47","21","0"
"Chryseobacterium","47152","2135","1580","865","2408","1512","702"
"Kaistella","2813","290","151","124","314","231","69"
"Epilithonimonas","1583","97","79","38","108","93","27"
"Elizabethkingia","1051","223","196","105","318","198","92"
"Empedobacter","477","89","73","37","85","72","19"
"Cloacibacterium","322","69","51","0","75","49","0"
"Apibacter","195","79","64","19","72","55","20"
"Cruoricaptor","171","86","57","33","163","81","42"
"Riemerella","213","80","23","17","48","38","0"
"Ornithobacterium","199","77","57","20","124","53","37"
"Faecalibacter","126","16","0","0","17","11","0"
"Bergeyella","92","43","21","18","24","28","0"
"Weeksella","90","25","40","0","22","0","0"
"Flavobacterium","26989","2959","17682","951","2714","2036","1174"
"Polaribacter","1356","307","175","89","267","262","101"
"Capnocytophaga","1084","503","340","177","643","389","123"
"Gramella","1114","366","237","155","457","236","91"
"Muricauda","1172","490","310","170","691","293","108"
