"","1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561"
"Mameliella","2636","1643","1031","590","3083","1289","432"
"Ketogulonicigenium","2284","1133","787","463","2148","1082","410"
"Dinoroseobacter","2776","1873","1136","718","3345","1509","500"
"Roseobacter","2051","1177","757","499","2340","993","388"
"Oceanicola","1740","997","581","397","1958","880","336"
"Actibacterium","2444","1491","885","583","2981","1281","420"
"Octadecabacter","1752","1066","740","437","1919","942","336"
"Roseibacterium","1724","1121","679","428","1942","984","319"
"Maribius","1307","732","465","268","1417","611","240"
"Antarctobacter","1243","702","441","296","1264","539","178"
"Tateyamaria","1198","655","446","308","1437","639","210"
"Thalassococcus","1107","696","402","271","1360","560","202"
"Jannaschia","1085","633","437","235","1179","563","196"
"Thalassobius","688","398","270","176","641","345","119"
"Falsihalocynthiibacter","284","157","98","61","254","145","45"
"Skermanella","91381","20951","13488","9708","47012","18917","6218"
"Azospirillum","78644","58884","36191","26317","117344","54230","18913"
"Nitrospirillum","5525","4218","2629","1966","8509","3918","1620"
"Indioceanicola","4859","3762","2404","1798","7972","3361","1240"
"Niveispirillum","2673","2331","1254","837","3618","1411","691"
"Roseomonas","51680","31962","22156","14388","66852","46797","12472"
"Rhodovastum","7785","5634","3736","2540","11551","7372","2350"
"Komagataeibacter","7882","5748","3662","2663","11136","6100","2375"
"Roseococcus","5991","3965","2918","1793","8415","6037","1570"
"Acidiphilium","6336","4989","3512","2535","11310","6133","2101"
"Sediminicoccus","4315","2678","1903","1290","5527","4233","987"
"Lichenicola","3488","2488","1605","1073","4741","2747","992"
"Acetobacter","4107","3113","2094","1318","5808","2986","1097"
"Acidibrevibacterium","3188","2599","1646","1222","5474","3179","1016"
"Gluconobacter","2822","2079","1319","894","3749","2044","747"
"Gluconacetobacter","2475","1723","1186","887","3820","2163","739"
"Granulibacter","1606","1108","654","479","2210","1321","431"
"Asaia","1145","784","542","390","1557","802","332"
"Neoasaia","997","799","507","369","1468","803","289"
"Kozakia","829","567","316","270","1133","677","232"
"Novacetimonas","840","540","388","256","1220","698","218"
"Oecophyllibacter","452","347","221","179","676","350","121"
"Parasaccharibacter","341","224","148","81","419","233","102"
"Swingsia","253","175","103","53","345","205","69"
"Neokomagataea","119","87","62","32","195","82","36"
"Commensalibacter","53","35","15","15","50","31","0"
"Entomobacter","51","47","24","18","118","50","16"
"Bombella","32","28","12","0","42","22","0"
"Hypericibacter","30200","23427","14055","11889","48221","20368","6682"
"Magnetospirillum","210410","176190","113710","106168","423725","159222","64414"
"Rhodospirillum","8584","7276","4377","3388","15012","6484","2336"
"Ferrovibrio","8124","14750","8107","2453","10254","3517","1505"
"Tistrella","7137","6173","3815","2962","13369","5528","2194"
"Defluviicoccus","3029","2538","1528","1082","5112","2226","819"
"Pararhodospirillum","1733","1550","863","659","3095","1261","507"
"Haematospirillum","304","258","183","117","545","188","58"
"Candidatus_Endolissoclinum","141","110","80","44","269","86","25"
"Stella","12945","10383","6265","5422","23032","9673","3777"
"Elioraea","5272","4630","2910","2095","9410","4684","1568"
"Thalassospira","2546","1763","1116","789","3260","1530","605"
"Magnetospira","1148","1019","604","448","2036","776","282"
"Terasakiella","185","101","69","60","224","88","40"
"Brevundimonas","160096","43582","23058","14469","58224","26505","19260"
"Caulobacter","75105","46486","31614","17307","69084","33868","32981"
"Phenylobacterium","29901","50174","39043","9926","32586","14720","23262"
"Terricaulis","9369","3988","2852","3133","13220","2637","2163"
"Asticcacaulis","4206","2407","1569","1130","4419","2060","1270"
"Candidatus_Viadribacter","4626","2074","1475","1745","6179","1535","920"
"Hyphomonas","4393","2906","1681","1254","5632","2464","1137"
"Hirschia","86","27","33","16","84","37","20"
"Marinicauda","3661","3094","1954","1348","6045","2580","1101"
"Maricaulis","1226","872","520","404","1665","751","312"
"Glycocaulis","1124","786","517","415","1675","724","329"
"Hyphobacterium","904","530","351","277","1231","528","250"
"Aquisalinus","1493","1168","706","512","2423","855","393"
"Parvularcula","550","493","321","188","972","395","148"
"Anaplasma","228","290","171","75","353","188","44"
"Wolbachia","177","121","75","45","197","134","32"
"Ehrlichia","69","48","41","23","103","59","20"
"Neorickettsia","52","28","26","14","92","27","14"
"Candidatus_Neoehrlichia","14","0","0","0","40","0","0"
"Rickettsia","394","245","154","122","445","196","79"
"Orientia","31","19","13","15","29","22","0"
"Candidatus_Sneabacter","16","0","0","0","17","0","0"
