"","SRR5829603","SRR5829609"
"1235591",880,1036
"1315211",1036,607
"2527974",212,1034
"169176",801,1033
"1054033",1031,424
"1775910",1031,675
"1504",1030,355
"2792603",588,1030
"434",712,1030
"1622118",1028,414
"2807096",428,1027
"2779445",1025,736
"70348",559,1025
"1756988",763,1024
"823",573,1022
"875932",712,1022
"2800373",925,1020
"217204",487,1018
"1032072",1017,351
"2820002",173,1012
"1736674",1011,274
"416",724,1009
"60961",288,1008
"254",1007,416
"338",1007,903
"51173",1003,451
"2867233",534,999
"2976680",548,998
"48296",997,463
"622681",442,997
"482",441,996
"32067",995,554
"2563896",709,994
"743040",405,994
"2488810",992,416
"2909673",239,990
"158500",744,989
"2015076",989,346
"2842348",987,9
"1260",986,389
"1642",797,986
"1250539",568,982
"1529068",541,979
"3027808",170,978
"1294262",332,976
"2027857",779,976
"1714849",975,381
"44255",704,973
"137816",514,972
"2925782",972,315
"84135",971,368
"62099",970,71
"2918526",967,319
"40323",571,967
"2219224",965,928
"1542",964,417
"2823043",508,963
"1973486",962,515
"1379",961,261
"197",961,510
"2562284",785,961
"2141",959,216
"1283",958,493
"2499144",761,956
"2706887",319,956
"1288",954,401
"188913",950,326
"183795",867,948
"1703972",947,723
"1196095",946,347
"28196",945,258
"2758041",418,943
"2057808",940,531
"412384",901,940
"60550",560,939
"43660",938,601
"2576932",936,43
"3034674",936,256
"2605946",235,934
"29382",931,377
"1191459",628,930
"2494374",549,930
"2053",257,929
"2865112",191,929
"363835",474,929
"1755504",646,927
"2507159",927,550
"3025671",925,484
"134537",512,923
"1873",337,921
"2527971",909,621
"29562",909,443
"157687",908,522
"238",907,231
"379064",720,906
"2877941",323,905
"1077946",523,903
"2069432",706,903
"48",903,200
"2183896",900,388
"2546356",899,278
"1185412",898,352
"1332080",897,616
"2816357",860,897
"1755811",895,254
"338584",529,895
"2782662",534,894
"116090",892,226
"3068632",806,892
"1094892",890,257
"2813578",439,890
"1965231",887,209
"28227",859,886
"1842539",733,885
"2914710",182,885
"47716",246,884
"2730847",134,881
"1894999",534,879
"1547",877,411
"329",244,877
"34085",877,563
"408139",228,876
"2731219",875,258
"2654249",340,874
"53399",382,874
"533",873,739
"1478",872,536
"2209",870,593
"40214",827,870
"943830",495,870
"1967501",869,748
"204457",632,869
"255045",786,869
"1513",868,629
"2808963",868,508
