"","SRR17036901","SRR17036899","SRR17036897","SRR17036898","SRR17036900","SRR17036904","SRR17036902","SRR17036903"
"94132",34436,22319,12864,12546,29463,25372,24992,25636
"68",21740,22382,19330,34251,21392,17924,18223,16707
"1736675",24147,16485,10505,34188,10580,12979,7618,12158
"2995304",33542,9620,8618,12434,14185,7808,9958,8072
"1775411",6827,30435,33336,26973,11075,10874,8146,13002
"1839",22186,22022,31446,30262,32806,11215,18975,14851
"41297",27028,28502,15569,14339,16825,32327,20053,26053
"1747",3208,32113,5260,7691,22871,3870,7667,6900
"1798223",9684,13488,32047,25920,19207,9774,20406,11547
"94625",31707,1097,709,10012,935,17030,4092,844
"150026",10086,18251,24576,26066,31127,6254,12385,7087
"222",27110,7373,7802,8630,6475,31079,13234,8331
"2601898",2523,30454,2016,1775,5324,2368,1906,2160
"35753",24531,12087,22969,20095,30413,9918,18214,13542
"284016",28185,14316,20028,13387,18719,16494,30308,12749
"1813",22069,12572,28258,29419,20496,12444,18168,15848
"338",14333,19912,18054,29412,12691,11411,11299,12253
"1437360",17540,24012,11120,12646,11946,28008,13803,28879
"2732067",28679,4968,3858,5486,7102,18700,19825,17848
"3015177",28026,6257,8116,12150,7801,9211,14771,6172
"2501295",1984,27020,10252,6417,2775,5429,3360,3711
"146017",19712,1017,4580,27015,1733,12314,5639,3939
"407",26715,18476,23991,20259,19496,20529,21112,21287
"331696",13976,26445,11088,13266,17250,15652,11880,16029
"482462",4057,3104,26088,13876,4780,4641,3829,3501
"1877",5385,3102,17889,25786,5895,2806,5170,5682
"54571",22015,12244,25770,25021,20336,12234,17591,15191
