"","SRR17408286"
"1804624",2189
"453304",2186
"2826993",2183
"862751",2183
"582680",2181
"1547487",2171
"121719",2167
"3018446",2167
"319707",2166
"98668",2166
"1162966",2164
"376",2164
"1813879",2162
"1871048",2161
"364410",2160
"941907",2160
"32002",2158
"1889",2155
"28894",2155
"137722",2151
"3015156",2151
"2801030",2149
"2760308",2148
"42881",2147
"434008",2142
"119219",2140
"134",2140
"1810",2140
"2040",2134
"434009",2134
"2976241",2133
"348043",2133
"1597781",2131
"67081",2131
"1298",2130
"2676871",2128
"2220096",2127
"55518",2127
"2697363",2126
"231454",2123
"1138587",2121
"2729175",2118
"3039384",2118
"2575440",2117
"2837956",2117
"1936029",2116
"708113",2115
"1892",2108
"1758689",2106
"39122",2105
"57043",2104
"2760083",2103
"2816956",2103
"67581",2101
"66892",2100
"2735134",2099
"3012344",2097
"1349819",2095
"2662261",2092
"1789672",2089
"2726118",2087
"42253",2086
"2108445",2083
"13690",2079
"40567",2079
"2675523",2073
"1682113",2072
"870903",2072
"334852",2071
"2600304",2068
"2804617",2068
"2420509",2065
"42197",2065
"1842727",2063
"1395974",2060
"82541",2057
"2821832",2054
"2857059",2054
"2819979",2051
"700274",2051
"2292766",2050
"2782168",2048
"1932",2047
"60920",2047
"1069221",2045
"191494",2045
"256618",2044
"111831",2043
"216778",2042
"2290922",2041
"2579971",2039
"1799",2034
"2597660",2034
"2094119",2031
"501023",2031
"2962047",2028
"2697032",2026
"907364",2024
"2775420",2022
"53635",2022
"85968",2021
"1327635",2020
"2587808",2020
"2020377",2017
"2483401",2015
"671077",2009
"2201999",2007
"2875706",2007
"104336",2005
"2744474",2005
"2904252",2004
"31957",2004
"2861750",2003
"47312",2002
"80860",1999
"2865673",1997
"337",1997
"2174846",1995
"1169025",1994
"2714943",1994
"2929795",1990
"1653478",1989
"444597",1988
"33050",1987
"1850238",1985
"1494466",1983
"29311",1980
"1852022",1978
"2919322",1978
"3018036",1977
"748247",1977
"1690221",1974
"1938607",1974
"33877",1973
"424188",1972
"1560345",1971
"2934161",1970
"53451",1968
"2003551",1964
"67296",1963
"2203205",1960
"1427356",1959
"3064529",1958
"2082387",1957
"31988",1956
"2528021",1952
"2968083",1952
"444444",1952
"1806508",1951
"2894310",1946
"1078471",1942
"3015996",1941
"1274",1939
"2613770",1936
"2934158",1936
"1867719",1935
"37928",1935
"132473",1934
"399736",1933
"207745",1931
"57493",1930
"2871170",1929
"2558931",1922
"662548",1918
"886343",1918
"3072793",1917
"1269",1916
"2107713",1916
"152480",1913
"3019553",1913
"2487344",1912
"943830",1912
"2071607",1909
"2705439",1909
"1335043",1907
"158500",1906
"3074430",1905
"2486855",1904
"134537",1903
"1813468",1902
"1325111",1901
"2594265",1900
"745310",1899
"1460244",1898
"2014",1897
"2035",1896
"2995145",1896
"2493673",1891
"252970",1890
"1609977",1888
"2725666",1887
"3004094",1885
"3034358",1884
"33889",1880
"1404741",1878
"67345",1878
"68232",1877
"2070347",1876
"1324796",1870
"2665643",1870
"321985",1867
"2721246",1866
"717785",1866
"1920",1865
"2878150",1863
"2897774",1863
"35",1862
"463025",1861
"39",1857
"1276",1847
"388357",1845
"1416806",1844
"2567881",1844
"1072463",1842
"1849581",1841
"2985506",1838
"1521117",1833
"1069220",1832
"2182432",1830
"300028",1830
"465721",1826
"1523415",1825
"875808",1824
"261302",1823
"36821",1823
"1912",1820
"247333",1820
