"","SRR14320323","SRR14320322","SRR14320321"
"2074",5878,6765,2752
"2014920",6195,6764,5745
"2589074",6035,6760,5004
"418699",5921,6760,3258
"2774151",6042,6752,4398
"2502779",2769,6744,3419
"2879427",4283,6742,1755
"2806347",6733,6291,3125
"860235",4323,6727,3032
"2483798",5529,6700,4678
"2925842",6697,5970,5014
"1774216",5807,6681,4823
"543",5084,4654,6670
"2704465",3111,6395,6668
"2219224",5815,6638,3644
"265",6322,6630,4775
"450734",5799,6626,4538
"946334",4451,6613,3487
"624315",6081,6581,3568
"2714941",5765,6557,4128
"443156",5897,6556,3984
"2804617",4791,6542,6145
"397260",5702,6538,6404
"2712222",6527,5791,3930
"2795216",6519,2612,1511
"2745",6511,6431,3733
"2932244",5808,6510,4996
"47420",5795,6469,3830
"33877",5681,6453,4534
"406548",5937,6448,3349
"35753",6030,6439,3597
"282217",6432,6234,4975
"2969621",5252,5899,6410
"3056648",5219,6367,5351
"2713573",2052,6366,3165
"2807101",5166,6343,5431
"904039",5582,6342,3815
"1463158",6331,5579,3943
"2760713",5988,6314,2165
"1653480",3799,6311,2606
"2681549",5479,6311,5784
"41977",6284,6259,2325
"2806262",5465,6269,4223
"3019553",5383,6264,4210
"2762323",6259,6051,4546
"394751",2543,6254,403
"2843215",5982,6241,3363
"642",6013,6238,3986
"32",4280,6203,3280
"2932773",4765,6198,2885
"1915",3971,4422,6195
"103731",4804,6156,3142
"36863",5115,6154,4289
"419479",5873,6146,3618
"404405",5712,6139,3614
"28095",5788,6135,3823
"1176533",6114,5332,3710
"2736757",5227,6103,4274
"3036374",5871,6088,4337
"76259",6085,5296,3504
"2716225",5435,6075,3813
"316612",4986,6043,3888
"93944",5496,6040,3343
"31",4207,6015,3110
"745310",5302,6013,5659
"114",5292,6008,4044
"1389922",4030,3205,6003
"404386",5179,5997,3155
"2764186",4492,5980,4654
"1866",4081,5961,3276
"162426",4590,5955,5670
"921",3177,4155,5953
"467094",5447,5919,2779
"2567934",4169,5918,5740
"2082386",5400,5910,4052
"858422",4883,5904,4914
"53358",4981,5890,3672
"196914",4957,5875,3177
"48736",5859,5831,3660
"363835",4621,5845,4890
"1804",2696,4164,5840
"2686094",5833,4162,1171
"2862869",4463,5833,3424
"2594003",4730,5821,5050
"2027405",5818,5296,2459
"2591463",2115,2684,5780
"294",5780,5254,4880
"642780",5021,5780,4433
"33050",4985,5186,5775
"2732249",5146,5765,1882
"1219491",5404,5761,3528
"2801335",4179,5720,3874
"2602016",5711,5177,2905
"105560",4877,5702,3717
"2799325",5702,5167,3613
"2976823",1971,3998,5697
"2761107",5695,5001,3481
"1716",5527,5693,3144
"47760",5292,5680,4060
"453304",5108,5628,3962
"179636",5160,5609,4037
"399176",3477,4583,5609
"1842727",4932,5581,3867
"3019544",5479,5578,4875
"2991075",3588,4907,5572
"335406",5572,5404,4389
"1792307",5044,5499,5571
"2938948",3986,5493,5570
"161492",5555,5523,2529
"2584466",5551,5203,3882
"46165",4932,5539,3044
"1850238",4751,5450,5538
"3024246",5532,5029,4970
"627624",4878,5526,4033
"1896164",5525,4897,3258
"94",5364,5521,3009
"2740529",4422,5516,4954
"2015316",4719,5291,5510
"715475",4263,5508,2800
"715472",4291,5485,2840
"37326",5387,5477,3615
"298654",5250,5473,3324
"2803858",4876,5465,4322
"80865",4731,5452,3816
"1813468",4468,5301,5422
"217204",2132,5417,2603
"2714944",4068,5417,4347
"56438",4601,5417,2995
"715473",4150,5416,2416
"89966",4243,5414,2443
"208439",1652,2960,5408
"2918171",5377,5405,2350
"49319",4957,5396,2516
"93064",3565,4417,5386
"2745196",4000,5380,2573
"2898433",2852,3943,5369
