"","SRR4140278","SRR4140277"
"2975441",4370,18703
"3047874",895,18509
"1940636",278,18339
"1437360",7517,18334
"158822",18238,12532
"3016341",2208,18193
"482957",3125,18056
"386874",9762,18004
"85023",12905,17965
"2997333",15549,17725
"2978683",17707,10294
"33882",11076,17600
"2812560",16531,17560
"1355477",8356,17546
"2811789",110,17413
"2842355",441,17365
"83451",17354,16845
"1158459",12069,17327
"40214",1172,17164
"2653853",2072,17036
"2782665",6980,16967
"1176646",9480,16932
"665913",16931,7279
"2971236",16794,798
"92647",4229,16586
"101571",4776,16551
"1646340",12966,16530
"375549",16498,12036
"2802971",8001,16448
"284016",8816,16355
"2895495",233,16327
"946333",4046,16238
"68287",8334,16169
"134536",16080,5768
"1560339",16044,7560
"1076",7102,16033
"28454",87,15821
"2213015",304,15808
"28141",15166,15783
"488731",3075,15712
"2720029",14459,15699
"2580515",15529,1882
"1856685",558,15120
"927083",6461,15027
"41294",6379,14897
"68",6445,14868
"2777475",5258,14818
"2842356",548,14809
"1891675",13774,14700
"1312183",8966,14688
"1279031",14675,1014
"1762",10488,14661
"496014",12933,14626
"2732487",4959,14612
"253",113,14496
"42684",14355,4579
"1855912",6686,14270
"930166",401,14244
"85007",9329,14225
"76759",321,14224
"2954084",261,14223
"1045317",7558,14194
"2862866",14165,1204
"940133",8713,14097
"3003247",14063,712
"359",11527,14019
"413496",13919,9487
"82115",13871,12725
"1827",9170,13857
"3062598",13691,6861
"2811422",2848,13662
"1866885",10604,13660
"1294143",2131,13546
"2056258",2140,13538
"2782641",6002,13523
"2753607",5028,13516
"640205",1072,13512
"35754",6993,13486
"1506334",227,13478
"95485",2892,13458
"2589076",13304,3981
"665007",12779,13281
"424188",5697,13241
"2589903",3424,13147
"1885",13143,3632
"3056648",6039,13127
"2949664",11315,13112
"28068",4391,13111
"2591145",10750,13082
"1755504",477,13077
"1283291",226,12964
"584",12937,771
"56438",7214,12920
"1736675",4997,12905
"391953",5404,12886
"317",2409,12818
"47879",610,12761
"43",2863,12760
"331696",4041,12608
"88688",5180,12602
"158500",12598,3215
"488730",2273,12458
"858422",5996,12440
"3019553",2972,12326
"614",1993,12271
"2528023",6822,12258
"43306",3294,12230
"51288",12204,3672
"2420306",1033,12202
"2823875",161,12175
"76947",4914,12132
"160699",7128,12126
"250",77,12125
"48",7124,12096
"477697",12086,4184
"180282",1225,12066
"157783",737,11995
"2953738",351,11970
"2745482",353,11873
"191",5973,11823
"59732",342,11766
"3021405",32,11738
"2836373",4931,11724
"649831",4637,11702
"237609",506,11639
"3020843",640,11620
"94254",2517,11618
"3039154",7354,11610
"54571",11016,11608
"2851567",11553,9795
"196914",4637,11457
"28151",2202,11457
"212767",11422,8152
"1808001",483,11402
"1386",4531,11396
"1882757",11279,3935
"551",10979,8569
"2951806",10956,6528
"183795",271,10934
"319939",1618,10854
"488446",2070,10812
"946334",3771,10801
"742013",130,10800
"3049772",4481,10695
"2567896",4999,10675
"590",5631,10656
"2840469",4459,10639
"28095",5896,10619
"2980557",10619,9395
"106590",3406,10578
"2153354",10492,5037
"3039156",6837,10481
"1223566",10461,8942
"2981136",10448,4271
"1920191",52,10440
"82996",3364,10414
"2565559",7678,10402
"487698",10350,2192
"2849501",10338,7599
"352475",10333,10043
"160674",10319,6436
"580",10274,3602
"407020",4069,10254
"3075432",10235,4938
"2505979",184,10223
"2746961",1784,10193
"2995304",4473,10181
"2049589",361,10165
"2898431",3990,10156
"42906",1903,10142
"2895494",144,10091
"35753",4779,10080
"3014784",4290,10002
"53412",660,9955
"2070",7454,9949
"96344",3076,9810
"152500",2095,9789
"80816",2732,9774
"665914",9744,9211
"190148",4609,9731
"2709380",3919,9715
"2800373",5664,9712
"488729",1886,9656
"2764186",4212,9641
"1776742",355,9639
"1141883",6952,9638
"1636610",37,9633
"1325100",4211,9624
"1776741",118,9605
"1813",6811,9595
"151783",3638,9568
"2712222",4278,9540
"2895480",188,9518
"215580",3294,9469
"2728021",1402,9455
"1866",3380,9450
"95301",2067,9448
"39643",4667,9446
"2825844",9422,3498
"2840457",9404,5896
"44249",2629,9273
"535744",5622,9237
"300181",885,9227
"1149133",779,9220
"2675378",9166,5855
"1763",6154,9143
"863372",9112,1945
"2662033",288,9102
"2895477",57,9084
"2954771",4272,9051
"2813578",4796,9029
"517",2573,8968
"196162",8960,5441
"2901869",3620,8960
"2961893",1643,8959
"13690",6847,8922
"3004093",8900,4855
"912630",906,8895
"858423",4828,8815
"2714944",4406,8773
"2861282",8751,4929
"3020055",8704,2261
"2062",6625,8696
"53408",1102,8690
"2865833",6595,8682
"2587597",39,8641
"2035",983,8615
"1639133",8593,4890
"380021",715,8593
"515361",8553,4573
"1865",3081,8550
"2763008",8545,5877
"113562",2851,8538
"165697",4184,8512
"1274631",4050,8486
"204037",7333,8481
"34029",2841,8445
"3030011",8442,2322
"216778",3031,8369
"1904616",8323,7138
"293958",3890,8285
"380",6403,8285
"2895489",243,8264
"2678257",123,8221
"2908006",2467,8189
"2762322",3194,8182
"2496836",8181,3264
"2873269",8158,684
"3040509",3665,8151
"2708539",3422,8149
"86265",192,8135
"3046670",383,8128
"61648",8091,3094
"399742",8071,2478
"1867",3123,8070
"2681552",3221,8060
"3039155",5346,8046
"1503055",1649,8044
"1385",1792,7988
"565",7978,4759
"2899220",1859,7918
"69",3366,7908
"2774151",4000,7880
"662548",3962,7851
"2651334",7835,4461
"28450",2563,7774
"463025",7755,3492
"202950",401,7729
"1586287",7699,4840
"3015177",3186,7679
"1334193",4668,7644
"371036",357,7602
"41275",3946,7602
"3061628",7585,2990
"2896849",7582,2762
"1914461",2640,7556
"1785161",342,7555
"2949637",7555,3320
"2879617",7548,6563
"48736",2749,7534
"434008",3674,7533
"122358",3404,7512
"33069",1890,7498
"61647",7496,6696
"280333",1918,7451
"363835",3778,7451
"435897",2334,7443
"1679497",2122,7433
"2082949",7423,3979
"2914710",2577,7386
"1643322",7385,4717
"434009",3524,7376
"68214",7373,3692
"1521768",3086,7372
"2320270",356,7361
"2807512",3365,7342
"2972478",385,7342
"1879050",169,7334
"1608473",175,7328
"2135430",7324,3480
"186650",7294,3174
"60552",1456,7294
"1881016",7122,7280
"270351",3311,7273
"639200",2577,7249
"1391654",2952,7246
"2518644",369,7242
"207745",3691,7205
"2894081",7196,5603
"1028989",711,7168
"1397",1507,7158
"375",3325,7155
"388357",7150,1924
"119219",2445,7128
"1597781",2463,7126
"2017486",7110,5432
"433659",7102,6088
"1848900",6314,7100
"179879",1501,7073
"1561023",603,7054
"237",432,7054
"2931382",680,7052
"2728827",3394,7047
"2775403",5307,7004
"2769491",6995,5126
"83637",3037,6994
"2745495",622,6990
"2804617",3612,6965
"1413221",6963,2880
"2579935",6960,4975
"506",1956,6959
"69666",2118,6937
"1315974",3139,6933
"61646",6921,5453
"122277",4476,6910
"2562284",2301,6910
"2811788",693,6905
"413882",2362,6894
"28105",5019,6875
"710705",6874,4267
"65741",1135,6859
"29430",632,6843
"2883205",327,6832
"624315",3786,6819
"53359",3351,6805
"76758",608,6765
"314722",2228,6724
"439387",2874,6719
"2893890",835,6703
"406548",3790,6703
"2712223",6688,5148
"642",3076,6683
"3039159",3258,6677
"67825",6667,5665
"55211",6666,6443
"1124835",33,6652
"29449",6646,5772
"1207504",1847,6622
"2736640",4996,6622
"1005665",6594,5630
"1796606",1162,6593
"66880",6588,2877
"114",3307,6576
"1166130",3562,6571
"2795488",585,6571
"457921",6559,6167
"2714943",3493,6550
"1824",4267,6539
"2721173",6518,3043
"1573718",149,6500
"249586",6443,3043
"240495",4727,6440
"1842727",2471,6426
"2722752",3143,6413
"1915",6407,2621
"2071607",3246,6403
"436515",2099,6403
"47760",6401,4315
"57706",6398,4242
"2976824",2713,6392
"169427",6381,3904
"2895488",123,6350
"68895",3804,6349
"2981134",6345,3335
"149698",3310,6315
"75",2573,6305
"335929",2422,6298
"179636",2503,6296
"55212",5922,6295
"2730915",6288,2874
"2726118",6279,3019
"2026199",6278,4322
"2830667",2155,6269
"72557",6269,2339
"1268",5910,6266
"2903901",2886,6235
"75682",2512,6230
"879274",6223,5354
"1522432",2638,6213
"265",6203,5841
"337",1735,6187
"3068632",2395,6178
"2077136",6166,1056
"715475",5466,6135
"2070761",1427,6128
"106649",202,6126
"795665",2212,6108
"1707785",4962,6103
"47883",407,6098
"2678260",569,6095
"316",2171,6085
"2686094",782,6067
"1795631",2596,6056
"2907545",6053,2638
"41",2747,6043
"1686399",6040,2094
"40216",353,6027
"94",2531,6026
"2938948",2821,6023
"217204",3196,6020
"3037258",4124,6005
"93064",2451,6000
"45398",5992,2926
"2872648",5304,5987
"2602016",2249,5983
"2714110",242,5983
"2898441",299,5982
"1615494",4294,5980
"2787629",5149,5978
"722472",2414,5971
"285450",5946,4578
"376175",2069,5943
"80860",5910,2363
"1710",4419,5898
"1235591",2443,5896
"1892855",3359,5888
"32002",2937,5873
"1526658",3322,5869
"2083052",118,5867
"288000",2821,5865
"92490",4907,5844
"2732249",3251,5833
"2782654",2636,5824
"3068633",4800,5822
"2898149",2666,5821
"2527974",3373,5812
"1646377",5809,1415
"339",5801,3843
"204455",2958,5793
"3057122",5792,2858
"2321403",792,5791
"871742",3973,5783
"2774055",5779,404
"2598579",2904,5778
"487316",303,5775
"147645",5758,3352
"114616",5749,5749
"2806262",2311,5743
"2033",2222,5738
"1223565",4482,5727
"332055",2740,5722
"1909395",3629,5717
"29486",5717,2659
"2725477",1208,5715
"2768069",5709,2760
"2716225",2196,5700
"29448",2632,5679
"3039386",1858,5675
"2742624",4316,5670
"296",542,5667
"36863",1873,5658
"47420",2106,5645
"618",1969,5644
"115808",2522,5641
"2053",3631,5634
"262209",2361,5629
"443156",5626,3468
"1758189",248,5623
"2666183",200,5616
"2918170",2741,5611
"2899123",3743,5610
"2069256",102,5609
"569",1414,5598
"558537",221,5590
"114615",2493,5566
"138074",2459,5555
"46165",3382,5550
"715472",5019,5546
"3028807",263,5544
"1076124",3080,5542
"379893",3197,5533
"2045208",2467,5526
"2202827",1632,5526
"1867715",2532,5523
"2045",5515,5308
"2714939",5515,5093
"709879",2327,5508
"2082386",1961,5491
"2599640",3550,5484
"575",4265,5478
"2014920",5467,3923
"73044",5455,3583
"2558918",5451,3783
"2057741",2289,5448
"329",2886,5437
"1353891",4959,5408
"40215",154,5403
"68212",5402,3433
"3061627",2376,5401
"105219",2139,5397
"2970925",2525,5396
"255045",2222,5395
"135614",2226,5385
"463040",2975,5369
"2518370",5356,3770
"2594003",1224,5346
"1691904",223,5343
"577",5338,3221
"1740721",245,5332
"2884263",2604,5324
"3039153",2450,5315
"3064531",5296,1777
"2742131",4581,5294
"2745",2473,5290
"1849967",5286,4043
"85030",5286,4474
"1903411",3524,5259
"563",5251,2233
"1325112",2499,5250
"1404888",2500,5235
"2735906",367,5235
"1416806",5234,3263
"76892",2432,5232
"470933",5224,2693
"2714942",2558,5220
"93681",924,5186
"2728020",2886,5184
"1836",3832,5179
"1842534",4768,5174
"1890",5173,2724
"2979324",1098,5164
"2931390",5159,3953
"2942996",2805,5137
"3045147",204,5137
"410837",5131,2008
"408",2424,5125
"2202828",2532,5122
"2774875",1754,5121
"1967501",3399,5119
"2917724",5116,3817
"316612",1986,5109
"84531",1240,5098
"2594473",2759,5097
"2267833",5088,702
"2861782",2949,5088
"2768165",5083,1927
"35703",4564,5077
"93944",3165,5076
"2219224",3390,5074
"545",2859,5073
"1163710",5069,3658
"2493671",1934,5068
"2782662",2643,5068
"305",1945,5046
"3031919",3036,5038
"1609758",5037,2233
"3018446",2385,5019
"53399",1122,5011
"941907",2105,5010
"2751189",5008,3645
"3024247",3326,5006
"1306519",35,4979
"2602015",1741,4961
"3070683",160,4942
"2971264",1700,4940
"85015",4938,4676
"2202148",2367,4931
"3019968",456,4919
"561",4917,4453
"65700",4916,3049
"2797636",4915,2830
"2681984",4859,4903
"261302",4899,3257
"190721",1101,4895
"47917",1607,4893
"2823693",2261,4884
"29580",1737,4881
"2034",2652,4874
"223967",2806,4863
"2932773",3528,4860
"2998079",219,4856
"2509455",4630,4849
"2768162",2836,4846
"1981173",4845,4434
"2801029",4845,2932
"119045",3811,4839
"106591",1266,4835
"2952477",4832,3137
"483937",75,4829
"116188",4820,2665
"134537",4820,3627
"2020313",4817,1977
"2895471",68,4817
"2072405",2246,4811
"192",3204,4802
"103733",3301,4800
"2060726",4794,2990
"80867",1989,4794
"49319",4733,4792
"2762576",651,4791
"1708",3213,4787
"2877940",2075,4786
"2996826",4767,3535
"225991",1181,4761
"2676077",2652,4757
"33903",4739,2348
"105560",1833,4731
"2898796",4731,3527
"1930532",398,4729
"397260",2427,4716
"2877941",1399,4706
"2802641",2705,4694
"128785",1808,4692
"44255",2118,4691
"104663",4687,3468
"3070676",144,4686
"1758194",1937,4683
"2886352",44,4677
"70348",202,4672
"404589",2086,4661
"3074146",231,4657
"182337",4655,2467
"370622",1358,4652
"2760089",4649,3412
"1926868",1719,4641
"2798861",237,4635
"629",2007,4630
"2355",1417,4627
"2651974",1879,4621
"2320867",553,4620
"2969621",2740,4600
"204447",3208,4596
"204441",1934,4595
"82541",3717,4594
"2849779",2453,4591
"108980",269,4590
"2020412",2175,4589
"160791",2268,4583
"2897332",3329,4580
"1357074",476,4574
"1993",2923,4570
"1882749",1956,4569
"3038927",2442,4568
"2726956",371,4559
"2971912",114,4558
"1938607",2022,4556
"2976823",3852,4548
"2004644",196,4544
"33050",2561,4532
"404386",2999,4529
"129985",149,4517
"2939495",104,4515
"52",2230,4511
"2697032",1862,4505
"323620",3908,4504
"2582905",4502,3832
"29447",4497,853
"2202825",3438,4490
"2662362",82,4488
"2789776",2294,4486
"29539",3678,4485
"3064139",1536,4478
"2770322",1139,4476
"1813880",4475,2816
"1707",3016,4465
"2937800",3777,4458
"2762323",1816,4456
"1750527",2793,4454
"1716",2538,4449
"3020716",171,4444
"304895",2404,4442
"2937801",3659,4441
"338584",2125,4435
"3016000",2171,4429
"1324350",164,4424
"2851648",1333,4419
"67824",4411,4195
"561879",1961,4400
"1333996",1832,4399
"2742128",2696,4396
"37326",2804,4385
"204525",2893,4375
"2843215",3095,4375
"2686304",4371,2841
"2681549",2234,4370
"2072505",4369,2133
"2126321",4360,3390
"2653851",4359,3631
"107709",2062,4351
"2768066",4351,3627
"1494466",1347,4350
"1871048",1825,4350
"218821",3019,4346
"151416",2108,4331
"47989",2057,4320
"155892",1822,4312
"182640",4233,4310
