"","SRR4142418","SRR4141180"
"1814",5352,16947
"1817",4955,16903
"2202828",4628,16844
"1653480",5926,16819
"93064",8049,16735
"2872648",16722,372
"2749844",4750,16713
"1003110",4921,16642
"408",4583,16491
"39956",3320,16449
"3018339",4569,16394
"299146",4368,16363
"1391654",6561,16359
"303",7463,16330
"29405",2866,16318
"2033",7194,16299
"2057741",6508,16269
"515350",4753,16214
"249586",5136,16082
"1034889",4817,16052
"125216",4445,15982
"2742132",4816,15935
"2136173",4699,15926
"2663857",3836,15926
"2760705",3389,15891
"2211212",15868,1099
"2589903",3502,15822
"1325112",4415,15763
"1742992",990,15763
"2849093",12940,15723
"3049075",15651,12414
"3039153",5307,15595
"2496836",15584,11638
"172713",15576,798
"449461",4193,15570
"42684",15543,15452
"160826",3706,15539
"117157",3954,15485
"362257",4022,15472
"358",6083,15452
"68246",6075,15447
"1710",5550,15403
"2078691",4236,15380
"44255",4972,15362
"131568",3405,15355
"204525",4404,15286
"2804617",3425,15273
"2562284",6644,15219
"3073064",3552,15205
"2714943",2718,15172
"1526658",6574,15132
"3036374",3423,15073
"662548",5220,15069
"293387",15051,330
"443156",2932,15044
"1286181",4097,15023
"524884",4226,14999
"2823693",4714,14992
"709883",4195,14982
"2842453",4970,14945
"3044187",3738,14923
"82633",8823,14870
"2099694",1849,14813
"941907",6196,14789
"68270",5138,14763
"135487",4414,14696
"3020055",14659,5325
"200618",3897,14652
"1736675",6018,14608
"75",4711,14581
"257708",4224,14565
"2872154",3414,14513
"2886821",14474,1123
"2483798",3449,14473
"1882757",6365,14446
"2819290",14425,520
"68223",2835,14422
"193462",4602,14369
"2509455",4250,14368
"2931983",5575,14292
"397260",5961,14292
"29448",5551,14252
"2082949",4452,14241
"83656",4838,14186
"76892",4907,14135
"2135430",6198,14086
"228899",14075,1469
"321985",2234,14071
"292462",2280,14040
"455432",4201,14021
"1774216",3109,13928
"73044",5600,13831
"2613770",2973,13816
"370526",4203,13814
"1325095",4398,13796
"204455",5420,13787
"31958",4529,13769
"419476",3288,13768
"1867715",5324,13764
"2867410",4320,13764
"28095",6305,13754
"470934",1631,13738
"1764",3713,13729
"2991728",2105,13718
"2973977",3587,13713
"3052091",13706,571
"67367",3644,13691
"675864",3028,13689
"2963105",13669,1624
"3015154",4262,13659
"2681549",4418,13653
