"","1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561"
"Bradyrhizobium_sp._323S2","3714","1947","1302","1013","3281","2798","834"
"Bradyrhizobium_sp._192","3292","1597","1191","837","2942","2550","915"
"Bradyrhizobium_sp._LCT2","2370","1339","969","697","2446","1895","626"
"Bradyrhizobium_sp._SG09","3509","1609","1022","872","2920","2918","896"
"Bradyrhizobium_sp._187","2282","1245","888","602","2395","1598","500"
"Bradyrhizobium_sp._TM102","3005","1559","948","795","2834","2871","809"
"Bradyrhizobium_sp._172","2830","1376","1211","703","2822","1754","824"
"Bradyrhizobium_sp._CW1","3514","1997","1614","1198","3495","1459","835"
"Bradyrhizobium_sp._38S5","2786","1352","827","706","2941","1680","855"
"Bradyrhizobium_sp._1S5","2450","1367","865","681","2838","1733","440"
"Bradyrhizobium_sp._131","3013","1124","858","945","2764","2045","912"
"Bradyrhizobium_sp._155","2871","1093","576","407","1694","1566","547"
"Bradyrhizobium_sp._CCBAU_21365","1065","824","0","0","923","1001","0"
"Bradyrhizobium_erythrophlei","32205","13426","9088","7359","25245","21092","7531"
"Bradyrhizobium_paxllaeri","24698","5672","3706","3706","10115","12219","1948"
"Bradyrhizobium_icense","22136","5728","3697","4009","11405","13147","2018"
"Bradyrhizobium_diazoefficiens","50593","25589","17502","14623","55426","44262","17480"
"Bradyrhizobium_lablabi","21017","9440","6038","5154","17928","14192","4557"
"Bradyrhizobium_canariense","22638","9735","6399","5497","17609","15433","5341"
"Bradyrhizobium_genosp._L","9358","4288","2737","2489","8134","7064","2300"
"Bradyrhizobium_japonicum","17730","9688","6700","4839","16985","12658","4237"
"Bradyrhizobium_oligotrophicum","8173","4379","2741","2290","8034","6199","2229"
"Bradyrhizobium_arachidis","7199","3847","2629","1897","6865","5823","1927"
"Bradyrhizobium_guangdongense","6966","3687","2311","1984","6659","5487","2513"
"Bradyrhizobium_cosmicum","6385","3011","1934","1636","5522","4599","1601"
"Bradyrhizobium_quebecense","7366","3638","2458","1889","6398","5277","1834"
"Bradyrhizobium_vignae","5588","3112","2090","1578","5246","5563","1612"
"Bradyrhizobium_genosp._B","5484","2831","1878","1423","5345","4304","1468"
"Bradyrhizobium_guangzhouense","5824","3012","2038","1629","5502","4524","1630"
"Bradyrhizobium_septentrionale","6594","3015","2117","1780","5676","4481","1361"
"Bradyrhizobium_guangxiense","5691","3120","2041","1535","5050","6400","2905"
"Bradyrhizobium_daqingense","5572","2628","1679","1329","4811","3843","1367"
"Bradyrhizobium_amphicarpaeae","4244","2027","1398","1118","3592","3541","1234"
"Bradyrhizobium_symbiodeficiens","7058","3411","2375","1642","6305","4998","1623"
"Bradyrhizobium_betae","4289","2452","1581","1214","4072","3361","1312"
"Bradyrhizobium_zhanjiangense","3190","1984","1412","1009","3678","2820","943"
"Bradyrhizobium_elkanii","6063","3175","1877","1682","6117","3708","1603"
"Bradyrhizobium_ottawaense","8095","3585","2336","2112","6674","5476","1453"
"Rhodopseudomonas_palustris","34719","19035","12945","10084","38566","25700","10515"
"Rhodopseudomonas_sp._SK50-23","6340","2353","1470","1186","4161","3154","1359"
"Rhodopseudomonas_boonkerdii","5418","2440","1728","1283","4611","3292","1321"
"Nitrobacter_hamburgensis","9634","2869","2376","1420","5082","5024","2701"
"Nitrobacter_winogradskyi","8055","2079","1581","1160","4016","3665","1382"
"Tardiphaga_sp._37S4","3857","1775","1139","958","3401","2383","1036"
"Tardiphaga_sp._vice154","2151","1587","980","654","2585","1618","771"
"Tardiphaga_sp._vice278","2553","1081","582","747","1844","1539","580"
"Tardiphaga_sp._vice304","1208","627","353","406","1221","991","239"
"Tardiphaga_sp._vice352","901","0","359","0","1138","539","341"
"Tardiphaga_robiniae","3709","1832","1190","892","3638","2230","902"
"Afipia_carboxidovorans","6327","3159","2094","1991","6555","4424","2479"
"Afipia_sp._GAS231","6990","3198","1963","1653","6142","4560","1582"
"Variibacter_gotjawalensis","8306","4159","2879","2439","8234","6398","2436"
"Rhizobium_sp._BG4","7851","2249","1609","1017","3732","2029","869"
"Rhizobium_sp._WYJ-E13","5776","2643","2109","830","2900","1754","1173"
"Rhizobium_sp._WL3","5687","1602","1371","610","2468","1455","439"
"Rhizobium_sp._SL42","5551","1311","1001","644","2371","1290","466"
"Rhizobium_sp._ACO-34A","4820","1609","994","687","2717","1513","563"
"Rhizobium_sp._NXC24","4157","1701","1149","771","2802","1671","549"
"Rhizobium_sp._AB2/73","4259","1697","1091","739","2821","1911","1005"
"Rhizobium_sp._11515TR","3364","1207","810","601","2280","1307","552"
"Rhizobium_sp._CIAT894","3176","1164","861","515","2220","1177","546"
"Rhizobium_sp._NZLR1","2931","1143","850","465","1978","1121","455"
"Rhizobium_sp._K102","3284","1009","698","502","1873","1186","527"
"Rhizobium_sp._NXC14","2715","1227","781","555","1867","1206","453"
"Rhizobium_sp._C104","2663","1082","767","506","1927","981","353"
"Rhizobium_sp._NLR16a","2497","991","672","526","1820","1122","422"
"Rhizobium_sp._L51/94","3327","1127","829","555","1893","1212","445"
"Rhizobium_sp._X9","3212","1085","720","500","1843","993","366"
"Rhizobium_sp._Kim5","2198","790","527","385","1364","1021","426"
"Rhizobium_sp._IE4771","1938","621","441","306","1194","771","313"
"Rhizobium_sp._007","1589","1145","811","350","1669","714","251"
"Rhizobium_sp._TAL182","1443","711","566","412","1111","719","383"
"Rhizobium_sp._ZX09","1436","519","578","196","700","496","186"
"Rhizobium_sp._Y9","1269","433","581","148","433","419","194"
"Rhizobium_sp._NIBRBAC000502774","1308","607","321","274","893","602","201"
"Rhizobium_sp._B230/85","2063","590","388","202","1050","560","215"
"Rhizobium_sp._N324","2194","720","434","447","1474","961","447"
"Rhizobium_sp._T136","1889","600","365","0","1766","658","0"
"Rhizobium_sp._CCGE531","2418","1518","894","665","2447","1913","545"
"Rhizobium_sp._B21/90","2274","485","339","446","977","0","0"
"Rhizobium_sp._CCGE532","1836","901","716","0","886","0","0"
"Rhizobium_sp._S41","3944","0","0","0","0","0","0"
"Rhizobium_sp._BG6","1582","0","0","0","0","0","0"
"Rhizobium_sp._N113","1453","0","0","0","2606","0","0"
"Rhizobium_leguminosarum","47225","18521","12130","8534","31817","17697","6904"
"Rhizobium_pseudoryzae","7476","2030","1328","895","3634","1893","642"
"Rhizobium_etli","11208","5191","3295","2409","9079","5068","1989"
"Rhizobium_rosettiformans","5755","1542","1354","530","2282","1386","423"
"Rhizobium_jaguaris","4180","1861","1259","872","2994","1790","620"
"Rhizobium_rhizoryzae","3921","855","5840","390","1536","4035","265"
"Rhizobium_gallicum","6954","3318","2249","1573","5816","2895","917"
"Rhizobium_phaseoli","8906","3997","2823","1901","7186","4748","1896"
"Rhizobium_daejeonense","3780","1077","788","501","1993","1101","408"
"Rhizobium_bangladeshense","3242","1522","1019","660","2540","1388","615"
"Rhizobium_tropici","3282","1246","791","534","2148","1245","465"
"Rhizobium_lentis","3126","1297","830","638","2311","1238","459"
"Rhizobium_binae","2645","1184","850","523","1986","3247","498"
"Rhizobium_pusense","7288","2844","3551","1143","4058","2640","1226"
"Rhizobium_indicum","2526","1056","784","517","1893","1147","390"
"Rhizobium_acidisoli","1871","818","553","380","1481","875","316"
"Rhizobium_oryzihabitans","2339","678","423","336","1116","649","311"
"Rhizobium_hidalgonense","1405","609","483","307","1289","730","265"
"Rhizobium_laguerreae","1097","489","315","271","1011","581","198"
"Rhizobium_ruizarguesonis","2464","1183","726","645","1766","1375","469"
"Rhizobium_favelukesii","955","1082","774","0","1109","393","0"
"Agrobacterium_tumefaciens","28912","8048","6529","3430","14229","8194","2578"
"Agrobacterium_fabrum","3548","1060","687","456","1618","924","339"
"Agrobacterium_fabacearum","4297","1002","1021","447","2426","1049","504"
"Agrobacterium_vitis","8043","2316","1639","1086","4109","2417","853"
"Agrobacterium_sp._T29","1808","574","435","299","1025","557","185"
"Agrobacterium_sp._MA01","2386","828","646","302","1178","719","206"
"Agrobacterium_sp._RAC06","2312","806","677","324","1305","657","236"
"Agrobacterium_sp._CGMCC_11546","1294","329","182","110","661","337","128"
"Agrobacterium_sp._S7/73","1054","371","227","193","658","307","198"
"Agrobacterium_vaccinii","4405","998","657","416","1687","888","387"
"Agrobacterium_larrymoorei","3682","675","477","338","1226","647","245"
"Agrobacterium_rubi","2899","683","432","287","1234","659","230"
"Agrobacterium_salinitolerans","2348","578","433","344","1357","597","222"
"Agrobacterium_rhizogenes","3455","1319","908","633","2435","1316","445"
"Neorhizobium_sp._SOG26","17560","1731","1087","877","2988","1568","512"
"Neorhizobium_sp._NCHU2750","14311","1795","1087","685","2814","1570","565"
"Neorhizobium_galegae","22306","6525","4143","3043","11068","5662","2199"
"Pseudorhizobium_flavum","10812","2595","1248","823","2955","1517","500"
"Pseudorhizobium_banfieldiae","7003","1881","919","641","2669","1295","498"
"Sinorhizobium_meliloti","52245","20759","9058","8443","31633","6748","1809"
"Sinorhizobium_fredii","29580","15727","10708","7446","28098","14661","4020"
"Sinorhizobium_americanum","6402","3175","2110","1490","5398","2971","818"
"Sinorhizobium_sp._BG8","4539","2032","1397","918","3752","2015","531"
"Sinorhizobium_sp._CCBAU_05631","1310","773","475","377","1417","771","196"
"Sinorhizobium_medicae","4884","2438","1530","1059","4285","2153","646"
"Ensifer_adhaerens","26500","9877","5450","3345","13176","9108","2254"
"Ensifer_mexicanus","5693","3730","2449","1539","5910","3049","997"
"Ensifer_sp._PDNC004","4693","2604","1651","958","3807","2363","723"
"Ensifer_sp._T173","4395","1519","980","643","3028","1436","560"
"Ensifer_alkalisoli","4235","2494","1639","1141","4501","5289","700"
"Ensifer_sojae","4454","2654","1791","1252","5070","3488","753"
"Shinella_sp._HZN7","26025","5583","5920","2438","10418","9318","1769"
"Shinella_sp._PSBB067","10651","4179","3538","1898","7554","4528","1460"
"Shinella_sp._H4-D48","6689","1333","1277","613","2394","1401","402"
"Shinella_sp._XGS7","5194","3898","2112","1542","6466","3476","1294"
"Shinella_zoogloeoides","16905","5909","5966","2577","10625","6675","2025"
"Shinella_oryzae","5594","2122","2039","829","3447","2004","558"
"Georhizobium_profundi","4990","2404","1552","1051","4568","2131","739"
"Ciceribacter_thiooxidans","4301","2240","1510","1036","4438","2207","798"
"Peteryoungia_desertarenae","2057","793","542","346","1347","688","238"
"Candidatus_Liberibacter_solanacearum","64","0","0","0","28","12","0"
"Liberibacter_crescens","29","28","72","20","227","57","0"
"Candidatus_Liberibacter_asiaticus","27","18","16","0","48","21","0"
"Candidatus_Liberibacter_africanus","30","38","44","0","50","25","0"
"Candidatus_Liberibacter_americanus","14","15","13","0","19","12","0"
"Mesorhizobium_sp._8","16156","5814","3635","2865","10024","8355","2148"
"Mesorhizobium_sp._DCY119","13873","4443","3074","1893","6915","4218","1174"
"Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1","9956","3005","2048","1404","5613","3742","1722"
"Mesorhizobium_sp._Pch-S","8451","3541","2189","1372","5389","3364","1019"
"Mesorhizobium_sp._M3A.F.Ca.ET.080.04.2.1","7971","3102","2149","1562","5784","3796","1598"
"Mesorhizobium_sp._B1-1-8","7604","3171","2164","1463","5540","3819","1748"
"Mesorhizobium_sp._J8","8015","3347","2665","1661","6039","8475","11129"
"Mesorhizobium_sp._B2-1-1","7357","2948","1992","1402","5129","3442","1145"
"Mesorhizobium_sp._131-2-1","8974","3494","2294","1565","6113","3804","1307"
"Mesorhizobium_sp._INR15","6631","2402","1585","1017","3802","2569","918"
"Mesorhizobium_sp._M4B.F.Ca.ET.058.02.1.1","8231","3014","2048","1299","5048","3348","1229"
"Mesorhizobium_sp._PAMC28654","6823","2340","1691","1101","4091","2638","1040"
"Mesorhizobium_sp._M1B.F.Ca.ET.045.04.1.1","7948","3497","2460","1647","5986","4562","2041"
"Mesorhizobium_sp._B2-8-5","7595","3034","2155","1501","5325","5425","6632"
"Mesorhizobium_sp._L-2-11","7816","3155","2037","1387","5902","2742","811"
"Mesorhizobium_sp._M9A.F.Ca.ET.002.03.1.2","8199","3123","2099","1373","5792","2911","909"
"Mesorhizobium_sp._M1D.F.Ca.ET.043.01.1.1","8972","3918","2683","1743","6835","4491","2061"
"Mesorhizobium_sp._M1E.F.Ca.ET.045.02.1.1","8254","3328","2344","1578","6174","4352","2114"
"Mesorhizobium_sp._M7D.F.Ca.US.005.01.1.1","6032","1877","1266","857","3221","2162","707"
"Mesorhizobium_sp._M6A.T.Cr.TU.016.01.1.1","5991","2553","1731","1095","4667","2302","692"
"Mesorhizobium_sp._B4-1-4","5123","2184","1549","974","3543","2381","911"
"Mesorhizobium_sp._B2-1-8","4908","2085","1331","925","3722","2243","919"
"Mesorhizobium_sp._NBSH29","3930","1272","820","516","2136","1208","381"
"Mesorhizobium_sp._M8A.F.Ca.ET.057.01.1.1","4920","1985","1341","866","3236","2068","748"
"Mesorhizobium_sp._NZP2077","4516","1696","1161","786","2824","1853","678"
"Mesorhizobium_sp._M7A.F.Ce.TU.012.03.2.1","4474","1655","1129","754","3098","1765","567"
"Mesorhizobium_sp._M2A.F.Ca.ET.043.05.1.1","5986","2338","1686","1290","4381","3585","6397"
"Mesorhizobium_sp._113-3-3","4727","1901","1321","878","3291","2074","749"
"Mesorhizobium_sp._L-8-10","13021","5804","4067","2467","10505","5392","1198"
"Mesorhizobium_sp._113-1-2","4231","1613","1111","735","2874","1869","605"
"Mesorhizobium_sp._NZP2298","4451","1451","997","687","2497","1627","488"
"Mesorhizobium_sp._L-8-3","11969","5182","3608","2438","9984","5574","1219"
"Mesorhizobium_sp._AA22","4215","1613","1175","704","2979","1357","489"
"Mesorhizobium_sp._113-3-9","4361","1598","1119","709","2822","1776","655"
"Mesorhizobium_sp._M2A.F.Ca.ET.046.03.2.1","6804","3017","1975","1262","4897","3915","4593"
"Mesorhizobium_sp._M2A.F.Ca.ET.043.02.1.1","5949","2620","1611","1093","4431","3792","4230"
"Mesorhizobium_sp._WSM1497","2150","843","660","444","1588","1127","372"
"Mesorhizobium_sp._131-3-5","1530","712","461","318","1295","748","260"
"Mesorhizobium_sp._NZP2234","1223","660","373","233","1190","800","192"
"Mesorhizobium_sp._131-2-5","1931","1356","807","452","2103","769","333"
"Mesorhizobium_terrae","9066","3851","2538","1636","6691","4035","1334"
"Mesorhizobium_opportunistum","8013","3424","2419","1628","6338","3610","1304"
"Mesorhizobium_amorphae","6111","2476","1702","1062","4422","2577","878"
"Mesorhizobium_loti","31637","13787","8807","6134","25543","14643","4777"
"Mesorhizobium_ciceri","11382","4994","3607","2390","10099","5004","1461"
"Mesorhizobium_australicum","3959","1760","1152","801","3311","1810","653"
"Mesorhizobium_erdmanii","3726","1573","994","614","2733","1641","550"
"Mesorhizobium_huakuii","4853","2235","1446","971","3526","2255","849"
"Mesorhizobium_japonicum","4141","1843","1222","788","3287","1949","672"
"Aquibium_microcysteis","14151","7149","4505","3193","13506","6557","2146"
"Aquibium_oceanicum","10392","5247","3389","2348","9830","4797","1606"
"Aminobacter_sp._MSH1","11256","4827","3165","2065","8367","4386","1277"
"Aminobacter_sp._SR38","8120","2966","1967","1451","5585","2546","1026"
"Aminobacter_sp._MDW-2","5556","2130","1181","881","4030","2106","635"
"Aminobacter_aminovorans","4226","1773","1289","738","3040","1642","451"
"Nitratireductor_sp._SY7","8318","4167","2658","1869","8155","3882","1275"
"Nitratireductor_sp._OM-1","4289","2125","1372","923","3876","2022","667"
"Nitratireductor_kimnyeongensis","2547","1121","786","633","2304","1189","395"
"Phyllobacterium_sp._T1018","2591","1272","821","589","2163","1190","424"
"Phyllobacterium_sp._628","1527","578","406","274","1147","673","226"
"Phyllobacterium_sp._T1293","1389","576","396","285","1033","642","211"
"Phyllobacterium_zundukense","2864","1349","878","538","2411","1192","401"
"Roseitalea_porphyridii","5061","3073","1950","1384","6142","3025","1059"
"Hoeflea_sp._IMCC20628","2409","1118","726","520","2204","1129","396"
"Hoeflea_phototrophica","2252","1068","702","487","2210","1084","364"
"Oricola_thermophila","4034","2143","1509","1065","4551","2234","752"
"Salaquimonas_pukyongi","1446","852","568","418","1721","775","301"
"Lentilitoribacter_sp._Alg239-R112","109","55","24","31","76","42","0"
"Devosia_sp._A16","30687","7112","5516","3236","10924","5917","4015"
"Devosia_sp._SL43","27724","2135","1366","935","3605","1689","885"
"Devosia_sp._JXJ_CY_41","26078","2186","1450","1044","3815","1821","1001"
"Devosia_sp._I507","24506","2387","1267","849","3208","1346","742"
"Devosia_sp._1566","16707","1841","1188","919","3310","1577","753"
"Devosia_sp._MC521","8071","732","431","305","1145","617","314"
"Devosia_rhizoryzae","56985","1931","1144","875","2953","1322","785"
"Devosia_ginsengisoli","34722","2552","1629","1209","4578","1941","1079"
"Devosia_oryziradicis","28781","2069","1429","952","3746","1592","977"
"Devosia_salina","32194","3962","1948","1218","4513","2093","1079"
"Devosia_beringensis","23791","1973","1333","1002","3643","1718","962"
"Youhaiella_tibetensis","11062","3018","2106","1711","6034","3025","1602"
"Paradevosia_shaoguanensis","10927","3193","2312","1839","6409","3269","1765"
"Pelagibacterium_halotolerans","4357","1422","921","660","2723","1346","585"
"Maritalea_myrionectae","635","234","160","122","480","279","104"
"Methylobacterium_nodulans","12377","7418","4942","3415","14186","9334","2457"
"Methylobacterium_sp._17Sr1-1","6547","4239","2758","1860","8144","4904","1597"
"Methylobacterium_sp._WL1","5205","3139","2012","1458","6242","3739","1258"
"Methylobacterium_sp._C1","4534","2782","1791","1299","5481","3489","1125"
"Methylobacterium_sp._XJLW","4348","2599","1499","1179","4709","2663","869"
"Methylobacterium_aquaticum","13320","7953","5279","3611","16166","9508","2969"
"Methylobacterium_durans","8469","4762","3140","2032","8624","5691","1673"
"Methylobacterium_radiodurans","7825","4691","3009","2144","9203","5578","1937"
"Methylobacterium_currus","8154","5259","3431","2350","10312","6212","1903"
"Methylobacterium_organophilum","8003","4992","3345","2247","9550","5926","1864"
"Methylobacterium_terrae","6856","4448","2782","2004","8546","5162","1642"
"Methylobacterium_brachiatum","5888","3498","2320","1672","7297","4341","1447"
"Methylobacterium_tardum","5640","3508","2495","1579","6781","4806","1439"
"Methylobacterium_mesophilicum","4974","3178","2099","1429","6477","4137","1425"
"Methylobacterium_indicum","6026","3761","2411","1695","7540","4632","1532"
"Methylobacterium_oryzae","8085","4997","3136","2187","9097","5998","1847"
"Methylobacterium_radiotolerans","10352","6502","4390","2963","13390","7561","2375"
"Methylobacterium_phyllosphaerae","2964","1935","1253","894","3966","2102","611"
"Microvirga_sp._VF16","44894","18134","9854","5405","24005","20847","2633"
"Microvirga_sp._17_mud_1-3","12214","6326","3685","2442","9562","12913","1531"
"Microvirga_ossetica","49545","15535","8493","5005","22386","20175","2699"
"Microvirga_thermotolerans","15010","8759","5120","3416","13779","13195","2150"
"Methylorubrum_extorquens","30702","9808","6215","4342","19215","10957","3544"
"Methylorubrum_populi","12975","7738","4934","3072","13569","8030","2670"
"Methylorubrum_sp._B1-46","5016","2587","1687","1072","4839","2879","952"
"Methylorubrum_zatmanii","1308","807","541","360","1242","703","236"
"Pseudolabrys_taiwanensis","21014","9514","6588","6012","18569","20409","17754"
"Pseudolabrys_sp._FHR47","17226","8523","12586","4286","13100","13654","10383"
"Starkeya_sp._ORNL1","9751","5831","3841","3042","11565","6499","2329"
"Starkeya_novella","9769","6467","3994","3019","12492","6143","2307"
"Xanthobacter_dioxanivorans","9044","5968","3789","2880","12107","6520","2368"
"Xanthobacter_sp._YC-JY1","4503","2984","1867","1381","5845","3309","1191"
"Xanthobacter_autotrophicus","4384","2985","1734","1466","5774","3035","1210"
"Ancylobacter_sp._TS-1","7041","4482","2924","2128","8785","4897","1752"
"Ancylobacter_polymorphus","7356","4295","2792","2133","8733","4910","1745"
"Ancylobacter_pratisalsi","4873","2944","1963","1503","6055","3400","1131"
"Labrys_sp._KNU-23","6198","3620","2443","1685","7103","3948","1438"
"Azorhizobium_caulinodans","6097","3855","2482","1756","7173","4195","1487"
"Rhodoplanes_sp._Z2-YC6860","39914","15092","10659","12073","36454","34531","22306"
"Hyphomicrobium_denitrificans","8665","3866","2959","2316","7826","5978","1785"
"Hyphomicrobium_nitrativorans","7401","3241","2517","1966","6499","4183","945"
"Hyphomicrobium_sp._MC1","4024","2026","1678","1279","4001","2976","847"
"Methyloceanibacter_sp._wino2","3755","2182","1464","1132","4458","3185","715"
"Methyloceanibacter_caenitepidi","3642","2164","1517","1126","4381","3074","686"
"Methyloligella_sp._GL2","5046","2889","2119","1471","5949","4322","874"
"Aquabacter_sp._L1I39","4810","3105","1960","1354","6234","3550","1162"
"Rhodomicrobium_vannielii","3526","2193","1441","1087","4353","2522","884"
"Caenibius_sp._WL","2235","1321","728","513","1950","901","426"
"Caenibius_tardaugens","2211","1342","805","505","1996","930","518"
"Candidatus_Filomicrobium_marinum","1766","998","616","531","1859","1149","311"
"Bosea_sp._ANAM02","21822","4701","3132","2207","8827","5285","1712"
"Bosea_sp._F3-2","13823","5587","3672","2584","9734","5623","1895"
"Bosea_sp._Tri-49","12890","5819","3583","2497","10652","6623","2089"
"Bosea_sp._RAC05","11964","5880","3652","2408","10376","6030","1965"
"Bosea_sp._AS-1","11022","4627","2958","1977","8494","4918","1718"
"Bosea_sp._PAMC_26642","7909","3719","2372","1630","6670","4241","1329"
"Bosea_vaviloviae","8786","4249","2776","2058","8338","5034","1540"
"Aureimonas_sp._AU20","7607","3174","2011","1439","6183","3312","1097"
"Aureimonas_sp._SA4125","6763","3849","2503","1763","7467","3632","1320"
"Aureimonas_sp._OT7","4893","2683","1796","1362","5489","2688","872"
"Aureimonas_populi","5936","2898","1846","1397","5901","2966","978"
"Aureimonas_mangrovi","5505","2882","1834","1252","5229","2768","984"
"Aureimonas_altamirensis","4067","1871","1304","792","3577","1818","650"
"Martelella_sp._AD-3","6236","3156","2058","1403","6007","2992","1196"
"Martelella_mediterranea","3810","1980","1306","920","3980","2071","781"
"Martelella_endophytica","3231","1683","1027","745","3106","1677","560"
"Martelella_lutilitoris","2775","1310","945","691","2894","1484","535"
"Aurantimonas_sp._HBX-1","9111","5691","3601","2564","11509","5140","1759"
"Pseudorhodoplanes_sinuspersici","14024","6072","4457","3673","13112","8920","3073"
"Nordella_sp._HKS_07","11670","7001","4765","3774","15524","7146","2018"
"Terrihabitans_soli","5923","3431","4735","2037","9737","3068","1481"
"Candidatus_Hodgkinia_cicadicola","33","41","27","17","94","34","0"
"Stappia_indica","7860","5079","3055","2403","10886","4893","1724"
"Stappia_sp._ES.058","3600","2321","1503","1076","4885","2277","760"
"Pannonibacter_phragmitetus","8511","4776","3210","2133","9874","4700","1716"
"Roseibium_aggregatum","4525","2552","1666","1179","4893","2480","881"
"Roseibium_alexandrii","1110","635","413","313","1277","639","223"
"Labrenzia_sp._VG12","2503","1290","881","639","2628","1234","440"
"Labrenzia_sp._PHM005","1068","524","352","272","1082","544","220"
"Labrenzia_sp._THAF82","965","501","331","246","1023","484","158"
"Pseudovibrio_brasiliensis","503","260","175","116","515","223","99"
"Pseudovibrio_sp._FO-BEG1","503","245","181","138","549","269","70"
"Methylocystis_parvus","3406","2148","1430","1059","4380","2474","946"
"Methylocystis_bryophila","3135","2183","1406","1125","4527","2478","970"
"Methylocystis_heyeri","3101","1906","1253","966","4065","2379","865"
"Methylocystis_sp._SC2","2263","1519","1018","808","3036","1744","704"
"Methylocystis_sp._SB2","1729","1029","806","630","2109","1341","433"
"Methylocystis_rosea","3522","2294","1467","1062","4715","2512","894"
"Methylosinus_trichosporium","4507","3195","2081","1611","6310","3527","1275"
"Methylosinus_sp._C49","3883","2521","1679","1225","5094","2980","1041"
"Phreatobacter_stygius","9877","6075","3828","2774","11241","6542","2381"
"Phreatobacter_cathodiphilus","9905","6521","3887","2982","12374","6764","2258"
"Phreatobacter_sp._NMCR1094","6377","3809","2362","1783","7605","4327","1604"
"Brucella_pseudogrignonensis","3450","306","193","109","465","260","100"
"Brucella_anthropi","16591","9683","9193","697","2669","1521","501"
"Brucella_sp._BTU1","1019","153","96","66","270","139","75"
"Brucella_sp._10RB9215","281","137","66","60","190","72","39"
"Brucella_sp._6810","303","100","66","68","152","108","33"
"Brucella_sp._09RB8910","225","114","69","71","156","103","36"
"Brucella_sp._2280","216","89","69","39","158","65","31"
"Brucella_sp._09RB8471","188","92","55","42","110","72","39"
"Brucella_sp._BO3","175","93","59","37","113","56","55"
"Brucella_sp._BO2","174","91","49","0","150","82","38"
"Brucella_sp._458","170","75","66","0","95","53","0"
"Brucella_intermedia","2078","1688","1327","435","1753","904","326"
"[Ochrobactrum]_quorumnocens","1347","379","237","154","647","356","138"
"Brucella_pituitosa","1202","117","84","52","229","130","56"
"Brucella_inopinata","164","84","43","26","124","35","29"
"Brucella_melitensis","3119","1234","1099","1778","2807","548","774"
"Brucella_suis","1201","0","0","0","549","10796","0"
"Brucella_ovis","117","74","0","0","0","31","0"
"Brucella_abortus","722","531","0","0","2736","811","0"
