"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700"
"Rhizobium_sp._007","929","1289","1115","103","889","1254","223","1425"
"Rhizobium_sp._TAL182","1006","689","721","80","1157","830","131","1107"
"Rhizobium_sp._ZX09","1099","537","678","86","787","878","115","653"
"Rhizobium_sp._NIBRBAC000502774","624","693","708","72","441","836","153","1145"
"Rhizobium_sp._B230/85","993","806","755","0","573","828","178","926"
"Rhizobium_sp._N324","1202","943","614","0","606","959","335","1135"
"Rhizobium_sp._CCGE531","1901","1486","1167","0","1544","1992","546","2228"
"Rhizobium_sp._T136","858","997","988","0","782","1007","163","1290"
"Rhizobium_sp._B21/90","1194","926","771","0","377","775","0","1623"
"Rhizobium_sp._BG6","2556","1389","0","0","0","0","0","0"
"Rhizobium_sp._CCGE532","1075","2741","1254","0","1396","1113","0","2283"
"Rhizobium_sp._N113","1462","0","0","0","0","0","0","1341"
"Rhizobium_leguminosarum","25953","32739","20103","1964","28739","25237","9097","43959"
"Rhizobium_etli","7468","6715","6054","483","5792","6917","1202","8132"
"Rhizobium_jaguaris","2578","2564","2074","179","2700","2520","453","3141"
"Rhizobium_pseudoryzae","2636","2680","2477","209","2254","2754","558","3333"
"Rhizobium_phaseoli","5891","5145","4457","391","4296","5430","859","6444"
"Rhizobium_gallicum","4301","4628","4011","389","3254","4516","749","5438"
"Rhizobium_bangladeshense","2212","2158","2723","157","2242","2203","386","2486"
"Rhizobium_tropici","1949","1821","1381","110","1812","1753","350","2142"
"Rhizobium_lentis","1991","1943","1575","157","1834","1892","414","2227"
"Rhizobium_daejeonense","1696","1570","1189","114","1325","1560","309","2005"
"Rhizobium_binae","1756","1705","1318","125","1657","1783","322","2111"
"Rhizobium_pusense","5320","3283","3834","332","5698","6076","535","4046"
"Rhizobium_rosettiformans","1733","1867","2080","155","1445","1747","372","2444"
"Rhizobium_rhizoryzae","1265","1267","1023","88","974","1231","241","1553"
"Rhizobium_indicum","1730","1508","1227","117","1261","1509","242","1831"
"Rhizobium_acidisoli","1308","1304","907","101","996","1094","229","1576"
"Rhizobium_hidalgonense","1298","1325","707","67","743","843","156","1131"
"Rhizobium_oryzihabitans","890","939","647","97","760","841","193","1100"
"Rhizobium_laguerreae","767","590","594","72","569","650","95","831"
"Rhizobium_ruizarguesonis","1705","1626","1700","137","1232","1636","249","1764"
"Rhizobium_favelukesii","471","874","862","0","635","1010","0","566"
"Agrobacterium_tumefaciens","12983","22253","8823","870","11489","11096","2513","14137"
"Agrobacterium_fabrum","1406","1448","1131","78","1034","1224","304","1828"
"Agrobacterium_fabacearum","1948","1980","1027","0","920","1603","433","2402"
"Agrobacterium_vitis","3509","3721","2642","228","2950","3200","747","4480"
"Agrobacterium_sp._T29","656","677","627","61","770","726","138","890"
"Agrobacterium_sp._MA01","943","960","994","65","727","850","190","1234"
"Agrobacterium_sp._RAC06","856","1042","1118","53","824","897","177","1224"
"Agrobacterium_sp._CGMCC_11546","460","415","364","31","340","485","98","631"
"Agrobacterium_sp._S7/73","636","578","464","0","387","486","151","727"
"Agrobacterium_vaccinii","1447","1616","1030","92","1133","1332","287","1767"
"Agrobacterium_larrymoorei","1147","1136","793","82","853","1011","186","1298"
"Agrobacterium_rubi","1003","1065","760","68","851","949","224","1293"
"Agrobacterium_salinitolerans","874","988","713","64","769","800","159","1115"
"Agrobacterium_rhizogenes","1809","1597","1470","172","1500","1776","347","2431"
"Neorhizobium_galegae","13607","10581","9494","637","9357","9215","1991","12403"
"Neorhizobium_sp._SOG26","2765","2231","3936","210","2159","3271","456","2925"
"Neorhizobium_sp._NCHU2750","2331","2342","2045","193","1949","2720","458","2918"
"Pseudorhizobium_flavum","5940","2180","7784","167","1600","2171","509","2836"
"Pseudorhizobium_banfieldiae","3689","1873","4570","144","1578","2046","500","2665"
"Sinorhizobium_meliloti","115894","29953","39167","1764","9377","28980","9750","42319"
"Sinorhizobium_fredii","13045","18690","20329","1621","14209","19795","3800","35035"
"Sinorhizobium_medicae","4777","3241","2990","224","2090","3229","648","4046"
"Sinorhizobium_sp._BG8","2740","3214","2238","261","2302","2951","562","3978"
"Sinorhizobium_sp._CCBAU_05631","737","951","963","68","689","937","146","1261"
"Sinorhizobium_americanum","3348","3954","4565","323","3080","4432","769","7060"
"Ensifer_adhaerens","45033","196478","9299","1014","10201","12992","2543","18933"
"Ensifer_sp._PDNC004","6070","10024","2606","250","2485","3334","557","3904"
"Ensifer_sp._T173","1741","17838","1607","126","1694","1880","389","4000"
"Ensifer_mexicanus","3696","4560","3874","325","3713","4359","793","5374"
"Ensifer_alkalisoli","2477","3081","2909","252","2400","3170","578","3895"
"Ensifer_sojae","2422","3130","2959","266","2576","3444","623","4175"
"Shinella_sp._HZN7","12493","6727","5601","562","5480","7125","1490","9128"
"Shinella_sp._PSBB067","5808","5008","4221","415","4395","5263","1092","6911"
"Shinella_sp._XGS7","3998","4228","3570","370","5064","4825","804","5581"
"Shinella_sp._H4-D48","2100","1958","1340","177","1557","1965","361","2493"
"Shinella_zoogloeoides","8510","7496","5810","639","6024","7333","1637","10170"
"Shinella_oryzae","2976","2672","2293","238","2770","4730","516","3295"
"Ciceribacter_thiooxidans","2489","2632","2336","232","2642","2891","582","3650"
"Georhizobium_profundi","2398","2786","2298","222","2289","2652","784","4593"
"Peteryoungia_desertarenae","892","901","902","83","817","1010","205","1325"
"Candidatus_Liberibacter_americanus","20","18","11","0","17","16","0","0"
"Candidatus_Liberibacter_asiaticus","20","20","17","0","13","39","0","21"
"Liberibacter_crescens","15","26","68","0","125","107","0","103"
"Candidatus_Liberibacter_africanus","25","26","32","0","26","0","0","29"
"Mesorhizobium_sp._8","25285","9217","6230","875","5727","9798","2131","13527"
"Mesorhizobium_sp._DCY119","13438","7709","4497","478","3483","5796","1587","11008"
"Mesorhizobium_sp._B2-1-1","9229","4624","3166","371","3481","4257","941","6599"
"Mesorhizobium_sp._B2-8-5","9202","4574","3145","417","8788","6720","1116","7166"
"Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1","9134","4343","3111","365","4238","4133","1735","8284"
"Mesorhizobium_sp._J8","8859","4881","3765","508","12616","9375","1068","7292"
"Mesorhizobium_sp._Pch-S","7611","4986","3473","377","4632","4629","997","6836"
"Mesorhizobium_sp._M3A.F.Ca.ET.080.04.2.1","7292","5055","3481","428","4250","4453","1086","7836"
"Mesorhizobium_sp._B1-1-8","6853","4377","3257","364","4400","4336","1022","6914"
"Mesorhizobium_sp._M1B.F.Ca.ET.045.04.1.1","7157","4959","3783","359","6047","5100","1048","7743"
"Mesorhizobium_sp._131-2-1","7655","5497","3497","375","3953","4800","1149","9312"
"Mesorhizobium_sp._M1D.F.Ca.ET.043.01.1.1","8083","5399","4208","460","5619","5518","1207","8811"
"Mesorhizobium_sp._M1E.F.Ca.ET.045.02.1.1","7222","5234","3737","452","5794","5343","1116","8025"
"Mesorhizobium_sp._INR15","5528","3805","2435","258","2845","3277","776","5505"
"Mesorhizobium_sp._M4B.F.Ca.ET.058.02.1.1","6713","5381","3187","345","3493","4001","1175","10042"
"Mesorhizobium_sp._PAMC28654","5577","3755","2628","275","2922","3318","764","5479"
"Mesorhizobium_sp._M9A.F.Ca.ET.002.03.1.2","6339","4674","3420","322","3003","4049","994","7340"
"Mesorhizobium_sp._L-2-11","5726","4558","3463","342","2822","4221","1032","7383"
"Mesorhizobium_sp._M6A.T.Cr.TU.016.01.1.1","4825","3627","2635","291","2537","3213","721","5468"
