"","degrees","closeness","betweenness"
"28084",643,1.26499013307696e-05,5790.67942825571
"34087",888,1.26492612831411e-05,9383.17977162175
"2829597",941,1.17242915596825e-05,4558.73573365484
"1397703",981,1.21262095894065e-05,3298.07226716408
"1622",1224,1.23072378866011e-05,5040.81206975397
"166486",808,1.22780738157798e-05,3326.9725467173
"106648",1074,1.19050453582228e-05,4188.30430121583
"29466",972,1.18069330310758e-05,7999.93074379564
"773",1116,1.21413741607275e-05,6134.79330247758
"2686362",1061,1.19266273883071e-05,8856.04270774792
"322019",903,1.20859066242854e-05,2166.4020910684
"28090",1275,1.23004255947256e-05,8194.69404993559
"216944",1239,1.23257447831285e-05,6831.3132069054
"3047827",950,1.22898436731885e-05,2546.52782822618
"3048354",1059,1.22361578464362e-05,2113.37025292836
"35795",1240,1.24430729412936e-05,8181.22639168248
"577489",971,1.22138896352933e-05,3031.90800612225
"164514",1177,1.2455161418892e-05,8159.33367838785
"2107",1275,1.23693487537881e-05,7304.62303929225
"2708346",1342,1.25450052061772e-05,9334.27072857644
"2777577",1360,1.25283453814255e-05,9524.57173229318
"29518",1186,1.23189119936927e-05,3813.84920745502
"497724",1304,1.2391727282866e-05,6599.54710631098
"51229",1274,1.2360633853304e-05,8379.374409065
"622488",1343,1.23951064119885e-05,8682.31703474458
"2589986",1160,1.2241999853096e-05,6386.71985085579
"860",1160,1.22931674575271e-05,5993.29387632497
"2094",1189,1.23785356192362e-05,5118.45341397224
"2767879",1023,1.24040238653419e-05,7354.95841126155
"3047716",1278,1.23717972509867e-05,6835.95041624732
"74706",1348,1.23779227370063e-05,9545.7448265204
"106649",1332,1.24781632143748e-05,8737.06874198376
"1872114",1215,1.24823686542758e-05,9590.64534777097
"2267275",1208,1.23620090737147e-05,5851.23173382613
"2675787",1142,1.25012501250125e-05,3751.95065714296
"2929512",1088,1.23757781270497e-05,2335.47295171718
"3047352",655,1.23911130936892e-05,1181.45460421617
"548913",1102,1.26114537222706e-05,6366.79002695286
"88916",1189,1.22737035900583e-05,6367.10736662556
"1346",1063,1.217848791894e-05,3858.90933791772
"2939494",1079,1.24525247493929e-05,7163.15462290808
"1074467",1194,1.23322809786898e-05,6259.40628799797
"1749074",1324,1.24954703919829e-05,7216.7946974301
"2180",1302,1.23757781270497e-05,9351.77586443787
"3004105",1107,1.24873565514916e-05,9222.60264807379
"754515",1256,1.23230107579884e-05,8916.95497390992
"1084719",644,1.24984376952881e-05,7304.25642189119
"114883",1164,1.23348669684597e-05,5124.48116482188
"1660073",1283,1.2362620381016e-05,9006.30370457166
"251538",1210,1.22758129657137e-05,6033.98678100049
"2745562",1235,1.24256017097628e-05,8889.40589129532
"591154",904,1.23290880173594e-05,1936.19300083586
"1377",1083,1.24474096940427e-05,7010.90018340165
"1648",1150,1.24727159338946e-05,9417.16638897902
"1920749",1149,1.22476974328826e-05,5027.82769411737
"216963",1334,1.23863551911215e-05,8312.91791632987
"67760",1173,1.24728715044778e-05,5228.75939058828
"92401",1013,1.23269602948609e-05,4128.76762155032
"187101",1223,1.23382151537959e-05,6782.34606219953
"28080",1133,1.24598170898851e-05,8170.068775034
"1081631",1313,1.24483393915252e-05,7721.29473279748
"1591088",1295,1.22761143642814e-05,7992.70465631696
"1817405",887,1.19764781968214e-05,4597.67796538206
"1848766",1121,1.22339124051872e-05,4361.973522777
"2128",1076,1.25236383674185e-05,5676.17254977539
"2283",1288,1.24488042923477e-05,7129.997000416
"664662",1062,1.24759837313172e-05,4288.3273915736
"2518322",1217,1.23455265984371e-05,5754.6641103241
"254785",1211,1.23693487537881e-05,8554.30526174729
"1478019",625,1.20859066242854e-05,5395.56039384364
"646637",718,1.17231919907152e-05,6695.1435104704
"2979862",826,1.19895451166583e-05,5536.5365348493
"186803",628,1.20026405809278e-05,5135.64557952832
"1388755",1122,1.22370562537476e-05,6409.98260161253
"1852970",768,1.17267663441806e-05,1332.71047171674
"542",939,1.21810098057129e-05,4924.01725289015
"2583805",796,1.18677458403551e-05,3699.35762448133
"2651284",1176,1.22690354084362e-05,7507.29283503289
"55601",911,1.19180988248755e-05,1810.65091730979
"487316",870,1.1944434490749e-05,2006.83648978783
"2822842",650,1.24086413778555e-05,2226.49567946308
"28065",773,1.23204297365892e-05,9232.16685640553
"2781023",680,1.21960143425129e-05,2581.10390579859
"2830983",763,1.19425800749994e-05,4779.10160586828
"1188319",673,1.22421497214911e-05,6656.84088568627
"106633",688,1.22649724651368e-05,7519.15515550949
"2781024",614,1.23580370493951e-05,4421.18563596951
"1325724",746,1.19240675379185e-05,7631.58850790073
"349221",769,1.22146355763476e-05,5773.23610986879
"379347",879,1.21657461252099e-05,6968.84879781036
"171632",628,1.2023710757614e-05,7797.49550105908
"2883238",826,1.22301718339143e-05,6713.53314631489
"324078",736,1.21969068644192e-05,6580.44973320301
"48003",713,1.21326830215234e-05,8416.69319582573
"656519",1035,1.17379158156678e-05,8017.66807392374
"1395624",979,1.16963168298303e-05,3795.7768654842
"2738844",1041,1.17098761095108e-05,8485.9601140847
"2785331",1375,1.26395085759066e-05,7987.71429217816
"2948573",1083,1.19438638399522e-05,4252.44847991139
"554406",1007,1.17377780386173e-05,4770.64807547587
"291048",1028,1.17310309229975e-05,6496.29008746834
"1529",1117,1.18674641602582e-05,8890.83061139179
"162",1121,1.18652112007594e-05,9083.84512667504
"1702097",1047,1.17079567273919e-05,7988.2541361153
"2781390",1048,1.17600018816003e-05,9129.25836224947
"1177216",1135,1.19084478529069e-05,7736.52362693319
"831",1135,1.25374556487506e-05,9188.28129521291
"2173",1101,1.1928619143048e-05,5016.18483646549
"2507159",1146,1.19280500023856e-05,9373.51789267476
"282676",992,1.16942651323791e-05,6454.72621405649
"362837",1132,1.19101498296849e-05,8175.63318015529
"1576550",1123,1.21198899513992e-05,4811.17167021184
"1348613",1141,1.18962645729241e-05,9370.96736911903
"2961520",1032,1.1692077448321e-05,9356.34014465771
"312539",1192,1.20567632413402e-05,7826.88975115332
"780",1154,1.21049254941836e-05,7671.74258531258
"2123",982,1.16870215625548e-05,4407.10194252415
"216931",1261,1.22115032360484e-05,7624.269522376
"2683967",1078,1.18127908899757e-05,6643.06710914036
"1660079",1088,1.18381021154688e-05,8905.46920031023
"40542",986,1.16908472356992e-05,4240.39574727733
"472834",1212,1.21263566361487e-05,9446.04294131643
"953",1121,1.18663375735713e-05,6372.20227444236
"165779",1182,1.20386198926155e-05,7942.49445030335
"2811091",1178,1.20875135984528e-05,9372.07708524911
"2042961",1148,1.19171046202615e-05,8742.97886770669
"2563896",1083,1.18661967652748e-05,7118.65426980241
"2317",1108,1.18931519231227e-05,7530.05455543243
"300825",1156,1.23719503142475e-05,7248.35487712924
"134287",1119,1.20932144973455e-05,4150.54447450767
"2024608",1166,1.20611257854808e-05,7978.43205969356
"33970",1104,1.18206104163219e-05,9492.1782986787
"39441",1080,1.17969044922612e-05,7394.22797331537
"594679",1273,1.22699386503067e-05,8456.5171846992
"69656",1055,1.17759276487005e-05,7167.02538567566
"2740405",1178,1.20708802085848e-05,9306.12217172582
"1366",1048,1.19655869718689e-05,6624.8137346284
"2134",1221,1.21025814806298e-05,9401.75314301818
"28110",1173,1.2083423959013e-05,7373.6595197098
"285729",1137,1.18801530163709e-05,9284.12710933446
"3047542",1244,1.24252929262807e-05,9501.87284134425
"61015",1078,1.18428688165421e-05,4853.92776116437
"82688",1138,1.20286281349612e-05,2895.5044286475
"1177574",1250,1.21900675329741e-05,6489.19039842769
"1646498",756,1.19115685153421e-05,2397.06441454783
"2714949",1004,1.20182196209454e-05,1882.37331324889
"2934315",1132,1.19326046489428e-05,8768.91133429352
"1354",917,1.1685655857435e-05,6983.05025164691
"1816218",743,1.18807175953428e-05,7106.35463992972
"2068654",1133,1.18921618761075e-05,9370.40499455372
"2083214",1150,1.21112295320221e-05,7825.50050060984
"2145",1148,1.19209403237727e-05,7494.65491759967
"39669",1219,1.21553945641076e-05,5713.9640756924
"2912228",1123,1.19205140125642e-05,5136.68402491472
"1628248",1157,1.20635992954858e-05,6519.78316103059
"2120",1190,1.21403423576545e-05,5239.75757518854
"2580412",718,1.26462219411951e-05,6922.84114817619
"468911",1297,1.22627164369451e-05,9102.51909533567
"1448857",1259,1.2261513561234e-05,9216.06974708489
"89586",1201,1.22040517451794e-05,6318.05488424766
"1654388",1013,1.18474989929626e-05,2731.05773061421
"216937",1161,1.20609803164801e-05,7466.14616312387
"216946",1119,1.20318121112221e-05,7327.17572983812
"29521",1180,1.20441296911885e-05,6215.29637129343
"1636617",817,1.23134512141063e-05,4742.51935810718
"69655",815,1.21954194004732e-05,7328.09085548784
"1785128",833,1.24174241295386e-05,8171.65515567233
"1390185",766,1.22012225625008e-05,9425.46841133018
"3070661",763,1.22827488791992e-05,7177.47742057123
"84023",865,1.24115675809855e-05,8726.64005869581
"2025351",939,1.23698077731872e-05,7975.02646459813
"2675794",843,1.22520491552212e-05,6247.76075503507
"1138822",634,1.21421112703077e-05,8593.2857783426
"2732594",829,1.23501006533203e-05,6596.00526314282
"1406512",866,1.22868236103602e-05,7482.05636033368
"3047739",728,1.22226975493491e-05,6991.09614149708
"57863",789,1.21727063578045e-05,6161.73464814734
"79601",714,1.21638223595383e-05,3035.92694932956
