"Genus" "Species"
"4912" "Hahella" "sp._HNIBRBA332"
"506" "Brenneria" "rubrifaciens"
"5111" "Spongiibacter" "taiwanensis"
"527" "Candidatus_Nitrosotenuis" "aquarius"
"535" "Alcaligenes" "sp._SORT26"
"545" "Nitrosopumilus" "Candidatus_Nitrosopumilus_koreensis"
"555" "Aquitalea" "denitrificans"
"565" "Nitrosopumilus" "Candidatus_Nitrosopumilus_sp._SW"
"575" "Nitrosopumilus" "maritimus"
"585" "Methylophaga" "pinxianii"
"595" "_" "s"
"605" "Terriglobus" "s"
"6111" "Candidatus_Nitrosocosmicus" "s"
"625" "Halalkalibacter" "krulwichiae"
"635" "Polynucleobacter" "necessarius"
"645" "Bartonella" "choladocola"
"655" "Fluviibacter" "phosphoraccumulans"
"665" "Ruegeria" "sp._THAF33"
"675" "Acinetobacter" "sp._WCHAc010034"
"685" "Aquicella" "siphonis"
"695" "Lentibacter" "algarum"
"704" "Candidatus_Nitrosopelagicus" "brevis"
"7110" "Hydrogenimonas" "sp._ISO32"
"724" "Pandoravirus" "salinus"
"734" "Ephemeroptericola" "cinctiostellae"
"744" "Halomonas" "sulfidoxydans"
"753" "Candidatus_Formimonas" "warabiya"
"763" "_" "s"
"773" "Thermoproteus" "uzoniensis"
"783" "Pseudovibrio" "s"
"793" "Nitrincola" "iocasae"
"803" "Tardiphaga" "sp._vice278"
"8110" "Ureibacillus" "thermophilus"
"823" "Photorhabdus" "akhurstii"
"833" "Pseudoclostridium" "thermosuccinogenes"
"1107" "Pseudomonas" "siliginis"
"2106" "Arenibacter" "algicola"
"3106" "Bacillus" "paranthracis"
"4101" "Kluyvera" "s"
"520" "Marinobacter" "shengliensis"
"619" "Serratia" "liquefaciens"
"718" "Pectobacterium" "odoriferum"
"817" "Methylobacterium" "sp._XJLW"
"917" "Klebsiella" "huaxiensis"
"1017" "Candidatus_Phytoplasma" "rubi"
"1117" "Serratia" "ureilytica"
"1216" "Salinimonas" "iocasae"
"1316" "Agrobacterium" "sp._MA01"
"1416" "Heyndrickxia" "oleronia"
"1516" "Haloplanus" "sp._GDY1"
"1616" "Tsuneonella" "s"
"1716" "Flavobacterium" "sp._20NA77.7"
"1816" "Natronoglycomyces" "albus"
"1915" "Methylobacterium" "sp."
"2015" "Gordonibacter" "pamelaeae"
"2115" "Pedobacter" "sp._BS3"
"2215" "Limnohabitans" "sp._MORI2"
"2315" "Pseudomonas" "piscis"
