"","OTU","Genus","Species"
"52",2162713,"Flavobacterium","magnum"
"53",1188319,"Ferriphaselus","amnicola"
"54",3015158,"Micromonospora","sp._WMMC264"
"55",166501,"Thermobaculum","terrenum"
"56",96241,"Bacillus","spizizenii"
"57",2148,"Acholeplasma","laidlawii"
"58",114527,"Mogibacterium","diversum"
"59",379347,"Tritonibacter","mobilis"
"60",137816,"Nodularia","sphaerocarpa"
"61",2781961,"Echinicola","sp._20G"
"62",2185111,"Sphingobium","sp._LF-16"
"63",2651284,"Pradoshia","sp._D12"
"64",463024,"Bordetella","genomosp._6"
"65",1705566,"Bacillus","sp._FJAT-18017"
"66",3003392,"Acinetobacter","sp._TR3"
"67",1478019,"Cupriavidus","sp._KK10"
"68",1407,"Peribacillus","psychrosaccharolyticus"
"69",3058393,"Planococcus","sp._N022"
"70",252514,"Microbulbifer","thermotolerans"
"71",349221,"Micavibrio","aeruginosavorus"
"72",337479,"Rickettsia","endosymbiont_of_Bemisia_tabaci"
"73",3029061,"Microbulbifer","sp._H12"
"74",3043332,"Mesobacillus","sp._AQ2"
"75",3025665,"Paenibacillus","sp._KACC_21273"
"76",2092,"_","s"
"77",34087,"Sphingobacterium","faecium"
"78",1514105,"Erysipelothrix","larvae"
"79",2267275,"Bartonella","krasnovii"
"80",2500533,"Pseudorhodobacter","turbinis"
"81",45401,"_","s"
"82",2352,"Flexistipes","sinusarabici"
"83",1583,"Weissella","confusa"
"84",41673,"Acidianus","brierleyi"
"85",3070660,"Mangrovimonas","sp._YM274"
"86",3024576,"Paenibacillus","sp._PK4536"
"87",2829597,"Kordiimonas","sp._SCSIO_12610"
"88",71190,"Pseudanabaena","mucicola"
"89",2884220,"Streptomyces","sp._WA1-19"
"90",86665,"Halalkalibacterium_(ex_Joshi_et_al._2022)","Halalkalibacterium_halodurans"
"91",2563896,"Candidatus_Pelagibacter","giovannonii"
"92",1311,"Streptococcus","agalactiae"
"93",1390,"Bacillus","amyloliquefaciens"
"94",1221500,"Fictibacillus","phosphorivorans"
"95",1118,"_","s"
"96",542,"Zymomonas","mobilis"
"97",2929512,"Acinetobacter","sp._YH16040_T"
"98",40091,"Helcococcus","kunzii"
"99",186803,"_","s"
"100",45362,"Mesomycoplasma","bovoculi"
"101",40542,"Leptotrichia","buccalis"
"102",97084,"Halobacteriovorax","marinus"
"103",831,"Butyrivibrio","fibrisolvens"
"104",77022,"Cylindrospermopsis","raciborskii"
"105",312539,"Acidianus","sulfidivorans"
"106",3072790,"Rheinheimera","sp._MMS21-TC3"
"107",712357,"Leptotrichia","sp._oral_taxon_212"
"108",166486,"Roseburia","intestinalis"
"109",710191,"Methanobacterium","ferruginis"
"110",2875962,"Candidatus_Sulfidibacterium","hydrothermale"
"111",1756149,"Elizabethkingia","bruuniana"
"112",1354726,"Polaribacter","huanghezhanensis"
"113",2686362,"Cellulophaga","sp._L1A9"
"114",61015,"Staphylococcus","succinus"
"115",1366,"Lactococcus","raffinolactis"
"116",282676,"Acidianus","manzaensis"
"117",2583851,"Elizabethkingia","sp._JS20170427COW"
"118",2507159,"Clostridium","sp._JN-9"
"119",3018314,"Tenacibaculum","pacificus"
"120",2743000,"Salicibibacter","cibarius"
"121",2562892,"Myroides","albus"
"122",2846436,"Kungbxnavirus","pT24"
"123",326320,"Dokdonia","donghaensis"
"124",948,"Anaplasma","phagocytophilum"
"125",2735436,"Mariniplasma","anaerobium"
"126",1354,"Enterococcus","hirae"
"127",2672570,"Sulfurimonas","aquatica"
"128",322019,"Chlorovirus","Acanthocystis_turfacea_chlorella_virus_1"
"129",39488,"Anaerobutyricum","hallii"
"130",1255,"Pediococcus","pentosaceus"
"131",314275,"Alteromonas","mediterranea"
"132",2023057,"_","Orpheovirus_IHUMI-LCC2"
"133",362837,"Spiroplasma","cantharicola"
"134",780,"Rickettsia","s"
"135",134287,"_","secondary_endosymbiont_of_Heteropsylla_cubana"
"136",2126985,"Tupanvirus","soda_lake"
"137",54005,"Peptoniphilus","harei"
"138",216933,"Spiroplasma","chrysopicola"
"139",1395624,"Francisella","sp._LA112445"
"140",2187,"Methanococcus","vannielii"
"141",33970,"Melissococcus","plutonius"
"142",1529,"Clostridium","cadaveris"
"143",71237,"Mammaliicoccus","vitulinus"
"144",773,"Bartonella","s"
"145",472834,"Candidatus_Purcelliella","pentastirinorum"
"146",58049,"Colwellia","sp._MT41"
"147",671211,"Fusobacterium","sp._oral_taxon_203"
"148",216946,"Spiroplasma","turonicum"
"149",3047542,"Myroides","sp._mNGS23_01"
"150",2924034,"Alkalihalobacillus","sp._LMS6"
"151",2139,"Spiroplasma","clarkii"
"152",1660079,"Campylobacter","sp._RM12651"
"153",2961520,"Arcobacter","roscoffensis"
"154",214473,"Staphylococcus","nepalensis"
"155",2490855,"Lachnoanaerobaculum","gingivalis"
"156",80850,"Wolbachia","endosymbiont_of_Litomosoides_sigmodontis"
"157",97138,"Clostridium","sp._MD294"
"158",2143,"Spiroplasma","gladiatoris"
"159",1348613,"Vallitalea","pronyensis"
"160",301953,"Caldicellulosiruptor","acetigenus"
"161",37372,"Helicobacter","bilis"
"162",294671,"Methanobrevibacter","olleyae"
"163",2042961,"Campylobacter","blaseri"
"164",28038,"Latilactobacillus","curvatus"
"165",39441,"Methanobrevibacter","arboriphilus"
"166",285729,"Fusobacterium","canifelinum"
"167",184064,"Thermodesulfobium","narugense"
"168",1796652,"Turicimonas","muris"
"169",2321111,"Aliarcobacter","s"
"170",2715679,"Dissulfurispira","thermophila"
"171",324079,"Spiroplasma","tabanidicola"
"172",480520,"Myroides","profundi"
"173",3047827,"Cavemovirus","deltaepiphylli"
"174",2738844,"Polaribacter","pectinis"
"175",2811091,"_","Cotonvirus_japonicus"
"176",216937,"Spiroplasma","floricola"
"177",2801918,"Mycoplasma","sp._E35C"
"178",1355374,"Aliarcobacter","lanthieri"
"179",544718,"Aliarcobacter","thereius"
"180",1579,"Lactobacillus","acidophilus"
"181",2138,"Spiroplasma","poulsonii"
"182",216935,"Spiroplasma","culicicola"
"183",1499987,"_","Prymnesium_kappa_virus"
"184",1348,"Streptococcus","parauberis"
"185",2948573,"Peptoniphilus","sp._SAHP1"
"186",2939494,"Rummeliibacillus","sp._G93"
"187",1848766,"Campylobacter","ornithocola"
"188",155863,"Methanothermococcus","okinawensis"
"189",1816218,"Colwellia","sp._PAMC_20917"
"190",1628248,"Empedobacter","stercoris"
"191",2145,"Spiroplasma","taiwanense"
"192",1295609,"Thermodesulfobacterium","geofontis"
"193",468911,"Liquorilactobacillus","hordei"
"194",216934,"Spiroplasma","corruscae"
"195",2586965,"Nanobdella","aerobiophila"
"196",29521,"Brachyspira","s"
"197",2766701,"Treponema","sp._Marseille-Q4132"
"198",1292,"Staphylococcus","warneri"
"199",1177216,"Candidatus_Profftia","tarda"
"200",28110,"Francisella","philomiragia"
"201",28084,"Legionella","cherrii"
"202",2068654,"Clostridium","fermenticellae"
"203",291048,"Caminibacter","mediatlanticus"
"204",412034,"Celerinatantimonas","diazotrophica"
"205",3070661,"Aminobacterium","sp._MB27-C1"
"206",953,"Wolbachia","s"
"207",1388755,"Candidatus_Pelagibacter","sp._HIMB1321"
"208",248039,"Mucispirillum","schaedleri"
"209",165779,"Anaerococcus","s"
"210",2584467,"Methanobacterium","sp._CWC-01"
"211",167642,"Ilyobacter","polytropus"
"212",2742195,"Mycoplasma","sp._OR1901"
"213",29555,"Mycoplasmopsis","canis"
"214",2934315,"Anaeropeptidivorans","aminofermentans"
"215",216931,"Spiroplasma","alleghenense"
"216",1177574,"Prevotella","jejuni"
"217",247523,"Pseudoalteromonas","aliena"
"218",1987921,"Candidatus_Profftia","lariciata"
"219",656519,"Halanaerobium","hydrogeniformans"
"220",2546128,"Methanocaldococcus","lauensis"
"221",300825,"Shouchella","lehensis"
"222",1702097,"Saccharolobus","caldissimus"
"223",246432,"Staphylococcus","equorum"
"224",1529069,"Polaribacter","sp._BM10"
"225",2682810,"Iocasia","fonsfrigidae"
"226",2173,"Methanobrevibacter","smithii"
"227",31899,"Caldicellulosiruptor","bescii"
"228",89586,"Candidatus_Neoehrlichia","Neoehrlichia_mikurensis"
"229",1235990,"Pantoea","Candidatus_Pantoea_carbekii"
"230",260714,"Campylobacter","insulaenigrae"
"231",31979,"_","s"
"232",28107,"Pseudoalteromonas","espejiana"
"233",518738,"Shewanella","vesiculosa"
"234",171286,"Mesomycoplasma","lagogenitalium"
"235",75658,"Campylobacter","lanienae"
"236",52764,"Bartonella","alsatica"
"237",2580412,"Thiomicrorhabdus","sediminis"
"238",2118,"Mesomycoplasma","[Mycoplasma]_mobile"
"239",640030,"Neisseria","zalophi"
"240",659,"Photobacterium","phosphoreum"
"241",114186,"Candidatus_Carsonella","ruddii"
"242",2740405,"Sulfurimonas","Candidatus_Sulfurimonas_marisnigri"
"243",216938,"Spiroplasma","helicoides"
"244",2683967,"Mycoplasma","sp._NEAQ87857"
"245",2107,"Mycoplasmopsis","pulmonis"
"246",2322,"Methanohalobium","evestigatum"
"247",35795,"Ehrlichia","muris"
"248",29520,"Borrelia","crocidurae"
"249",216942,"Spiroplasma","litorale"
"250",2908646,"Vibrio","sp._SS-MA-C1-2"
"251",81459,"Mesoplasma","melaleucae"
"252",213,"Helicobacter","cinaedi"
"253",1927128,"Enterovibrio","Candidatus_Enterovibrio_luxaltus"
"254",29553,"Mycoplasmopsis","bovirhinis"
"255",108080,"Candidatus_Blochmannia","herculeanus"
"256",2186,"Methanothermococcus","thermolithotrophicus"
"257",2822842,"Pseudoalteromonas","sp._SCSIO_43201"
"258",70863,"Shewanella","oneidensis"
"259",73913,"Methanocaldococcus","vulcanius"
"260",171279,"Mycoplasmopsis","anatis"
"261",2704654,"Gilliamella","sp._ESL0441"
"262",2945587,"Candidatus_Blochmannia","Blochmannia_endosymbiont_of_Camponotus_modoc"
"263",33945,"Enterococcus","avium"
"264",708186,"Aliarcobacter","trophiarum"
"265",2024608,"Klosneuvirus","Bodo_saltans_virus"
"266",251540,"Candidatus_Blochmannia","vicinus"
"267",242600,"Ichthyobacterium","seriolicida"
"268",2123,"Mycoplasma","putrefaciens"
"269",216945,"Spiroplasma","syrphidicola"
"270",2923364,"Apilactobacillus","apisilvae"
"271",1902580,"Macrococcus","epidermidis"
"272",167,"Treponema","succinifaciens"
"273",2130,"Ureaplasma","urealyticum"
"274",28080,"Campylobacter","upsaliensis"
"275",2810348,"Mycoplasma","sp._SG1"
"276",1070130,"Candidatus_Gullanella","endobia"
"277",3041619,"Arsenophonus","sp._aPb"
"278",2180,"Methanothermus","fervidus"
"279",2579250,"Nautilia","sp._PV-1"
"280",2583805,"Colwellia","sp._M166"
"281",214888,"Williamsoniiplasma","luminosum"
"282",691,"Vibrio","natriegens"
"283",171632,"Mycoplasma","ovis"
"284",224719,"Methanobrevibacter","sp._AbM4"
"285",136468,"Vibrio","lentus"
"286",2781390,"Lelliottia","steviae"
"287",2706014,"Nitrosophilus","labii"
"288",2317,"Methanosphaera","stadtmanae"
"289",1032242,"Campylobacter","sp._RM10537"
"290",2120,"Mesomycoplasma","neurolyticum"
"291",2115,"Mycoplasmopsis","fermentans"
"292",554406,"Leptotrichia","hongkongensis"
"293",2870563,"Methanobrevibacter","sp._TLL-48-HuF1"
"294",74706,"Staphylococcus","coagulans"
"295",1817405,"Abyssicoccus","albus"
"296",59,"Vitreoscilla","s"
"297",2847778,"Atribacter","laminatus"
"298",754515,"Mycoplasma","miroungigenitalium"
"299",1448857,"Campylobacter","corcagiensis"
"300",1576550,"Candidatus_Kinetoplastibacterium","sorsogonicusi"
"301",28229,"Colwellia","psychrerythraea"
"302",1622,"Ligilactobacillus","murinus"
"303",488546,"Campylobacter","peloridis"
"304",86660,"Mesomycoplasma","dispar"
"305",753,"Pasteurella","canis"
"306",1334,"Streptococcus","dysgalactiae"
"307",3047716,"Rheavirus","sinusmexicani"
"308",76517,"Campylobacter","hominis"
"309",251538,"Candidatus_Blochmannia","ocreatus"
"310",2912228,"Staphylococcus","shinii"
"311",29554,"Metamycoplasma","canadense"
"312",2570468,"Spiroplasma","sp._SV19"
"313",51365,"Mycoplasma","yeatsii"
"314",594679,"Allofrancisella","guangzhouensis"
"315",2781774,"Staphylococcus","lloydii"
"316",1643685,"_","s"
"317",53558,"Mycoplasmopsis","edwardii"
"318",57863,"Borreliella","turdi"
"319",1547445,"Francisella","sp._FSC1006"
"320",2719987,"Entomospira","nematocera"
"321",2686210,"Streptococcus","ruminicola"
"322",2916816,"Wolbachia","endosymbiont_of_Howardula_sp."
"323",1891280,"Sulfolobus","sp._A20"
"324",2608247,"Borrelia","sp._A-FGy1"
"325",187101,"Sneathia","vaginalis"
"326",216936,"Spiroplasma","diminutum"
"327",29556,"Mycoplasmopsis","gallinacea"
"328",375929,"Natranaerobius","thermophilus"
"329",295596,"Candidatus_Hepatoplasma","crinochetorum"
"330",69656,"Sulfurisphaera","ohwakuensis"
"331",142650,"Mycoplasmopsis","phocirhinis"
"332",2518322,"Borrelia","Candidatus_Borrelia_fainii"
"333",664662,"Borreliella","bavariensis"
"334",1390185,"Pseudoalteromonas","sp._DL-6"
"335",1346,"Streptococcus","iniae"
"336",3004105,"Mycoplasma","Candidatus_Mycoplasma_mahonii"
"337",92402,"Metamycoplasma","equirhinis"
"338",1870984,"Anaerococcus","mediterraneensis"
"339",868131,"Methanobacterium","paludis"
"340",644281,"Methanocaldococcus","sp._FS406-22"
"341",216963,"Spiroplasma","sp._TIUS-1"
"342",844,"Wolinella","succinogenes"
"343",1602,"Companilactobacillus","alimentarius"
"344",392416,"Companilactobacillus","crustorum"
"345",622488,"Francisella","hispaniensis"
"346",42879,"Methanococcus","aeolicus"
"347",1074467,"Companilactobacillus","heilongjiangensis"
"348",2785331,"Entomomonas","asaccharolytica"
"349",1967665,"Cognaticolwellia","beringensis"
"350",860,"Fusobacterium","periodonticum"
"351",1612,"Companilactobacillus","farciminis"
"352",538220,"Mycoplasma","struthionis"
"353",2285,"Sulfolobus","acidocaldarius"
"354",216944,"Spiroplasma","sabaudiense"
"355",1160784,"Candidatus_Nasuia","deltocephalinicola"
"356",1749074,"Mycoplasma","sp._(ex_Biomphalaria_glabrata)"
"357",1081631,"Candidatus_Schneideria","nysicola"
"358",162,"Treponema","phagedenis"
"359",1654388,"Staphylococcus","schweitzeri"
"360",39669,"Methanosalsum","zhilinae"
"361",1301915,"Methanocaldococcus","bathoardescens"
"362",1872114,"Acidiplasma","sp."
"363",2892440,"Staphylococcus","ratti"
"364",2763670,"Wujia","chipingensis"
"365",1882662,"Borrelia","sp._HM"
"366",1647,"Erysipelothrix","s"
"367",497724,"Campylobacter","subantarcticus"
"368",2124,"Metamycoplasma","salivarium"
"369",2908650,"Shewanella","sp._OMA3-2"
"370",712361,"Leptotrichia","sp._oral_taxon_218"
"371",82688,"Liquorilactobacillus","nagelii"
"372",673372,"Vibrio","casei"
"373",849,"Fusobacterium","gonidiaformans"
"374",1273132,"Liberibacter","crescens"
"375",219745,"Mesoplasma","tabanidae"
"376",2172,"Methanobrevibacter","s"
"377",2737,"Vagococcus","s"
"378",150120,"Shewanella","livingstonensis"
"379",2190,"Methanocaldococcus","jannaschii"
"380",143,"Borrelia","anserina"
"381",640330,"Mycoplasma","sp._Pen4"
"382",198252,"Candidatus_Pelagibacter","ubique"
"383",164514,"Blattabacterium","punctulatus"
"384",1964448,"Borreliella","Candidatus_Borreliella_tachyglossi"
"385",1084719,"Donellivirus","gee"
"386",114883,"Mycoplasmopsis","equigenitalium"
"387",1177213,"Candidatus_Vallotia","tarda"
"388",526944,"Tetragenococcus","osmophilus"
"389",216427,"Mesoplasma","chauliocola"
"390",152331,"Lentilactobacillus","parabuchneri"
"391",51229,"Wigglesworthia","glossinidia"
"392",111955,"Sulfurisphaera","tokodaii"
"393",2096,"Mycoplasmoides","gallisepticum"
"394",221027,"Treponema","putidum"
"395",67760,"Methanocaldococcus","infernus"
"396",2134,"Spiroplasma","melliferum"
"397",2745562,"Polaribacter","sp._AHE13PA"
"398",633807,"Vagococcus","penaei"
"399",2283,"Acidianus","ambivalens"
"400",74968,"Ferroplasma","s"
"401",2886040,"Acidianus","sp._HS-5"
"402",2675791,"_","Enterobacteriaceae_endosymbiont_of_Macroplea_mutica"
"403",1377,"Aerococcus","viridans"
"404",2681986,"Candidatus_Blochmannia","Blochmannia_endosymbiont_of_Camponotus_nipponensis"
"405",84023,"Clostridium","autoethanogenum"
"406",114881,"Mycoplasmopsis","columbina"
"407",1660073,"Campylobacter","sp._RM6137"
"408",50339,"Thermoplasma","volcanium"
"409",55802,"Thermococcus","barophilus"
"410",155866,"Weissella","soli"
"411",508451,"Lactobacillus","taiwanensis"
"412",1648,"Erysipelothrix","rhusiopathiae"
"413",315393,"Mimivirus","s"
"414",39486,"Dorea","formicigenerans"
"415",1085647,"Allofrancisella","inopinata"
"416",51364,"Mycoplasma","cottewii"
"417",2714949,"Weissella","coleopterorum"
"418",83554,"Chlamydia","psittaci"
"419",2652803,"Candidatus_Azoamicus","ciliaticola"
"420",42094,"Ureaplasma","diversum"
"421",2589986,"Francisella","sp._Scap27"
"422",47834,"Spiroplasma","kunkelii"
"423",83171,"Methanocaldococcus","fervens"
"424",223919,"Clostridium","diolis"
"425",324078,"Mesoplasma","coleopterae"
"426",2675782,"_","Enterobacteriaceae_endosymbiont_of_Donacia_proxima"
"427",88916,"Borreliella","spielmanii"
"428",2286,"Saccharolobus","shibatae"
"429",330922,"Psychrobacter","cryohalolentis"
"430",2044912,"Staphylococcus","debuckii"
"431",2105,"Mycoplasma","leachii"
"432",2732594,"Wolbachia","endosymbiont_of_Ctenocephalides_felis_wCfeJ"
"433",65553,"Sulfurospirillum","deleyianum"
"434",657445,"Francisella","noatunensis"
"435",336988,"Oenococcus","kitaharae"
"436",2115978,"Candidatus_Phycorickettsia","trachydisci"
"437",64160,"Desulfurobacterium","thermolithotrophum"
"438",591154,"Methylacidiphilum","Candidatus_Methylacidiphilum_fumarolicum"
"439",2955958,"Greenvirus","ssm4"
"440",48003,"Mycoplasmopsis","pullorum"
"441",1591088,"Helicobacter","himalayensis"
"442",84590,"Taylorella","asinigenitalis"
"443",1253,"Pediococcus","s"
"444",2111,"Metamycoplasma","arthritidis"
"445",2149,"Mesoplasma","entomophilum"
"446",2745563,"Polaribacter","sp._R2A056_3_33"
"447",2756107,"Borrelia","puertoricensis"
"448",1583100,"Myroides","sp._A21"
"449",254785,"Streptococcus","halichoeri"
"450",1699622,"Psychrobacter","sp._P2G3"
"451",2675794,"_","Enterobacteriaceae_endosymbiont_of_Plateumaris_consimilis"
"452",2675787,"_","Enterobacteriaceae_endosymbiont_of_Donacia_tomentosa"
"453",708126,"Jeotgalibaca","dankookensis"
"454",2777577,"Vibrio","bathopelagicus"
"455",2767879,"Companilactobacillus","s"
"456",391036,"Ehrlichia","japonica"
"457",2925830,"Nicoliella","spurrieriana"
"458",1699624,"Psychrobacter","sp._P11G5"
"459",1406512,"Methanomassiliicoccus","Candidatus_Methanomassiliicoccus_intestinalis"
"460",2325,"Thermoanaerobacter","kivui"
"461",2083214,"_","Diachasmimorpha_entomopoxvirus"
"462",2675776,"_","Enterobacteriaceae_endosymbiont_of_Donacia_crassipes"
"463",3048172,"Alphabaculovirus","lafiscellariae"
"464",787,"Rickettsia","australis"
"465",79601,"Metallosphaera","hakonensis"
"466",92401,"Metamycoplasma","cloacale"
"467",135727,"Candidatus_Phytoplasma","ziziphi"
"468",83559,"Chlamydia","suis"
"469",69655,"Sulfurisphaera","s"
"470",1920749,"Candidatus_Mancarchaeum","acidiphilum"
"471",33045,"Bartonella","grahamii"
"472",1138822,"Lentilactobacillus","curieae"
"473",29518,"Borreliella","afzelii"
"474",2128,"Mesomycoplasma","flocculare"
"475",2675773,"_","Enterobacteriaceae_endosymbiont_of_Donacia_cincticornis"
"476",2025351,"Methanobacterium","sp._BAmetb5"
"477",2883238,"Wolbachia","endosymbiont_of_Chironomus_riparius"
"478",3048354,"Solendovirus","venaipomeae"
"479",759620,"Weissella","ceti"
"480",548913,"Proboscivirus","Elephant_endotheliotropic_herpesvirus_3"
"481",1892252,"_","s"
"482",1923644,"_","Wenzhou_picorna-like_virus_7"
"483",3052279,"Laulavirus","laurelense"
"484",3047352,"Alphabaculovirus","agipsilonis"
"485",1917441,"Streptococcus","ruminantium"
"486",2560434,"Iapetusvirus","EaH1"
"487",1636617,"Firehammervirus","s"
"488",3048442,"Alphabaculovirus","urprotei"
"489",2661587,"Candidatus_Carsonella","ruddii_(Diaphorina_cf._continua)"
"490",1459800,"Badnavirus","Hibiscus_bacilliform_virus_GD1"
"491",3047739,"Soymovirus","crispocestri"
