"","SRR25582257","SRR25582262","SRR25582261","SRR25582258","SRR25582263","SRR25582255","SRR25582259","SRR25582254","SRR25582260","SRR25582256","SRR8921820","SRR8921819","SRR8921825","SRR8921818","SRR8921821"
"713887",30,46,42,49,33,27,27,29,23,5,0,1,3,1,0
"75906",13,29,49,42,32,14,23,1,14,4,0,1,0,2,0
"81468",15,46,39,49,20,16,28,17,38,4,2,0,2,0,3
"103808",36,48,40,29,31,26,22,25,11,6,0,1,1,0,0
"110164",11,48,45,47,20,21,30,15,15,7,0,2,0,0,0
"1255",12,48,28,35,25,15,23,10,30,0,1,1,2,0,1
"1320552",30,45,39,48,39,19,28,22,18,1,0,1,1,1,1
"1324350",23,34,36,48,33,12,17,13,11,3,0,1,2,2,1
"1511",6,44,48,47,25,7,33,11,38,5,1,0,0,3,1
"1541",12,42,38,42,48,28,29,17,46,3,1,1,2,3,3
"1574161",16,48,40,42,32,21,29,13,37,9,4,0,0,2,1
"1758395",3,22,48,31,26,18,16,13,7,4,1,1,1,0,0
"1925548",24,48,48,44,37,23,35,15,27,2,3,2,1,0,2
"1970189",1,4,3,4,5,3,2,1,48,0,0,0,0,0,0
"2570586",25,32,44,44,29,48,19,23,14,2,3,0,1,2,2
"2675232",40,30,48,31,25,12,27,8,12,3,1,0,3,1,0
"2734129",8,28,48,31,27,22,33,10,10,2,0,0,0,1,0
"2746230",23,46,39,48,36,16,26,12,20,5,1,0,1,0,4
"2749996",12,39,48,41,26,29,29,25,32,2,3,0,1,1,5
"2756",12,38,48,32,23,34,17,13,14,0,1,0,1,2,0
"2816908",28,36,48,42,23,26,25,18,45,1,1,1,1,1,2
"2853158",4,10,4,5,7,1,5,4,48,1,0,0,1,0,0
"2926671",20,31,23,28,15,48,19,22,5,8,1,3,2,1,0
"2955314",27,48,34,20,24,48,31,33,20,2,0,0,4,1,1
"3035453",13,48,30,31,38,10,35,16,9,4,2,0,1,0,2
"394958",32,48,32,42,27,18,31,12,40,1,0,1,0,0,3
"459529",29,48,39,43,28,23,23,15,14,3,2,1,1,0,0
"505341",7,48,48,37,28,13,31,11,31,5,1,1,2,0,0
"54252",31,48,40,48,36,39,38,20,14,7,2,1,1,0,2
"555319",14,48,33,26,32,16,25,17,15,4,0,1,0,1,0
"577489",11,48,45,38,43,27,34,22,27,5,1,0,1,2,2
"59843",14,40,46,48,29,20,32,14,19,0,1,0,1,1,0
"76885",48,42,34,36,34,17,45,17,12,0,0,0,1,0,0
"78259",29,45,48,44,41,27,27,22,24,5,2,3,3,0,0
"86663",22,48,45,47,33,20,36,20,40,2,2,0,2,1,4
"1060",39,42,36,47,34,18,36,26,29,3,2,2,0,3,2
"123824",15,37,29,47,30,26,23,16,13,3,1,1,2,1,1
"1328",6,24,47,43,22,12,17,11,22,0,3,0,0,0,1
"1452732",14,33,47,21,21,13,29,8,10,8,0,1,0,0,2
"187880",12,36,47,41,39,17,30,14,16,3,0,0,0,1,1
"188913",18,38,47,46,29,22,20,20,37,6,2,0,0,1,0
"2005473",11,28,45,30,21,12,26,13,47,0,0,0,1,2,0
"2008440",26,32,47,29,28,10,21,13,14,1,0,1,1,0,0
"2100116",10,41,47,41,38,26,31,12,20,2,3,0,0,1,0
"2141",5,30,47,32,13,21,14,14,18,3,0,1,1,0,1
"229980",9,47,44,46,36,18,27,20,8,2,2,1,0,2,1
"234827",16,47,25,34,34,35,29,23,28,3,1,0,1,1,1
"240426",4,30,32,47,25,17,24,12,17,1,0,1,1,0,0
"252967",20,47,34,46,25,19,20,10,31,2,2,2,1,0,2
"2560251",17,47,39,37,31,18,30,17,15,3,1,0,0,0,0
"2594463",43,46,47,28,40,43,41,44,10,4,1,0,1,0,0
"2594883",38,47,37,40,32,12,43,13,43,1,0,2,3,2,1
"2702",21,44,47,46,32,33,32,16,34,2,0,0,5,1,3
"2704654",15,47,36,44,22,24,30,14,17,2,1,0,0,0,1
"2724901",8,35,40,47,34,42,23,9,29,4,1,0,1,1,0
"2777577",8,38,47,45,30,15,25,10,15,3,5,2,2,4,2
"2873269",9,43,47,45,29,23,37,19,16,4,0,0,0,0,0
"2949614",10,24,46,47,24,35,26,27,18,4,1,1,1,1,0
"3023090",29,43,34,18,21,22,30,14,47,0,1,0,1,1,2
"379067",24,39,45,47,30,31,25,14,22,2,1,0,0,2,0
"39485",9,45,47,29,38,15,20,13,33,3,1,2,1,1,0
"446374",12,47,40,37,36,21,26,16,18,8,0,0,0,2,1
"53410",18,28,44,47,28,16,31,12,20,1,2,4,2,2,1
"649777",5,47,43,24,27,22,28,11,20,5,0,1,0,0,0
"658632",1,47,31,21,19,10,23,16,14,0,1,0,0,0,0
"1050714",9,26,41,46,26,23,27,14,18,1,2,3,2,3,0
"109328",7,46,43,34,30,13,27,9,21,1,2,0,0,0,1
"1283",22,46,37,41,41,12,26,12,36,5,1,0,0,0,2
"1310",28,46,41,36,32,9,26,11,24,3,3,1,0,0,4
"136094",5,39,46,41,32,24,37,20,18,1,0,0,0,1,1
"1470540",4,25,32,21,22,11,23,10,46,1,2,1,3,2,0
"1529069",20,46,32,25,33,18,11,10,29,1,2,1,0,0,1
"1601",9,46,39,42,30,12,38,8,25,2,2,0,0,1,1
"1807141",20,38,46,37,19,39,23,44,14,3,1,2,1,4,3
"1896175",14,41,38,46,29,15,19,16,14,1,2,0,0,0,0
"198483",30,46,41,29,33,22,25,17,31,1,1,0,1,0,0
"2016373",17,42,30,46,34,21,25,8,15,3,1,0,1,1,2
"2030797",11,46,38,42,28,22,21,17,17,2,1,1,0,0,1
"2050",25,37,34,46,41,35,34,28,11,4,1,2,2,1,3
"2058135",15,35,46,26,29,32,20,7,16,3,0,0,1,0,1
"2162846",9,43,44,40,46,21,32,19,18,0,0,0,0,0,0
"2172",3,13,6,14,9,1,5,4,46,0,0,0,0,0,0
"2203724",15,40,46,40,30,16,28,9,13,3,0,0,0,0,1
"227388",4,23,36,46,30,18,26,14,17,2,2,0,2,2,3
"2325",16,46,28,31,20,12,23,13,35,1,1,0,0,1,0
"2583452",11,35,44,36,28,9,19,8,46,2,0,0,1,0,1
"2663009",34,46,26,32,20,23,12,13,17,2,1,0,3,0,1
"2704653",16,28,35,46,28,14,14,10,9,1,1,1,0,3,4
"2812551",14,38,44,46,31,15,33,26,9,5,0,1,0,1,0
"2849642",14,25,27,46,29,20,20,12,11,1,0,0,0,1,1
"2855394",16,32,24,44,19,46,18,11,36,2,0,0,1,0,2
"2936682",17,46,37,31,33,9,23,6,38,1,0,0,2,1,1
"2942908",12,42,46,41,24,26,25,21,18,1,1,0,1,0,2
"29562",21,46,42,45,40,26,26,19,19,4,1,0,1,0,1
"2976818",46,32,42,36,40,42,18,12,20,1,1,2,4,2,3
"360911",13,34,43,42,46,16,18,4,19,3,1,0,2,0,1
"394751",10,28,46,32,18,17,15,8,11,3,0,0,1,1,2
"489910",12,32,34,46,26,15,24,9,36,12,0,0,1,1,3
"69499",12,46,27,34,17,16,13,11,28,2,0,0,0,1,0
"751585",8,38,44,46,26,10,32,13,13,6,0,0,0,2,0
"752201",9,38,37,43,46,17,31,23,20,3,2,1,3,1,0
"109262",4,38,36,45,36,7,31,9,26,3,3,4,3,5,4
"118969",6,45,28,39,12,19,30,8,21,4,0,1,1,1,2
"1245",16,39,45,34,23,23,31,15,25,3,0,0,0,0,0
"1267021",7,39,45,38,30,16,30,6,18,2,1,0,1,0,0
"1427149",12,40,27,45,26,23,27,8,21,3,0,1,3,1,1
"143222",18,45,40,31,30,22,23,20,19,3,2,0,1,1,3
"1474",26,45,42,41,35,17,26,12,24,2,1,0,1,2,0
"1488",19,45,43,35,30,10,30,10,32,0,1,0,1,2,0
"1643951",8,45,28,33,22,18,20,11,23,3,0,0,0,0,0
"1688404",12,27,45,34,23,25,33,16,13,2,0,0,1,0,0
"185008",22,39,23,36,31,16,29,11,45,1,1,0,1,0,1
"1855646",2,32,45,35,31,12,17,4,12,1,0,0,1,2,0
"242600",21,34,45,40,19,31,16,18,36,2,0,1,3,2,0
"2587529",16,32,27,45,34,16,25,16,11,0,0,0,0,0,1
"2738979",4,29,37,45,21,22,28,16,19,7,1,3,2,1,1
"2738983",29,40,45,43,44,20,43,21,14,1,2,0,1,0,0
"2763062",7,34,45,44,25,32,27,13,41,3,1,2,1,2,0
"2782163",6,31,39,45,23,8,29,16,31,2,0,0,0,1,1
"28187",14,40,45,35,28,26,21,18,45,6,2,1,2,2,0
"2822846",13,33,32,45,22,20,25,5,7,0,0,0,0,2,0
"2829816",23,36,43,45,26,17,24,15,25,2,1,2,0,2,0
"2904123",14,40,38,45,28,19,20,17,35,3,0,0,0,1,1
"292691",29,32,45,38,20,40,11,22,45,2,4,2,0,2,2
"2930200",12,32,33,45,24,14,26,12,19,1,3,0,1,1,0
"29552",21,45,39,24,22,11,17,19,29,0,1,1,0,0,1
"2991500",13,45,38,44,29,31,36,27,14,4,2,0,0,1,1
"33047",13,38,45,44,24,14,28,16,26,3,1,0,0,1,1
"33962",12,42,32,45,36,15,14,8,14,2,4,1,1,0,2
"478",20,45,36,29,19,17,19,27,10,2,0,0,1,0,0
"513050",8,17,45,38,32,12,17,5,40,1,0,1,0,1,1
"536044",11,39,45,34,23,14,19,10,17,5,0,2,2,0,0
"645292",12,32,45,31,33,19,28,17,12,7,0,0,0,0,0
"693750",18,36,36,45,27,21,36,9,15,0,2,1,4,1,0
"70348",9,35,19,37,45,31,20,14,16,1,0,1,0,1,5
"710191",11,45,16,25,22,4,17,6,30,2,0,0,1,0,1
"753",16,36,45,43,36,13,24,11,25,2,2,0,3,0,1
"759811",26,45,40,38,33,14,26,10,32,0,1,0,4,2,2
"762",8,45,38,35,24,15,20,9,11,4,0,0,0,0,1
"82688",18,45,40,35,32,28,21,13,14,2,0,0,1,0,0
"948",29,35,26,45,26,14,25,5,15,0,1,0,2,1,0
"1076626",26,28,44,28,23,13,20,13,9,2,0,0,0,2,0
"1329",5,30,44,40,19,17,21,8,14,5,1,1,1,0,2
"1375",12,44,39,28,29,17,22,11,15,7,0,2,1,0,1
"148814",8,30,32,44,20,18,20,9,30,2,2,0,1,0,0
"1522127",9,20,44,27,16,6,16,2,12,0,2,1,0,1,1
"1542",32,44,31,29,26,20,20,14,38,0,0,0,1,0,0
"155194",7,25,41,44,16,11,15,4,12,1,2,1,1,0,3
"1578720",11,44,33,31,26,10,35,10,29,4,0,2,0,0,0
"1581011",14,36,38,44,21,9,22,13,28,1,0,0,1,1,0
"1607",23,37,40,44,41,16,33,6,28,2,1,1,2,1,1
"1643685",21,44,36,37,27,30,29,16,17,1,2,0,6,2,3
"1748967",14,34,44,40,35,40,28,29,15,3,2,0,0,0,0
"1840265",11,44,42,37,27,3,30,9,17,3,3,1,0,2,4
"1870884",8,21,40,16,19,11,15,4,44,4,0,0,0,2,0
"1914871",4,40,42,34,44,17,22,25,13,2,0,0,0,0,1
"1977865",12,42,33,44,38,16,29,9,21,2,0,2,1,3,2
"1982626",11,26,28,44,21,17,20,9,25,4,0,2,0,2,0
"221027",3,28,26,31,18,25,10,9,44,6,2,0,3,2,0
"2320858",13,44,39,37,17,29,14,14,18,3,2,0,0,1,2
"2564099",9,35,28,44,29,11,12,12,44,2,0,0,2,0,1
"2734196",19,31,44,28,20,23,36,19,12,5,1,1,0,0,2
"2782231",26,34,39,27,27,44,16,20,28,3,1,0,5,2,1
"2831890",8,31,44,28,42,12,32,8,14,5,1,0,1,1,1
"2834819",8,30,44,39,21,8,25,16,15,11,0,0,1,0,1
"2856556",8,44,25,41,29,15,29,10,9,0,0,0,1,0,1
"2866282",7,44,27,26,16,41,13,14,12,0,1,0,3,1,0
"2908211",10,27,44,31,23,7,19,11,34,11,0,0,0,2,1
"2919598",1,19,44,27,21,12,22,12,18,0,0,0,1,1,1
"2931400",18,43,44,32,39,20,13,9,20,1,2,1,3,1,0
"33959",23,38,44,43,35,28,28,20,37,4,2,0,0,2,2
"39152",24,35,43,43,44,23,37,14,25,3,1,0,0,0,0
"40091",16,36,44,38,30,14,24,11,16,6,0,1,0,1,1
"41997",13,29,29,20,19,13,20,10,44,2,0,0,0,0,0
"487686",5,42,30,44,30,24,19,9,11,2,0,1,0,0,0
"51049",6,44,36,24,27,20,24,8,20,0,0,0,0,2,2
"511746",5,37,38,44,28,24,41,13,22,1,0,1,2,0,0
"83559",11,39,30,44,25,10,30,5,17,0,1,1,0,1,1
"851",28,31,43,44,32,16,33,17,29,6,4,0,0,0,4
"89152",28,44,33,38,24,13,21,10,40,1,0,0,3,0,2
"101192",13,32,43,33,19,29,28,20,22,1,3,0,1,0,0
"1094892",14,35,34,43,27,19,24,10,17,1,1,0,0,0,1
"119394",13,43,38,40,20,12,26,11,28,3,2,0,1,0,4
"1241978",27,28,40,35,22,43,9,19,15,2,3,2,0,0,3
"1322",15,36,27,43,37,10,19,15,38,0,0,0,2,1,0
"1387555",15,32,36,37,22,35,23,15,43,1,1,0,2,1,1
"1402",20,35,31,43,30,14,29,11,28,2,3,2,1,2,0
"1498",31,43,37,28,33,31,25,16,38,4,1,0,0,0,0
"167642",36,40,43,27,25,18,19,13,19,2,1,0,2,0,1
"1691",29,34,43,28,37,27,29,18,18,0,0,1,2,0,0
"1712654",11,32,26,43,29,15,29,4,13,5,1,0,0,1,0
"1776741",10,40,43,38,42,7,29,16,12,2,1,2,1,0,3
"1844999",10,43,43,26,19,23,23,15,21,7,0,1,0,3,2
"191393",3,43,30,40,22,11,33,15,17,5,1,0,1,1,1
"1926290",43,34,29,26,29,41,25,25,13,3,1,1,0,0,0
"1965231",15,43,29,31,23,19,25,19,35,2,0,1,1,0,0
"2108365",12,39,40,28,26,43,21,11,29,6,0,1,0,1,1
"214473",18,43,24,33,20,15,14,6,27,2,1,0,1,0,0
"2592625",14,34,43,39,26,21,33,29,22,1,0,1,0,4,0
"2652721",8,36,31,43,31,13,25,14,17,0,0,0,1,1,1
"2703794",8,43,39,28,32,11,28,7,16,4,1,1,1,0,1
"2745560",14,35,43,34,16,13,13,7,30,1,0,0,0,1,1
"2746231",5,34,32,43,25,12,23,7,12,4,1,0,0,1,1
"2748760",13,38,37,43,33,17,36,17,8,2,0,0,0,0,0
"2779363",9,31,43,36,24,17,33,12,18,1,1,2,0,0,0
"2781390",9,26,43,34,21,12,35,14,11,1,1,1,2,1,3
"2781599",5,25,43,30,28,10,25,9,15,0,0,2,0,1,0
"28196",21,43,32,41,32,24,25,12,23,3,0,0,2,2,2
"2842201",15,42,43,41,23,18,33,11,14,3,0,0,0,0,0
"2861280",43,28,26,17,24,27,17,18,8,3,0,0,0,0,1
"2862870",8,30,42,43,22,12,11,7,10,2,1,0,0,0,1
"29388",15,43,39,39,23,14,22,10,25,2,0,0,0,3,0
"3054208",33,41,43,34,34,14,18,10,30,2,2,0,3,1,0
"3057550",16,26,43,33,25,11,30,15,21,0,3,4,2,0,2
"33940",11,30,43,38,24,15,10,14,16,1,2,0,1,1,0
"38323",28,33,32,43,18,11,5,18,20,0,0,0,1,1,3
"415095",20,22,19,13,27,43,8,31,12,0,0,0,1,0,0
"650378",16,16,22,20,16,43,14,5,18,1,0,0,0,1,1
"809",3,29,40,43,15,18,15,14,13,0,1,1,0,1,1
"1156568",37,32,38,42,32,30,25,26,17,4,6,0,1,2,2
"115782",3,40,42,41,25,18,22,8,10,2,2,0,0,0,1
"1168287",23,34,25,42,30,40,32,30,19,7,2,0,1,1,1
"118060",14,37,38,42,22,16,28,10,20,1,1,0,1,0,0
"1273132",13,28,42,40,25,23,22,16,23,4,1,1,1,1,2
"137583",13,29,42,42,34,18,33,19,24,4,3,2,1,1,2
"151081",2,29,42,31,24,14,23,10,6,2,1,1,2,1,2
"158847",18,38,37,42,25,16,20,7,19,2,1,0,0,0,2
"1622",13,42,39,42,33,15,19,7,28,0,2,2,1,0,0
"1638",17,31,42,32,32,23,27,14,36,6,0,0,1,1,2
"1640",23,38,36,42,37,13,19,14,22,2,0,0,0,3,1
"1650",15,37,42,38,32,13,14,4,27,1,1,0,1,1,1
"166935",5,32,35,42,19,17,21,10,14,0,0,0,0,0,1
"1670455",4,40,22,42,15,15,17,8,14,0,2,0,0,0,1
"1687",22,38,35,42,35,20,33,27,21,4,0,1,0,1,1
"171284",11,31,28,42,24,27,15,9,16,3,0,0,1,0,1
"1778262",7,41,42,40,33,12,22,13,20,2,0,1,4,1,0
"186824",29,42,29,42,42,18,30,14,22,5,0,2,1,0,0
"1979527",15,39,34,42,40,40,29,27,16,4,1,1,0,1,0
"2215",11,13,12,16,14,2,15,5,42,0,0,0,0,0,1
"2319",6,18,28,42,18,13,11,8,4,2,0,0,2,0,1
"244787",11,42,37,38,39,19,14,17,21,1,1,1,0,0,0
"2490855",11,42,29,36,26,19,16,8,38,1,1,1,4,0,0
"2496265",20,30,41,33,22,42,23,18,20,0,0,0,2,0,0
"2601695",8,19,4,16,13,42,4,17,5,1,0,0,0,0,0
"267889",12,42,42,41,25,13,23,7,17,1,1,1,1,0,0
"2714929",18,42,22,26,13,17,17,10,40,2,1,0,0,0,2
"2762563",9,30,42,36,26,11,22,8,15,0,0,0,3,1,1
"28110",11,36,17,42,24,28,28,14,14,2,0,0,0,0,3
"28258",34,34,38,42,31,11,17,14,13,0,1,0,1,0,1
"2866570",14,42,32,39,17,10,23,9,16,6,1,1,1,1,0
"2878098",7,36,42,25,19,18,34,13,10,6,0,0,3,0,2
"29329",7,39,34,32,31,42,17,18,21,5,0,0,0,0,0
"29487",16,42,40,31,30,17,22,28,19,2,0,0,0,0,0
"2954089",9,21,42,21,9,21,18,14,10,3,1,0,0,1,0
"3025665",10,21,31,42,21,8,13,4,16,0,0,1,1,1,1
"3036126",20,40,42,36,26,19,20,12,29,1,0,0,2,0,1
"3036714",13,40,32,42,34,20,31,10,12,2,2,0,1,1,1
"36835",15,25,22,32,29,17,15,14,42,0,0,0,1,0,0
"375175",10,22,42,37,24,11,19,8,22,2,0,0,0,0,0
"480520",18,42,40,23,16,16,14,19,19,4,1,0,1,2,3
"53953",2,14,18,8,12,42,7,9,1,14,0,1,0,0,0
"573658",15,41,42,39,17,7,20,14,14,3,3,1,3,0,2
"64160",12,18,26,42,23,12,19,3,19,1,0,0,0,0,1
"680114",11,41,31,41,33,28,42,20,19,1,0,0,2,0,0
"69966",15,30,42,28,13,16,27,10,21,1,0,2,1,0,1
"72275",13,25,32,42,27,10,30,18,15,1,0,0,1,0,2
"81947",26,34,36,40,33,36,29,20,42,3,0,0,1,0,0
"82348",9,31,42,41,33,24,20,13,21,0,0,1,0,0,1
"85026",42,27,29,27,23,25,21,26,18,3,0,0,0,1,0
"1194427",8,41,33,31,19,15,23,6,10,3,0,0,0,0,0
"1284",13,41,41,25,22,8,25,8,19,3,2,0,1,0,0
"1295609",16,37,41,28,38,20,16,15,12,1,2,0,1,0,4
"1359",31,39,26,38,41,25,25,20,19,5,2,0,2,3,1
"1379",8,24,41,34,29,14,24,15,21,6,0,2,0,2,0
"143361",9,41,34,33,25,19,21,12,40,3,1,1,3,0,0
"1591088",6,31,33,41,28,9,20,10,18,2,0,1,0,0,0
"1603",9,41,33,33,18,14,22,11,17,5,2,0,1,0,1
"1604",17,40,33,41,34,14,23,17,40,0,1,0,0,1,2
"1647",8,27,23,25,18,9,15,7,41,3,0,1,0,0,0
"1855331",7,36,41,31,16,9,10,5,7,2,1,0,2,1,0
"1884634",41,25,27,22,26,27,10,15,15,1,1,0,1,2,5
"1891280",1,41,35,35,15,5,17,7,9,2,1,0,0,0,0
"2004646",6,41,15,19,12,6,14,10,11,1,0,0,0,1,0
"2039639",5,37,41,38,28,16,16,17,10,1,0,0,1,1,0
"206",5,41,28,35,37,30,18,11,21,2,4,0,1,1,0
"2115978",10,34,41,37,31,26,18,20,16,2,2,3,1,4,2
"2169658",8,41,19,30,28,23,6,17,5,4,0,0,1,0,1
"2322",4,41,30,18,26,15,24,6,23,0,0,0,1,0,0
"2422",9,41,36,34,26,27,26,12,26,0,0,0,0,0,1
"2576928",5,41,27,33,15,13,23,13,6,2,1,1,0,1,2
"2599641",12,31,37,41,32,29,24,12,25,2,2,0,0,1,2
"2614801",6,31,41,28,23,16,24,10,6,1,0,0,0,0,1
"2748",22,41,36,38,32,28,39,16,37,2,5,1,2,1,1
"2764325",21,37,39,41,25,29,18,7,37,5,1,0,1,2,2
"2796146",41,35,32,31,25,24,21,23,12,1,1,0,0,1,1
"2806552",17,32,41,26,26,29,12,14,33,1,0,0,0,1,0
"2810537",13,40,33,35,41,21,35,21,23,4,0,0,1,1,0
"2895568",17,41,41,36,32,22,35,25,16,3,2,2,1,0,1
"2991054",36,27,26,32,25,41,6,33,8,1,1,1,0,0,3
"3040201",13,41,28,33,32,15,25,16,18,1,0,1,2,1,1
"33039",15,38,35,41,29,19,14,17,28,4,2,2,0,0,1
"403957",14,40,31,31,40,18,41,12,40,5,0,0,1,1,2
"46124",14,32,41,41,27,13,25,6,26,1,0,2,0,0,1
"46255",12,41,34,31,28,22,23,16,17,3,3,1,0,0,1
"617123",9,24,25,41,25,10,13,6,30,2,1,0,2,1,0
"66821",7,41,31,36,32,13,28,8,15,5,0,0,1,1,1
"693153",20,32,41,31,33,16,31,19,16,2,2,1,0,0,2
"768",7,28,41,26,19,35,23,26,9,3,0,0,0,1,0
"813",10,35,41,27,20,9,24,8,20,2,1,1,1,0,2
"827",10,41,28,30,28,10,12,10,16,1,0,0,2,0,1
"84590",15,31,41,34,29,15,19,12,21,0,0,0,2,2,2
"93682",8,24,41,27,30,14,17,11,11,2,4,1,0,0,1
"1048758",16,34,40,40,21,18,21,14,9,0,1,0,2,0,0
"1050655",14,33,40,25,21,8,24,15,10,0,4,0,0,1,2
"118882",30,40,16,20,22,17,20,16,17,3,0,6,1,1,1
"1335",17,40,27,36,26,21,20,13,21,2,1,0,1,1,0
"13773",14,34,39,40,29,28,19,15,16,8,1,0,1,0,1
"1462615",8,22,38,40,27,18,16,7,15,2,0,0,1,0,0
"1542390",16,39,39,40,31,13,16,15,14,3,2,0,1,2,1
"1643",8,36,26,40,30,28,16,17,16,6,0,0,0,1,0
"1789762",9,19,31,33,23,15,15,6,40,1,2,0,0,0,0
"184064",7,20,40,34,22,22,18,12,13,2,0,2,0,0,0
"1884907",34,31,40,38,20,22,31,15,19,2,2,3,1,1,2
"1904463",14,36,40,28,36,17,23,15,19,1,1,0,0,1,2
"195",14,35,40,29,30,21,17,10,9,3,1,0,0,0,1
"196",21,34,35,40,25,10,16,14,18,1,3,1,0,0,1
"1982898",13,40,24,29,30,15,14,12,14,2,0,0,0,0,0
"2006115",16,40,34,35,20,23,26,23,21,2,0,0,1,1,1
"2039240",6,22,40,18,19,13,28,10,19,6,1,0,0,1,0
"254839",21,32,25,40,24,7,16,7,15,2,3,0,0,0,2
"2593652",21,40,33,28,26,32,28,12,30,2,0,0,1,1,0
"2755338",15,40,31,38,38,29,28,13,37,0,1,0,0,0,2
"2785746",4,37,40,38,33,19,36,23,18,4,2,0,2,1,0
"28199",16,39,34,40,29,18,19,8,15,1,0,0,2,0,1
"28263",18,40,32,32,21,30,22,26,19,2,0,1,1,3,1
"2929481",10,30,32,40,24,12,20,3,24,2,1,0,1,1,0
"29385",12,40,32,37,28,24,22,12,31,9,0,1,0,1,2
"2961520",14,40,25,27,15,8,14,5,17,1,1,0,0,0,0
"3050355",11,39,40,24,26,16,30,13,14,4,1,1,0,1,0
"3059082",15,22,18,40,16,20,21,11,8,2,1,0,1,0,1
"341027",12,40,28,32,24,18,12,4,11,3,1,1,0,3,0
"359407",0,24,40,12,14,28,7,14,11,1,1,0,0,1,0
"421767",40,30,34,23,30,23,18,12,14,2,1,0,15,3,1
"423477",14,40,29,34,23,8,16,9,33,1,1,0,2,1,0
"520056",3,31,40,34,17,7,13,9,10,1,0,0,0,1,2
"56812",13,37,34,40,32,34,24,12,13,3,0,0,0,1,1
"622681",21,29,38,28,28,40,33,32,19,4,1,1,2,0,1
"63363",10,32,40,38,35,20,26,11,26,5,2,1,1,1,2
"836",1,16,13,15,15,9,8,4,40,0,0,0,0,0,2
"883811",12,21,40,24,33,17,21,16,11,2,0,1,2,0,2
"92944",9,29,40,22,24,12,22,9,19,3,2,0,1,4,2
"1173280",18,36,39,33,33,23,29,15,15,1,0,1,3,2,0
"1190813",13,36,39,32,37,21,32,12,18,4,1,0,4,1,3
"1293",12,25,39,19,16,11,17,9,19,3,1,0,1,0,2
"1300",15,39,21,24,18,18,10,13,22,6,1,1,2,1,1
"1309",14,31,22,39,27,17,19,10,17,4,2,1,2,1,1
"1400862",29,30,39,27,23,18,23,11,13,0,0,0,3,0,2
"1494",24,37,35,39,24,18,21,8,26,1,0,0,4,1,1
"1505652",8,28,18,20,24,9,12,7,39,2,0,0,1,0,0
"1623281",23,39,35,23,17,18,20,29,21,1,0,0,0,0,0
"1775403",4,23,39,26,13,11,15,12,3,1,0,0,0,1,0
"1849015",17,34,39,27,24,23,20,19,21,1,0,0,1,0,0
"186823",17,29,39,38,19,21,25,19,15,4,0,0,2,1,0
"1906744",17,39,30,38,24,12,18,16,22,2,0,0,0,1,0
"1933929",10,34,37,39,24,15,16,18,21,4,0,0,1,3,1
"198",16,39,37,33,26,14,11,11,16,4,0,0,0,0,1
"2012495",17,34,38,39,24,15,19,13,20,3,0,1,1,1,2
"2160",17,39,33,23,23,10,14,10,33,1,1,0,2,0,0
"2419773",16,35,21,39,27,15,37,9,13,2,1,1,0,0,1
"2517362",10,31,39,28,19,17,18,3,28,2,0,0,0,0,2
"2560029",11,39,39,33,23,30,27,16,20,3,0,1,1,2,0
"2587843",5,39,27,26,21,20,23,9,18,1,1,2,1,1,1
"2587858",19,35,39,35,29,18,25,11,9,2,0,0,0,0,1
"2734194",22,25,31,39,18,7,21,13,7,1,1,0,0,0,1
"2778052",20,37,39,26,22,8,21,10,21,3,1,2,4,1,0
"2778550",22,33,39,34,20,15,31,15,7,3,1,0,3,0,0
"2820002",30,35,38,39,30,27,29,23,15,4,0,2,1,0,0
"2827233",5,37,35,39,21,10,21,10,31,1,0,0,1,1,0
"2864211",13,39,31,31,30,16,24,7,17,3,0,2,0,1,1
"2925782",24,30,25,39,35,14,26,10,27,4,1,0,2,1,2
"2925830",13,22,22,24,21,39,18,11,14,4,1,1,0,0,0
"2927224",5,27,32,39,23,29,35,8,13,1,0,2,0,0,0
"29287",4,39,25,31,36,26,31,8,9,6,0,0,1,1,0
"2929489",19,35,25,39,28,20,19,12,13,2,0,2,0,2,0
"2930213",17,37,37,39,24,17,23,12,14,2,1,0,1,1,0
"3031993",18,32,39,34,28,18,19,4,19,1,0,1,0,0,0
"3050138",8,39,24,26,22,17,22,13,8,2,1,0,0,1,0
"3073271",16,30,39,24,20,14,22,11,11,1,0,1,11,5,3
"40269",12,39,32,38,36,23,21,17,13,6,1,0,2,0,1
"507763",15,25,31,39,19,21,30,8,10,0,0,0,1,0,0
"51161",8,31,34,39,20,21,10,13,21,1,1,1,0,1,1
"51663",11,39,22,34,33,13,11,8,16,0,3,0,2,1,1
"56877",7,39,22,26,28,9,22,3,16,2,0,1,0,1,1
"58290",6,39,33,29,12,12,18,8,15,0,1,1,1,0,0
"648802",5,23,26,35,39,12,19,19,24,6,2,2,3,2,0
"86332",3,25,39,19,20,10,21,5,17,1,0,0,1,0,0
"94122",8,39,33,38,30,18,18,13,12,3,1,0,1,1,1
"1080223",15,38,36,35,22,12,26,15,16,0,1,1,0,0,1
"114186",14,16,21,38,15,7,24,10,12,0,2,0,0,0,1
"1218494",12,32,31,38,30,14,19,11,9,2,1,1,0,2,0
"132604",16,38,28,23,34,14,16,16,7,0,3,0,0,0,1
"1608473",7,38,25,28,23,16,14,14,10,4,0,1,1,0,0
"1653476",18,24,33,38,26,25,29,17,26,1,2,0,3,2,0
