"","SRR25582257","SRR25582262","SRR25582261","SRR25582258","SRR25582263","SRR25582255","SRR25582259","SRR25582254","SRR25582260","SRR25582256","SRR8921820","SRR8921819","SRR8921825","SRR8921818","SRR8921821"
"1861",25421,17249,10760,11681,17388,13860,16375,13137,4708,717,45,39,155,75,55
"2937800",4416,4860,4257,4270,4915,23915,4819,25150,1696,1199,60,82,176,104,59
"2995304",3548,22730,24978,21660,19118,9595,18792,7320,10424,1506,457,304,519,461,318
"496014",12060,14886,12272,12765,15654,24660,14197,20336,4520,1116,315,298,463,280,159
"1763",17387,15456,15535,14666,13161,24490,12700,23020,6677,7005,282,244,475,313,214
"1391654",1906,18776,24017,24442,14918,5551,15529,4068,7688,1135,477,399,561,513,411
"2782665",4795,17901,14102,14059,12141,7965,24056,7423,6827,1020,1036,869,1712,1188,846
"231455",23793,2559,2722,2720,1804,17042,1814,10218,961,1309,89,64,53,65,56
"477641",23728,15758,10073,10648,16080,13176,13958,12544,4248,669,57,51,168,89,38
"323415",13776,9849,11096,12230,7161,22816,6953,14216,3994,3323,235,289,198,187,175
"1933044",22277,2261,3417,2841,1956,12989,2437,12135,1004,875,76,77,109,89,99
"2763498",21986,2464,2559,2537,1810,14698,1717,9149,958,1273,65,51,54,54,61
"2703788",21909,2242,3423,2955,1958,19267,2194,21843,969,964,75,92,108,87,100
"2782641",4907,16784,13300,12898,11402,7617,21774,6732,6469,972,1044,985,2258,1545,923
"2528023",2912,21391,21573,19547,17926,12230,18029,9810,7995,1150,641,677,551,585,456
"577492",6588,1642,1625,1578,1353,17782,1342,21311,674,5055,24,19,45,24,20
"60548",21037,2687,3305,2886,2123,2864,2034,2127,991,213,44,43,65,45,49
"1866885",20221,19811,19405,17796,17344,21023,16883,18089,9626,2593,299,275,642,398,248
"191",7714,18551,20865,19971,15543,12934,15308,9769,7413,1764,437,408,529,480,368
"138336",20833,16169,9704,10176,17132,13364,14391,13165,4244,639,53,49,134,61,39
"1707785",6230,6192,6440,5397,4915,10186,3805,20742,1899,551,59,62,99,92,62
"3037797",3416,19998,20685,18046,13907,8205,13189,5586,6236,1085,235,181,334,241,177
"28056",14378,20459,18078,17162,16836,15560,20367,13023,8772,1669,249,218,529,246,186
"420953",20429,2914,3323,3020,2364,2591,2105,2356,1068,250,79,62,79,80,52
"2602070",20355,3502,5288,4375,3032,11261,3232,10153,1439,575,91,91,137,112,102
"3027808",5555,1931,1868,1833,1596,16493,1537,19594,762,4990,29,33,52,39,25
"150026",19531,3463,3152,3297,2847,8915,3011,7388,1446,313,51,44,69,52,32
"222",15658,17572,19220,17700,13329,11360,12621,7928,6284,1513,331,296,396,290,248
"1288494",3258,4958,5742,19168,3242,792,3238,654,3115,108,33,23,36,31,52
"1050370",2519,2963,3244,2927,2173,18997,2101,12851,1007,2590,50,50,66,60,40
"34072",6101,17401,18909,15872,12188,7922,11160,5751,5613,994,225,169,275,269,199
"303",5493,18727,13142,11581,9534,7404,8404,5335,4639,1055,201,216,258,241,196
"2994496",18606,2237,2673,2850,1769,12490,1769,7946,938,1128,92,87,58,68,77
"54571",9093,18130,17663,16954,15892,15243,15159,11159,6572,1661,220,173,370,238,152
"3039158",4432,13825,12406,11762,10211,6583,17836,5967,5464,796,785,714,856,754,552
"1034889",4199,16260,17787,14711,11141,6652,11253,4542,5949,852,182,133,266,254,174
"83451",3308,14930,17711,14875,12832,7047,15131,5879,5695,1035,394,308,515,374,278
"88688",5249,15012,17624,15662,12566,11539,11188,8114,6110,1225,360,310,366,377,286
"2732249",4744,13676,17562,15357,12586,6094,10833,4730,5277,1125,103,104,302,188,107
"294",3710,15529,17353,8830,6676,5592,6160,4501,4419,754,172,154,205,177,153
"2840469",8099,15875,16304,16012,12663,9917,17173,8421,7158,1033,1139,1184,1193,1186,838
"433",11377,4489,5348,4937,3855,17026,3865,12802,1991,1673,133,139,156,124,139
"1355477",8478,15299,17010,16294,12714,10313,15229,8362,6509,1353,829,801,782,802,649
"2904252",5501,16964,13692,11080,11669,10454,9197,7921,5372,1458,114,96,94,76,86
