"","SRR5829600"
"2885079",1440
"2591109",1439
"2509458",1437
"1867715",1433
"53409",1433
"398694",1430
"933080",1429
"2909283",1427
"556",1427
"2895495",1425
"296544",1425
"240427",1418
"2830997",1412
"82996",1411
"2742131",1407
"816",1407
"2942449",1401
"2972485",1399
"515393",1399
"2604158",1396
"2785627",1392
"64104",1391
"203135",1384
"1762",1383
"199",1382
"34062",1382
"2867264",1380
"2903901",1380
"1296",1379
"1870820",1377
"1315974",1369
"2675225",1369
"1898684",1367
"553510",1367
"1406",1366
"1411316",1365
"2894310",1365
"2497863",1364
"1404367",1362
"2928472",1362
"1758194",1361
"2949630",1358
"644",1358
"1069",1355
"1505",1348
"2992573",1337
"61647",1337
"434009",1336
"74033",1336
"1294143",1335
"1434011",1330
"2488560",1323
"312306",1322
"316",1322
"72274",1322
"2954086",1319
"35754",1319
"2819978",1317
"2017685",1307
"206506",1307
"33877",1306
"2703885",1304
"84159",1301
"3002903",1300
"47877",1295
"1226968",1294
"2483033",1294
"2587852",1290
"2905121",1290
"1792508",1288
"194",1288
"68909",1287
"68895",1286
"82995",1282
"2953747",1279
"2571746",1276
"75385",1271
"190721",1270
"2073078",1270
"2172099",1270
"2840469",1270
"2099387",1269
"94132",1266
"1467",1263
"1563",1263
"89152",1262
"1609758",1260
"339",1259
"199683",1257
"1351",1256
"2735433",1255
"48074",1255
"180282",1254
"2800373",1253
"1282",1246
"1817",1245
"1714373",1240
"2740185",1237
"1853278",1235
"2865673",1233
"1490",1227
"1389005",1226
"168471",1226
"2724191",1226
"2493675",1224
"1071679",1223
"482",1223
"1768",1222
"2916755",1220
"2732249",1219
"2202825",1215
"28227",1215
"2587163",1214
"259",1214
"2735434",1214
"338",1214
"1280380",1210
"1890302",1207
"444444",1207
"66871",1200
"3039155",1195
"946333",1194
"2560057",1193
"99598",1192
"2024551",1191
"1525371",1188
"2049881",1187
"500",1187
"1408",1186
"1492",1183
"2903960",1181
"3061632",1180
"3024245",1177
"1616117",1175
"2493093",1175
"2382165",1170
"195105",1168
"28198",1164
"320497",1162
"257708",1161
"3018446",1159
"1144307",1148
"2831106",1148
"2898794",1148
"1018",1146
"367190",1146
"1597781",1145
"2861284",1143
"195913",1141
"2793010",1141
"2804617",1140
"2684468",1137
"1325120",1135
"32046",1134
"1325114",1133
"1849581",1130
"187304",1130
"2976459",1129
"68246",1129
"406548",1127
"2931983",1122
"3062779",1122
"1031542",1119
"1310165",1119
"1813468",1118
"1705310",1113
"2735870",1113
"31958",1113
"2866592",1106
"53359",1102
"116090",1100
"1886807",1100
"2813578",1098
"2994496",1097
"443156",1095
"28077",1093
"1534",1092
"710191",1089
"83654",1087
"2866193",1086
"2883126",1084
"1642",1083
"2419774",1082
"57704",1082
"79883",1078
"1385663",1076
"1922217",1076
"388408",1076
"2028345",1075
"119045",1074
"1273155",1073
"3039153",1073
"549",1073
"405",1072
"399176",1068
"82633",1068
"2991972",1065
"36863",1065
"1552759",1060
"2872652",1059
"28901",1059
"552386",1058
"2877941",1055
"1353891",1054
"1185412",1052
"2053",1052
"2777556",1052
"1873",1049
"364317",1049
"450367",1049
"81032",1049
"1505757",1048
"2493670",1047
"495",1047
"171437",1046
"1072256",1045
"748280",1045
"1498228",1043
"56458",1043
"546871",1041
"70799",1039
"1097",1035
"948107",1033
"2999116",1032
"3072793",1032
"1297742",1031
"43660",1031
"1592106",1030
"2795488",1029
"2973977",1029
"33035",1027
"2944250",1026
"3004094",1026
"251699",1024
"29314",1024
"3056445",1023
"2202826",1022
"2815720",1022
"206389",1019
"433",1019
"2714110",1018
"1117645",1017
"3062782",1017
"54571",1016
"2814292",1015
"196914",1014
"411153",1012
"59814",1012
"2567934",1010
"2857059",1010
"3039154",1010
"1423",1007
"2806553",1004
"1545728",1002
"1486245",999
"36839",999
"487",999
"2779445",997
"45361",996
"2025349",993
"364410",992
"1523415",991
"3068633",990
"2932249",987
"152500",986
"1881061",986
"2798724",982
"1898042",978
"152480",977
"656366",975
"80864",975
"204525",973
"2103230",970
"2602015",970
"2742135",969
"584",968
"1173026",967
"669",966
"306",965
"218208",964
"2979324",963
"157688",961
"582",961
"2518644",958
"2509341",956
"33075",956
"2060312",955
"46913",955
"56450",955
"2686359",954
"2828656",949
"2569541",946
"571256",945
"2795215",944
"1866885",941
"425",940
"1510570",938
"2691913",938
"2918299",936
"158822",935
"2904253",934
"851",933
"708131",932
"55508",931
"1653480",930
"179879",928
"2895493",926
"1771",925
"391905",923
"129817",922
"1517554",920
"3068893",920
"2944933",919
"256618",918
"373994",918
"192",917
"1880678",916
"329",915
"2500532",909
"704125",909
"36835",905
"2755562",904
"283",904
"2816950",901
"1313",899
"28197",899
"2871169",899
"74031",899
"442",898
"522262",898
"75",897
"2956833",896
"33028",896
"1881016",893
"2785911",893
"2781734",892
"1357545",891
"172827",890
"92400",890
"1537215",889
"397260",888
"174587",886
"446",886
"122277",885
"292414",885
"2689569",884
"2961598",884
"2861282",883
"1081866",879
"2077182",878
"184748",877
"2109914",876
"52584",876
"1792307",873
"930",873
"107637",872
"2961599",872
"43305",871
"1162",869
"912",869
"336810",868
"169679",867
"2821406",867
"2994555",867
"492670",867
"1192162",866
"53462",865
"2562582",864
"379064",864
"400634",864
"2808963",861
"1850250",860
"1400865",859
"2576922",859
"999",859
"615",858
"2015316",856
"2350",855
"2995140",855
"47853",855
"1296669",854
"2320868",854
"2714931",854
"149698",853
"249058",853
"544580",853
"3064278",851
"1206777",850
"361101",844
"395598",844
"586",844
"1346287",842
"1445505",839
"3070999",839
"2914710",838
"326320",837
"1561",836
"1678128",836
"231454",836
"2901869",835
"212765",834
"817",834
"2721173",833
"682998",833
"2785908",832
"948",832
"2604537",831
"2420509",830
"13690",829
"3003601",829
"641107",829
"1333528",828
"1358",828
"104087",827
"2768162",827
"2762576",825
"1307",822
"225422",822
"1463158",819
"1628392",818
"2932259",818
"1872084",817
"2789856",815
"2811111",812
"1396826",811
"3075605",809
"2946593",807
"93219",806
"1075",804
"1855416",804
"393765",804
"204447",801
"2815936",800
"2843330",800
"254",799
"360422",799
"587",799
"185642",797
"2045451",797
"553611",797
"2604047",796
"672",793
"2795724",792
"134",791
"128785",789
"1892855",789
"2898433",789
"89966",788
"1580596",787
"170679",785
"2846436",785
"463025",785
"83263",785
"2986834",784
"1357074",783
"152794",782
"2775080",781
"43663",780
"2488810",779
"2820278",779
"68223",779
"1697043",778
"2045",778
"435",778
"1493872",776
"2773299",775
"34003",773
"52959",773
"2588711",771
"28214",771
"2338073",769
"1538644",768
"161492",768
"2820808",768
"1397",764
"2954094",764
"3070996",764
"980254",764
"138",763
"2818493",763
"2898149",762
"85643",761
"85006",759
"1457250",758
"1971",757
"1080223",756
"308865",756
"1084",755
"1085624",755
"1350",755
"2946605",755
"191390",753
"69",753
"1416627",751
"2497456",749
"2571748",749
"3075430",749
"200644",748
"818",748
"171281",747
"277",746
"28258",746
"367825",746
"564369",746
"418008",745
"475937",745
"2970925",744
"1517551",743
"2880218",742
"47420",742
"517",741
"29405",740
"3065910",739
"980251",739
"1619311",737
"225991",737
"222",736
"2567896",736
"197",735
"28132",735
"67345",734
"2605946",733
"1772",732
"40576",730
"471",726
"1766",725
"1834519",725
"519472",725
"2962673",723
"3040935",723
"2527994",722
"1395624",721
"1612624",721
"2208",721
"33033",721
"643214",721
"2930199",720
"2995658",719
"651",718
"655015",718
"93944",718
"38293",716
"1327635",714
"2949090",714
"63363",714
"1007105",713
"2831896",712
"2964609",712
"2995223",712
"1290",711
"74030",711
"1663",710
"2132",710
"3031996",710
"924",710
"1624",709
"2027405",709
"3038546",709
"3017781",707
"2056258",706
"2973976",706
"83451",706
"2135430",705
"1323948",704
"171",704
"218144",703
"2795738",703
"1534349",702
"1745854",702
"2008795",702
"1484118",701
"1828",701
"3015995",701
"1610",700
"46228",700
"45398",698
"2781962",695
"3017782",695
"28182",694
"1891787",690
"36845",690
"83564",690
"1891279",689
"2027860",689
"2487118",689
"60894",687
"1575",686
"97478",686
"2812648",685
"71998",684
"1908341",683
"1478",681
"56688",681
"1658665",679
"861",679
"104",678
"169427",678
"2932773",677
"2528021",676
"633415",676
"56454",675
"114687",674
"158849",674
"1896196",674
"1758178",673
"2758038",672
"352",672
"662548",672
"2871493",671
"1564",669
"2842357",669
"48296",669
"1979344",668
"2591145",668
"1511",667
"296",667
"2986831",667
"3015161",667
"189381",666
"2509614",666
"3024247",666
"3035531",666
"66425",666
"2528024",664
"2675222",664
"2233851",662
"33057",662
"1238",661
"1451",661
"1656",659
"1855823",659
"850",659
"94869",658
"318683",657
"33993",657
"1331258",655
"103733",654
"1917485",654
"2821140",653
"2861283",652
"2956834",652
"1809410",651
"2867014",651
"3039392",650
"262",649
"33886",649
"645",649
"2060",648
"2982694",646
"1260",645
"2742128",645
"28047",645
"546",645
"28453",644
"3051171",644
"2170729",643
"2080740",642
"2738",642
"75105",642
"1201031",641
"1544730",641
"1714860",641
"547",639
"3016086",638
"33011",638
"2898795",637
"1306526",636
"158",636
"2605989",636
"304895",636
"2996794",634
"33051",634
"179636",633
"239935",633
"1943633",632
"2895486",632
"2527974",631
"42906",631
"1389922",630
"2918765",627
"3064901",626
"2705547",625
"944492",625
"985782",625
"107401",622
"2320270",622
"223967",621
"60035",621
"2892442",620
"2681552",619
"2812560",619
"659350",619
"1882831",618
"1973486",618
"2141",618
"1678129",615
"1774273",614
"2745504",614
"3070681",614
"1530123",613
"2711156",613
"1701758",612
"53374",612
"1810504",611
"2820002",611
"29388",611
"1288",610
"2986829",610
"96345",610
"2866311",608
"101564",607
"1488",607
"2663009",607
"2509459",606
"1017351",604
"2072590",604
"32067",604
"247",603
"272131",603
"3014995",603
"2678258",602
"2724150",602
"1357",601
"2906443",601
"394958",601
"45656",600
"48736",600
"2986928",599
"34085",599
"485870",599
"424188",598
"76116",598
"155892",597
"1805478",597
"2867025",597
"2927876",597
"2982692",597
"29562",596
"699041",596
"996801",596
"32013",595
"478",595
"729",595
"1795355",594
"2603276",594
"2841257",593
"477641",593
"2518599",592
"2579971",591
"2584122",591
"2823875",591
"3002436",591
"34105",591
"40214",590
"2751",589
"3047827",589
"43770",589
"466153",589
"1503054",588
"709810",588
"1499687",586
"1759059",586
"2735133",586
"201",585
"315405",585
"37927",585
"652716",585
"132473",584
"2898187",584
"3048535",584
"1685",582
"268748",582
"3070677",582
"2675378",581
"1987723",578
"119394",577
"1355374",577
"2932254",577
"321985",577
"1404741",576
"224372",576
"2860258",576
"2931390",576
"2984951",575
"62320",575
"2745947",574
"43357",574
"584609",574
"118882",573
"1283",573
"2600177",573
"651561",573
"1871047",572
"199596",572
"2785025",572
"2723776",571
"1578",570
"1714849",570
"2045452",570
"228899",570
"318424",570
"1703964",569
"1906945",569
"83656",569
"84406",569
"1196095",568
"1312072",568
"200451",568
"3003351",568
"3036126",568
"3074437",567
"322019",567
"766",567
"265175",566
"2692330",566
"2697027",566
"2493639",565
"2202148",564
"28065",564
"2853159",564
"3026423",564
"44000",564
"48935",564
"85023",564
"59930",563
"913107",563
"531813",562
"14",561
"2961994",561
"1852022",560
"2878153",560
"1032072",557
"255507",557
"2750929",557
"470931",557
"47770",557
"986",557
"1541",556
"3019553",556
"686597",556
"1758689",555
"2878150",555
"2021862",554
"332101",554
"1824",552
"1793",551
"2268461",551
"2478552",551
"2801033",551
"28031",551
"332055",551
"1930276",550
"29341",550
"666",550
"70771",550
"1547",549
"1850246",549
"2102",549
"28087",549
"931866",549
"936456",549
"1500686",548
"3064139",548
"1623",547
"354",547
"899",546
"373891",545
"39695",545
"1465",544
"158877",544
"1872427",544
"2962065",544
"779",544
"1806508",543
"223182",543
"654",543
"870903",543
"2967130",542
"2070761",541
"160791",540
"1754",540
"2026199",539
"47858",538
"993502",538
"955",536
"48",535
"61652",534
"171284",533
"2486855",533
"2604421",533
"2733487",533
"2745199",533
"29382",533
"351604",533
"80842",533
